Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,51.00,51.56,50.30,50.75,46.91,2588500.00
2019-06-18 00:00:00,51.30,53.18,51.30,52.62,48.64,2863200.00
2019-06-19 00:00:00,53.74,54.79,53.53,54.25,50.15,5546800.00
2019-06-20 00:00:00,54.99,55.41,53.42,53.81,49.74,3689600.00
2019-06-21 00:00:00,53.98,54.38,53.67,53.94,49.86,4127000.00
2019-06-24 00:00:00,53.78,54.22,53.14,53.74,49.68,2439600.00
2019-06-25 00:00:00,54.03,55.21,53.79,54.29,50.19,3280500.00
2019-06-26 00:00:00,54.83,55.43,54.28,55.12,50.95,3326900.00
2019-06-27 00:00:00,54.99,55.11,54.36,54.57,50.81,1593900.00
2019-06-28 00:00:00,54.90,55.15,54.41,55.10,51.31,2259300.00
2019-07-01 00:00:00,55.59,55.83,55.18,55.67,51.84,1697200.00
2019-07-02 00:00:00,55.37,55.40,55.00,55.14,51.35,1831000.00
2019-07-03 00:00:00,55.30,55.48,55.06,55.29,51.49,910600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,54.75,55.51,54.46,55.31,51.50,1822700.00
2019-07-08 00:00:00,55.05,55.38,54.23,54.55,50.80,2001400.00
2019-07-09 00:00:00,54.12,54.62,53.58,54.52,50.77,3120900.00
2019-07-10 00:00:00,54.97,55.19,54.13,54.17,50.44,1529300.00
2019-07-11 00:00:00,53.98,54.25,53.36,54.10,50.38,2035600.00
2019-07-12 00:00:00,54.40,55.28,54.25,55.17,51.37,1906600.00
2019-07-15 00:00:00,55.54,55.71,54.72,55.23,51.43,1478100.00
2019-07-16 00:00:00,55.37,56.38,55.10,55.56,51.74,2215800.00
2019-07-17 00:00:00,55.34,55.54,54.47,54.70,50.94,2043900.00
2019-07-18 00:00:00,55.08,55.27,54.14,54.69,50.93,2432000.00
2019-07-19 00:00:00,55.47,56.91,54.93,56.71,52.81,4016600.00
2019-07-22 00:00:00,57.05,57.17,55.41,56.27,52.40,2922100.00
2019-07-23 00:00:00,56.60,57.00,55.65,56.58,52.69,1914900.00
2019-07-24 00:00:00,56.05,56.71,55.99,56.58,52.69,1497400.00
2019-07-25 00:00:00,56.69,56.76,56.04,56.20,52.33,1723900.00
2019-07-26 00:00:00,56.05,56.29,55.78,56.16,52.30,1916300.00
2019-07-29 00:00:00,55.90,56.11,55.44,55.73,51.90,1552400.00
2019-07-30 00:00:00,55.37,56.26,55.11,56.25,52.38,1693200.00
2019-07-31 00:00:00,56.28,56.39,54.20,54.38,50.64,2888500.00
2019-08-01 00:00:00,53.85,54.74,52.52,53.06,49.41,2882200.00
