Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,36.14,36.63,35.91,36.26,36.11,27604000.00
2019-06-18 00:00:00,36.88,38.78,36.76,38.22,38.07,58192000.00
2019-06-19 00:00:00,38.58,38.69,38.02,38.28,38.13,33164400.00
2019-06-20 00:00:00,39.19,39.33,38.38,38.53,38.37,35016800.00
2019-06-21 00:00:00,38.38,38.87,37.88,37.94,37.79,43442800.00
2019-06-24 00:00:00,38.15,38.46,37.68,38.17,38.01,28294800.00
2019-06-25 00:00:00,38.22,38.97,37.84,37.87,37.72,31186800.00
2019-06-26 00:00:00,39.15,40.43,39.02,39.81,39.66,58407200.00
2019-06-27 00:00:00,40.68,41.00,40.31,40.81,40.65,44544000.00
2019-06-28 00:00:00,41.25,41.34,40.59,41.06,40.90,39766800.00
2019-07-01 00:00:00,43.14,43.49,41.17,41.54,41.38,70975600.00
2019-07-02 00:00:00,41.38,41.59,40.42,40.56,40.40,40022800.00
2019-07-03 00:00:00,40.79,40.85,40.08,40.69,40.53,24663600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,40.10,40.15,39.42,40.06,39.90,39655200.00
2019-07-08 00:00:00,39.46,39.65,39.00,39.30,39.15,32978800.00
2019-07-09 00:00:00,38.88,39.61,38.75,39.33,39.17,34286000.00
2019-07-10 00:00:00,39.76,40.59,39.62,40.01,39.86,45207600.00
2019-07-11 00:00:00,40.75,41.98,40.38,41.57,41.41,68256000.00
2019-07-12 00:00:00,41.85,42.62,41.85,41.90,41.74,50639200.00
2019-07-15 00:00:00,42.12,42.28,41.53,41.82,41.65,28984000.00
2019-07-16 00:00:00,41.67,42.04,41.21,41.77,41.61,34144400.00
2019-07-17 00:00:00,41.79,42.50,41.49,42.43,42.26,34820400.00
2019-07-18 00:00:00,42.53,43.18,41.96,42.54,42.38,44219200.00
2019-07-19 00:00:00,42.93,42.99,42.05,42.11,41.94,34489600.00
2019-07-22 00:00:00,42.33,42.96,42.25,42.83,42.66,31594000.00
2019-07-23 00:00:00,43.22,43.94,43.07,43.92,43.74,42817600.00
2019-07-24 00:00:00,44.35,44.72,43.58,44.67,44.49,36623600.00
2019-07-25 00:00:00,44.25,44.38,43.11,43.35,43.17,39270000.00
2019-07-26 00:00:00,43.62,44.24,43.62,43.77,43.59,27416000.00
2019-07-29 00:00:00,43.69,43.87,42.82,43.71,43.53,24816000.00
2019-07-30 00:00:00,43.24,43.99,43.09,43.86,43.69,19777200.00
2019-07-31 00:00:00,43.54,43.56,41.76,42.18,42.01,35941600.00
2019-08-01 00:00:00,42.28,43.19,40.71,41.23,41.07,42121200.00
