Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,19.00,20.88,18.61,20.52,20.52,1512700.00
2019-06-18 00:00:00,20.75,21.24,20.45,21.21,21.21,1376400.00
2019-06-19 00:00:00,21.25,21.47,20.77,21.31,21.31,1293200.00
2019-06-20 00:00:00,21.80,22.38,21.25,21.56,21.56,1284200.00
2019-06-21 00:00:00,21.36,21.62,20.05,21.55,21.55,3781200.00
2019-06-24 00:00:00,21.62,21.74,20.49,20.53,20.53,1442700.00
2019-06-25 00:00:00,20.78,21.20,20.40,20.66,20.66,1153900.00
2019-06-26 00:00:00,20.75,21.17,19.00,20.18,20.18,1038100.00
2019-06-27 00:00:00,20.27,21.58,20.27,21.55,21.55,1079200.00
2019-06-28 00:00:00,21.54,23.98,21.54,23.50,23.50,10807400.00
2019-07-01 00:00:00,24.06,24.30,23.35,23.79,23.79,2058100.00
2019-07-02 00:00:00,23.84,23.89,22.69,23.10,23.10,1655200.00
2019-07-03 00:00:00,23.19,24.27,22.85,24.27,24.27,936300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,24.27,24.32,23.44,23.89,23.89,1095300.00
2019-07-08 00:00:00,23.86,24.09,23.15,23.75,23.75,1269900.00
2019-07-09 00:00:00,23.55,24.03,23.31,24.03,24.03,1396600.00
2019-07-10 00:00:00,24.19,24.79,23.25,23.38,23.38,2734900.00
2019-07-11 00:00:00,23.47,23.47,22.51,23.02,23.02,1304100.00
2019-07-12 00:00:00,23.03,23.40,22.56,22.62,22.62,1214700.00
2019-07-15 00:00:00,22.67,22.77,22.14,22.70,22.70,1107500.00
2019-07-16 00:00:00,22.79,22.88,21.46,22.52,22.52,1226000.00
2019-07-17 00:00:00,22.42,24.26,22.02,23.44,23.44,3929400.00
2019-07-18 00:00:00,23.50,24.94,23.10,24.78,24.78,3299000.00
2019-07-19 00:00:00,24.78,24.96,24.04,24.22,24.22,1572700.00
2019-07-22 00:00:00,24.50,24.91,24.06,24.48,24.48,1700400.00
2019-07-23 00:00:00,24.72,24.73,23.83,24.47,24.47,1392100.00
2019-07-24 00:00:00,24.25,26.03,23.86,25.01,25.01,3291400.00
2019-07-25 00:00:00,24.91,25.21,24.15,24.18,24.18,1561700.00
2019-07-26 00:00:00,24.33,25.94,24.29,25.66,25.66,2078600.00
2019-07-29 00:00:00,25.97,26.36,24.55,25.76,25.76,2014300.00
2019-07-30 00:00:00,25.41,27.21,25.16,27.18,27.18,2592600.00
2019-07-31 00:00:00,27.01,28.38,25.98,26.89,26.89,4656500.00
2019-08-01 00:00:00,27.00,28.31,26.29,27.17,27.17,2863100.00
