Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,11.85,12.28,11.85,12.24,11.91,6289000.00
2019-06-18 00:00:00,12.25,13.02,12.25,12.89,12.54,7611700.00
2019-06-19 00:00:00,12.90,13.45,12.90,13.37,13.01,6237200.00
2019-06-20 00:00:00,13.52,13.61,13.38,13.56,13.20,4299500.00
2019-06-21 00:00:00,13.55,13.69,13.37,13.53,13.17,7949600.00
2019-06-24 00:00:00,13.50,13.54,13.30,13.32,12.96,2619000.00
2019-06-25 00:00:00,13.31,13.37,13.24,13.25,12.89,2130000.00
2019-06-26 00:00:00,13.27,13.40,13.24,13.30,12.94,3143100.00
2019-06-27 00:00:00,13.32,13.50,13.32,13.43,13.07,2598700.00
2019-06-28 00:00:00,13.45,13.58,13.36,13.49,13.13,6401700.00
2019-07-01 00:00:00,13.73,13.79,13.42,13.60,13.23,3831000.00
2019-07-02 00:00:00,13.59,13.68,13.41,13.51,13.15,2082200.00
2019-07-03 00:00:00,13.57,13.57,13.41,13.45,13.09,1677100.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,13.40,13.56,13.36,13.46,13.10,1215400.00
2019-07-08 00:00:00,13.38,13.48,13.26,13.29,12.93,1297900.00
2019-07-09 00:00:00,13.22,13.37,13.21,13.30,12.94,2472300.00
2019-07-10 00:00:00,13.37,13.39,13.25,13.30,12.94,1968800.00
2019-07-11 00:00:00,13.33,13.36,13.19,13.22,12.86,3165600.00
2019-07-12 00:00:00,13.24,13.40,13.19,13.31,12.95,2593200.00
2019-07-15 00:00:00,13.30,13.37,13.22,13.36,13.00,2167300.00
2019-07-16 00:00:00,13.40,13.61,13.38,13.58,13.21,2679000.00
2019-07-17 00:00:00,13.58,13.67,13.13,13.22,12.86,2936500.00
2019-07-18 00:00:00,13.15,13.33,13.15,13.28,12.92,2960100.00
2019-07-19 00:00:00,13.09,13.26,12.97,13.14,12.79,4466000.00
2019-07-22 00:00:00,13.14,13.30,13.11,13.26,12.90,2919000.00
2019-07-23 00:00:00,13.35,13.45,13.25,13.38,13.02,2417100.00
2019-07-24 00:00:00,13.33,13.65,13.33,13.57,13.20,3246800.00
2019-07-25 00:00:00,13.56,13.58,13.32,13.37,13.01,3153500.00
2019-07-26 00:00:00,13.41,13.47,13.36,13.43,13.07,1844500.00
2019-07-29 00:00:00,13.40,13.47,13.27,13.38,13.02,2277300.00
2019-07-30 00:00:00,13.28,13.41,13.26,13.38,13.02,1476600.00
2019-07-31 00:00:00,13.35,13.39,13.11,13.16,12.81,3304100.00
2019-08-01 00:00:00,13.12,13.26,12.98,13.03,12.68,4014800.00
