Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,91.00,91.60,89.53,89.70,87.45,2695600.00
2019-06-18 00:00:00,91.26,94.98,90.66,94.78,92.40,3697300.00
2019-06-19 00:00:00,95.15,97.20,94.76,96.22,93.81,2695200.00
2019-06-20 00:00:00,98.50,98.97,96.94,98.01,95.55,3523500.00
2019-06-21 00:00:00,98.13,98.76,96.42,98.06,95.60,3567300.00
2019-06-24 00:00:00,98.58,99.59,97.56,97.65,95.20,3141700.00
2019-06-25 00:00:00,97.80,98.50,94.89,95.11,92.73,2882100.00
2019-06-26 00:00:00,97.13,98.50,96.08,97.14,94.70,2976300.00
2019-06-27 00:00:00,98.29,100.59,97.96,99.23,96.74,4482900.00
2019-06-28 00:00:00,101.37,101.37,97.47,97.61,95.16,23376300.00
2019-07-01 00:00:00,101.91,103.33,99.51,99.92,97.41,6131500.00
2019-07-02 00:00:00,99.41,99.89,97.68,98.08,95.62,2834700.00
2019-07-03 00:00:00,97.17,97.98,96.83,97.68,95.23,1597500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,96.39,97.27,95.90,96.53,94.11,2688100.00
2019-07-08 00:00:00,95.69,96.79,95.19,95.55,93.15,2905000.00
2019-07-09 00:00:00,95.05,96.26,94.76,95.92,93.52,3327600.00
2019-07-10 00:00:00,96.84,97.94,95.99,96.13,93.72,2803500.00
2019-07-11 00:00:00,96.30,96.50,93.95,94.12,91.76,2893500.00
2019-07-12 00:00:00,94.66,97.05,94.11,96.99,94.56,2620900.00
2019-07-15 00:00:00,97.23,99.36,97.12,99.16,96.67,3266300.00
2019-07-16 00:00:00,97.75,97.76,96.09,97.01,94.58,2925100.00
2019-07-17 00:00:00,97.00,97.55,96.11,96.40,93.98,1982200.00
2019-07-18 00:00:00,96.49,97.52,96.05,97.12,94.69,2974600.00
2019-07-19 00:00:00,97.54,98.63,96.48,97.96,95.50,3547600.00
2019-07-22 00:00:00,98.71,99.64,98.46,98.74,96.26,2173900.00
2019-07-23 00:00:00,99.89,100.94,99.16,100.94,98.41,3086000.00
2019-07-24 00:00:00,102.75,106.25,102.71,105.50,102.86,6759400.00
2019-07-25 00:00:00,104.53,104.90,101.52,101.77,99.22,4053500.00
2019-07-26 00:00:00,102.50,102.98,101.25,102.36,99.79,2940800.00
2019-07-29 00:00:00,103.66,104.80,102.18,104.23,101.62,4042800.00
2019-07-30 00:00:00,103.50,106.26,101.12,105.79,103.14,5185800.00
2019-07-31 00:00:00,104.13,104.50,101.65,103.39,100.80,5025700.00
2019-08-01 00:00:00,103.34,106.32,99.44,100.00,97.49,6705000.00
