Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,94.11,94.93,92.67,94.69,93.71,473100.00
2019-06-17 00:00:00,94.64,95.08,92.31,92.59,91.62,450900.00
2019-06-18 00:00:00,92.94,95.00,92.69,93.89,92.91,453750.00
2019-06-19 00:00:00,94.00,95.29,93.74,94.69,93.70,543600.00
2019-06-20 00:00:00,95.95,97.15,95.51,97.05,96.04,531300.00
2019-06-21 00:00:00,96.89,98.81,96.41,97.31,96.30,1035750.00
2019-06-24 00:00:00,97.67,98.29,94.88,95.01,94.02,537600.00
2019-06-25 00:00:00,95.34,96.39,93.99,94.71,93.72,504300.00
2019-06-26 00:00:00,95.05,95.78,94.74,95.67,94.68,409800.00
2019-06-27 00:00:00,96.49,98.25,96.21,98.17,97.15,508350.00
2019-06-28 00:00:00,99.00,100.62,99.00,99.51,98.47,2098500.00
2019-07-01 00:00:00,100.19,101.76,98.99,99.98,98.94,564000.00
2019-07-02 00:00:00,99.98,100.92,98.67,99.05,98.02,457200.00
2019-07-03 00:00:00,99.06,100.16,99.06,99.69,98.65,290100.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,99.33,100.22,98.55,100.03,98.99,247050.00
2019-07-08 00:00:00,99.19,99.19,97.58,98.07,97.05,727350.00
2019-07-09 00:00:00,97.47,97.95,96.93,97.55,96.54,561450.00
2019-07-10 00:00:00,97.85,98.49,94.85,95.05,94.06,629550.00
2019-07-11 00:00:00,93.53,96.21,93.34,95.20,94.21,651750.00
2019-07-12 00:00:00,95.11,100.73,95.11,99.97,98.93,735450.00
2019-07-15 00:00:00,100.10,101.21,98.58,99.11,98.08,527700.00
2019-07-16 00:00:00,100.60,104.47,99.14,102.31,101.24,1132650.00
2019-07-17 00:00:00,101.65,102.63,100.10,102.40,101.33,889200.00
2019-07-18 00:00:00,102.40,103.13,101.51,102.47,101.41,808350.00
2019-07-19 00:00:00,103.10,104.21,103.10,103.47,102.39,624600.00
2019-07-22 00:00:00,103.47,104.93,103.33,104.12,103.04,786000.00
2019-07-23 00:00:00,104.47,107.19,104.30,107.17,106.05,955950.00
2019-07-24 00:00:00,107.25,109.63,106.66,109.35,108.21,1717350.00
2019-07-25 00:00:00,109.67,112.66,107.12,108.68,107.55,1942350.00
2019-07-26 00:00:00,110.31,110.65,108.86,109.89,108.75,818550.00
2019-07-29 00:00:00,109.89,110.63,108.63,109.69,108.54,561750.00
2019-07-30 00:00:00,108.39,110.27,107.85,110.18,109.03,838800.00
2019-07-31 00:00:00,110.23,112.50,110.09,111.32,110.16,1128150.00
2019-08-01 00:00:00,111.03,112.91,110.25,110.97,109.81,1588050.00
2019-08-02 00:00:00,110.65,111.23,109.58,110.71,109.55,940350.00
2019-08-05 00:00:00,108.57,109.71,107.23,108.07,106.94,1504200.00
2019-08-06 00:00:00,108.97,110.25,107.63,109.97,108.82,780000.00
2019-08-07 00:00:00,108.80,111.33,107.73,111.01,109.86,1424100.00
2019-08-08 00:00:00,111.15,113.04,110.58,112.51,111.34,1479000.00
2019-08-09 00:00:00,111.14,111.17,109.80,110.05,108.90,824100.00
2019-08-12 00:00:00,109.55,110.85,108.83,110.71,109.55,823050.00
2019-08-13 00:00:00,110.95,114.58,110.45,114.52,113.33,838500.00
2019-08-14 00:00:00,112.68,114.28,110.07,110.76,109.61,850800.00
2019-08-15 00:00:00,111.17,112.06,107.68,108.14,107.01,1219650.00
2019-08-16 00:00:00,108.77,110.81,108.77,110.46,109.31,1047300.00
2019-08-19 00:00:00,112.13,112.95,110.50,110.56,109.41,846150.00
2019-08-20 00:00:00,110.61,111.62,109.36,109.48,108.34,941400.00
2019-08-21 00:00:00,110.51,111.15,109.90,110.35,109.20,738450.00
2019-08-22 00:00:00,110.65,110.97,108.93,109.87,108.72,605250.00
2019-08-23 00:00:00,109.59,109.59,105.61,105.95,104.85,704850.00
2019-08-26 00:00:00,106.41,107.59,105.59,107.29,106.18,623100.00
2019-08-27 00:00:00,108.08,108.08,106.12,106.34,105.23,427050.00
2019-08-28 00:00:00,105.54,108.37,104.61,106.97,105.85,750000.00
2019-08-29 00:00:00,108.04,109.61,107.33,108.05,106.92,704250.00
2019-08-30 00:00:00,108.61,109.84,108.41,109.17,108.04,696600.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,107.88,112.41,105.39,106.28,105.28,858000.00
2019-09-04 00:00:00,107.40,108.37,106.47,107.54,106.53,727350.00
2019-09-05 00:00:00,108.63,110.63,108.63,109.79,108.76,1006500.00
2019-09-06 00:00:00,110.05,110.22,109.12,109.83,108.80,446550.00
2019-09-09 00:00:00,109.97,111.52,108.84,111.34,110.30,1134150.00
2019-09-10 00:00:00,111.25,115.04,107.04,114.93,113.85,951750.00
2019-09-11 00:00:00,114.79,116.67,114.08,116.41,115.32,720750.00
2019-09-12 00:00:00,116.43,117.48,114.81,115.81,114.72,640350.00
2019-09-13 00:00:00,116.53,116.65,115.25,115.95,114.86,373650.00
2019-09-16 00:00:00,114.61,116.37,113.44,116.16,115.07,475200.00
2019-09-17 00:00:00,115.77,116.30,114.70,116.00,114.91,519450.00
2019-09-18 00:00:00,115.33,116.20,113.50,115.93,114.84,521850.00
2019-09-19 00:00:00,116.05,116.59,113.85,114.09,113.02,610950.00
2019-09-20 00:00:00,114.35,114.60,112.83,113.10,112.04,1267350.00
2019-09-23 00:00:00,113.21,114.03,112.94,113.53,112.47,483300.00
2019-09-24 00:00:00,114.39,114.88,111.69,111.85,110.80,533100.00
2019-09-25 00:00:00,111.77,116.15,111.58,115.49,114.41,733350.00
2019-09-26 00:00:00,115.33,117.05,114.93,116.35,115.25,720300.00
2019-09-27 00:00:00,113.41,115.29,113.21,114.71,113.63,713700.00
2019-09-30 00:00:00,114.76,115.62,112.65,113.31,112.25,864750.00
2019-10-01 00:00:00,114.01,115.19,110.07,110.35,109.31,624300.00
2019-10-02 00:00:00,109.81,109.87,107.04,107.83,106.82,906600.00
2019-10-03 00:00:00,107.92,108.89,105.47,108.59,107.57,689700.00
2019-10-04 00:00:00,109.05,110.20,107.96,108.51,107.49,543750.00
2019-10-07 00:00:00,108.33,110.37,107.47,109.73,108.70,880500.00
2019-10-08 00:00:00,108.38,109.93,107.67,107.85,106.84,583650.00
2019-10-09 00:00:00,108.70,110.89,108.69,110.26,109.23,483150.00
2019-10-10 00:00:00,110.04,112.65,110.04,111.14,110.10,366450.00
2019-10-11 00:00:00,112.29,115.13,112.29,114.00,112.93,696450.00
2019-10-14 00:00:00,114.00,115.18,113.15,114.16,113.09,328500.00
2019-10-15 00:00:00,113.04,116.37,113.03,115.37,114.29,719700.00
2019-10-16 00:00:00,115.05,118.14,115.05,117.04,115.94,825900.00
2019-10-17 00:00:00,117.12,118.80,116.80,117.60,116.50,606750.00
2019-10-18 00:00:00,117.61,119.61,117.42,119.02,117.90,747750.00
2019-10-21 00:00:00,119.97,121.21,119.14,119.93,118.80,671250.00
2019-10-22 00:00:00,119.97,120.72,118.75,120.69,119.56,611100.00
2019-10-23 00:00:00,120.35,122.06,119.62,121.99,120.84,951600.00
2019-10-24 00:00:00,120.15,124.40,117.99,122.56,121.41,1374150.00
2019-10-25 00:00:00,120.18,125.09,120.18,124.40,123.23,902700.00
2019-10-28 00:00:00,125.47,126.05,123.85,124.91,123.74,618900.00
2019-10-29 00:00:00,124.91,127.52,124.45,126.11,124.93,791550.00
2019-10-30 00:00:00,125.75,125.77,122.03,123.60,122.44,804900.00
2019-10-31 00:00:00,123.17,123.17,120.74,121.39,120.25,742050.00
2019-11-01 00:00:00,122.43,125.50,121.43,125.41,124.24,514950.00
2019-11-04 00:00:00,125.88,127.47,124.81,126.89,125.70,707250.00
2019-11-05 00:00:00,127.49,128.45,127.25,128.18,126.98,551550.00
2019-11-06 00:00:00,128.10,128.87,127.17,128.76,127.55,621600.00
2019-11-07 00:00:00,129.45,131.21,129.03,129.61,128.40,683100.00
2019-11-08 00:00:00,129.64,130.49,129.14,129.45,128.24,351750.00
2019-11-11 00:00:00,128.87,130.43,127.90,130.25,129.03,470400.00
2019-11-12 00:00:00,130.25,131.50,129.81,130.43,129.20,453900.00
2019-11-13 00:00:00,129.87,129.96,128.00,129.70,128.48,558150.00
2019-11-14 00:00:00,129.17,130.13,128.94,130.05,128.83,404700.00
2019-11-15 00:00:00,130.67,130.90,128.27,128.61,127.41,740100.00
2019-11-18 00:00:00,128.17,129.23,127.54,128.73,127.52,645600.00
2019-11-19 00:00:00,129.24,130.12,128.27,129.33,128.11,652200.00
2019-11-20 00:00:00,128.93,129.47,127.04,127.41,126.21,579450.00
2019-11-21 00:00:00,128.07,128.73,126.15,126.95,125.76,601950.00
2019-11-22 00:00:00,127.68,127.77,126.33,126.38,125.19,631950.00
2019-11-25 00:00:00,126.47,129.21,126.47,127.87,126.67,666750.00
2019-11-26 00:00:00,128.07,129.89,127.43,129.37,128.16,875100.00
2019-11-27 00:00:00,129.97,130.45,129.23,130.39,129.17,911400.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,130.05,130.05,127.61,127.73,126.53,274500.00
2019-12-02 00:00:00,127.46,128.00,123.88,124.19,123.02,957600.00
2019-12-03 00:00:00,121.79,123.99,120.67,121.21,120.18,2046300.00
2019-12-04 00:00:00,120.39,123.65,120.31,121.19,120.16,1947150.00
2019-12-05 00:00:00,119.97,122.63,119.89,122.57,121.53,1723800.00
2019-12-06 00:00:00,123.88,125.45,121.86,122.87,121.83,23233800.00
2019-12-09 00:00:00,123.13,125.04,123.05,124.57,123.52,1160850.00
2019-12-10 00:00:00,124.62,125.30,123.69,125.01,123.95,693000.00
2019-12-11 00:00:00,124.79,125.27,123.02,123.80,122.75,931800.00
2019-12-12 00:00:00,123.99,125.19,123.04,124.99,123.93,840900.00
2019-12-13 00:00:00,124.99,126.57,123.82,124.27,123.22,705600.00
2019-12-16 00:00:00,125.29,125.91,123.93,124.01,122.95,832350.00
2019-12-17 00:00:00,124.08,125.98,123.76,124.45,123.40,755700.00
2019-12-18 00:00:00,124.76,124.82,122.70,123.76,122.71,593100.00
2019-12-19 00:00:00,123.77,124.41,123.32,123.90,122.85,500100.00
2019-12-20 00:00:00,124.39,125.84,123.07,125.46,124.40,1749450.00
2019-12-23 00:00:00,126.49,126.65,124.65,124.89,123.83,588600.00
2019-12-24 00:00:00,125.29,125.61,124.67,125.33,124.26,223500.00
2019-12-25 00:00:00,,,,,,
2019-12-26 00:00:00,125.49,125.69,124.92,125.50,124.44,271500.00
2019-12-27 00:00:00,126.17,126.48,125.22,125.95,124.89,324000.00
2019-12-30 00:00:00,125.49,126.08,124.67,125.61,124.55,396150.00
2019-12-31 00:00:00,125.42,127.21,125.42,126.52,125.45,636750.00
2020-01-02 00:00:00,126.84,128.03,125.79,128.02,126.93,979500.00
2020-01-03 00:00:00,126.90,127.19,125.85,126.49,125.42,930000.00
2020-01-06 00:00:00,125.80,126.05,124.05,125.49,124.43,967350.00
2020-01-07 00:00:00,125.63,126.25,125.13,125.85,124.79,710700.00
2020-01-08 00:00:00,126.13,127.24,125.65,126.45,125.37,655350.00
2020-01-09 00:00:00,127.19,129.45,126.67,129.35,128.25,908100.00
2020-01-10 00:00:00,129.83,131.99,129.22,131.31,130.20,1151100.00
2020-01-13 00:00:00,131.34,133.83,131.03,133.74,132.61,1137150.00
2020-01-14 00:00:00,133.55,136.93,133.55,136.00,134.85,1089750.00
2020-01-15 00:00:00,135.81,137.64,135.73,137.38,136.21,684000.00
2020-01-16 00:00:00,138.27,139.49,137.91,139.33,138.15,720450.00
2020-01-17 00:00:00,137.96,140.12,137.33,138.96,137.78,730200.00
2020-01-20 00:00:00,,,,,,
2020-01-21 00:00:00,138.67,139.47,136.79,136.95,135.79,736200.00
2020-01-22 00:00:00,137.69,137.83,135.06,135.20,134.05,603150.00
2020-01-23 00:00:00,135.01,137.14,133.98,136.91,135.75,625800.00
2020-01-24 00:00:00,137.20,138.03,135.16,136.31,135.16,426900.00
2020-01-27 00:00:00,133.51,135.34,132.66,133.79,132.66,669000.00
2020-01-28 00:00:00,134.38,134.96,133.38,134.25,133.11,483750.00
2020-01-29 00:00:00,134.29,137.10,134.29,135.28,134.13,439800.00
2020-01-30 00:00:00,133.76,136.45,133.37,135.74,134.59,561150.00
2020-01-31 00:00:00,134.89,135.59,130.43,130.82,129.71,855600.00
