Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,64.35,65.07,64.19,64.81,51.85,1775700.00
2019-06-18 00:00:00,65.37,65.83,65.06,65.67,52.54,1844600.00
2019-06-19 00:00:00,65.72,66.46,65.40,66.25,53.00,2100900.00
2019-06-20 00:00:00,67.03,67.88,66.91,67.76,54.21,2536900.00
2019-06-21 00:00:00,67.60,68.96,67.60,68.94,55.15,3847100.00
2019-06-24 00:00:00,69.01,69.31,67.02,67.29,53.83,2389200.00
2019-06-25 00:00:00,67.25,67.29,66.65,66.72,53.38,1389200.00
2019-06-26 00:00:00,67.28,67.84,66.84,67.35,53.88,1483700.00
2019-06-27 00:00:00,67.28,67.55,67.10,67.40,53.92,1261000.00
2019-06-28 00:00:00,67.53,68.84,67.46,68.81,55.05,2657200.00
2019-07-01 00:00:00,69.64,69.99,69.30,69.59,55.67,2278300.00
2019-07-02 00:00:00,69.43,69.59,68.76,69.36,55.49,2044600.00
2019-07-03 00:00:00,69.48,70.23,69.29,70.20,56.16,1226400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,69.98,70.29,69.53,70.28,56.22,1287000.00
2019-07-08 00:00:00,70.16,70.32,69.30,69.57,55.65,1688500.00
2019-07-09 00:00:00,69.63,69.93,69.19,69.82,55.85,1770900.00
2019-07-10 00:00:00,70.08,70.72,69.88,70.45,56.36,1686200.00
2019-07-11 00:00:00,70.73,71.16,70.49,71.06,56.85,1951100.00
2019-07-12 00:00:00,71.26,71.41,70.91,71.30,57.04,1376800.00
2019-07-15 00:00:00,71.39,71.43,70.71,70.98,56.78,1542400.00
2019-07-16 00:00:00,70.90,70.90,69.77,70.15,56.12,1925600.00
2019-07-17 00:00:00,70.32,70.32,69.50,69.64,55.71,1995700.00
2019-07-18 00:00:00,69.34,69.42,68.81,69.16,55.33,1908200.00
2019-07-19 00:00:00,69.18,69.42,68.52,68.53,54.82,1881500.00
2019-07-22 00:00:00,68.59,69.23,68.36,69.14,55.31,1552600.00
2019-07-23 00:00:00,69.06,69.20,68.37,68.51,54.81,1203700.00
2019-07-24 00:00:00,68.34,68.58,67.51,68.43,54.74,1255900.00
2019-07-25 00:00:00,69.00,69.00,68.25,68.57,54.85,1697100.00
2019-07-26 00:00:00,68.69,68.79,68.02,68.49,54.79,1496600.00
2019-07-29 00:00:00,68.56,68.56,66.67,66.80,53.44,2474700.00
2019-07-30 00:00:00,66.54,67.28,66.15,67.21,53.77,1923200.00
2019-07-31 00:00:00,67.53,71.47,67.24,70.08,56.06,4271100.00
2019-08-01 00:00:00,69.93,72.38,69.77,70.99,56.79,3845600.00
