Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,90.53,93.34,90.12,92.27,92.27,1038200.00
2019-06-18 00:00:00,92.22,94.09,91.95,92.02,92.02,730800.00
2019-06-19 00:00:00,92.02,92.23,90.67,91.45,91.45,758500.00
2019-06-20 00:00:00,92.47,93.06,91.76,92.49,92.49,770800.00
2019-06-21 00:00:00,92.17,93.96,92.17,93.08,93.08,1117900.00
2019-06-24 00:00:00,92.80,92.80,88.36,88.50,88.50,1258400.00
2019-06-25 00:00:00,88.35,88.66,84.83,86.55,86.55,1236600.00
2019-06-26 00:00:00,86.89,87.90,85.04,87.27,87.27,1292700.00
2019-06-27 00:00:00,87.53,88.71,87.27,87.93,87.93,1195800.00
2019-06-28 00:00:00,87.85,89.34,87.00,87.11,87.11,6369500.00
2019-07-01 00:00:00,88.00,89.08,85.15,85.97,85.97,1490500.00
2019-07-02 00:00:00,85.80,86.13,84.11,84.25,84.25,1017700.00
2019-07-03 00:00:00,84.25,84.96,83.75,84.06,84.06,585200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,83.41,84.88,83.33,84.74,84.74,703800.00
2019-07-08 00:00:00,84.57,84.82,83.58,84.16,84.16,791700.00
2019-07-09 00:00:00,83.75,84.10,83.35,83.45,83.45,967800.00
2019-07-10 00:00:00,83.61,84.00,82.51,82.78,82.78,837900.00
2019-07-11 00:00:00,82.72,84.19,82.51,83.99,83.99,1084400.00
2019-07-12 00:00:00,85.07,88.45,85.01,88.15,88.15,1165800.00
2019-07-15 00:00:00,88.45,88.85,85.25,86.47,86.47,914500.00
2019-07-16 00:00:00,86.73,88.57,86.55,87.91,87.91,615800.00
2019-07-17 00:00:00,88.00,88.04,86.26,86.53,86.53,704400.00
2019-07-18 00:00:00,85.64,86.96,85.36,86.59,86.59,728300.00
2019-07-19 00:00:00,86.95,88.51,86.75,86.78,86.78,1229400.00
2019-07-22 00:00:00,87.15,87.73,86.26,87.67,87.67,857200.00
2019-07-23 00:00:00,87.90,88.12,85.63,86.48,86.48,686200.00
2019-07-24 00:00:00,86.42,88.07,86.00,87.36,87.36,917000.00
2019-07-25 00:00:00,87.50,88.20,87.01,87.90,87.90,531000.00
2019-07-26 00:00:00,87.90,89.23,87.40,88.91,88.91,430600.00
2019-07-29 00:00:00,88.98,89.06,84.89,85.29,85.29,799600.00
2019-07-30 00:00:00,84.69,85.04,81.07,82.49,82.49,1499000.00
2019-07-31 00:00:00,84.90,85.55,83.60,84.69,84.69,1173300.00
2019-08-01 00:00:00,84.88,85.47,82.18,82.33,82.33,688500.00
