Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,10.00,10.00,9.20,9.20,9.20,71890.00
2019-06-18 00:00:00,9.40,9.80,9.00,9.20,9.20,52610.00
2019-06-19 00:00:00,9.40,10.00,9.20,9.20,9.20,105655.00
2019-06-20 00:00:00,9.40,9.40,9.00,9.00,9.00,68910.00
2019-06-21 00:00:00,9.00,9.20,8.60,8.80,8.80,66190.00
2019-06-24 00:00:00,8.80,9.00,8.00,9.00,9.00,71195.00
2019-06-25 00:00:00,9.00,9.00,8.40,8.40,8.40,37995.00
2019-06-26 00:00:00,8.60,9.00,8.40,8.40,8.40,49665.00
2019-06-27 00:00:00,8.40,9.40,8.40,8.80,8.80,68110.00
2019-06-28 00:00:00,8.80,11.00,8.60,10.40,10.40,1092345.00
2019-07-01 00:00:00,10.60,10.80,9.60,9.80,9.80,63430.00
2019-07-02 00:00:00,10.00,10.00,9.20,9.80,9.80,64005.00
2019-07-03 00:00:00,9.80,9.80,9.20,9.40,9.40,14085.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,9.40,9.80,9.20,9.60,9.60,56060.00
2019-07-08 00:00:00,9.20,9.80,9.20,9.80,9.80,29205.00
2019-07-09 00:00:00,9.60,10.40,9.40,10.20,10.20,33255.00
2019-07-10 00:00:00,10.20,10.60,9.60,9.60,9.60,44855.00
2019-07-11 00:00:00,9.40,11.00,9.40,10.80,10.80,43950.00
2019-07-12 00:00:00,10.80,10.80,10.00,10.20,10.20,32125.00
2019-07-15 00:00:00,10.20,10.60,9.80,10.00,10.00,15905.00
2019-07-16 00:00:00,10.00,10.60,10.00,10.40,10.40,32220.00
2019-07-17 00:00:00,10.20,10.40,9.80,9.80,9.80,21515.00
2019-07-18 00:00:00,9.80,10.20,9.60,9.60,9.60,50825.00
2019-07-19 00:00:00,9.80,10.20,9.20,9.20,9.20,35040.00
2019-07-22 00:00:00,9.60,9.80,9.20,9.20,9.20,21580.00
2019-07-23 00:00:00,9.20,9.40,9.00,9.00,9.00,15900.00
2019-07-24 00:00:00,9.20,9.20,8.80,9.00,9.00,25335.00
2019-07-25 00:00:00,9.00,9.20,8.80,8.80,8.80,14315.00
2019-07-26 00:00:00,9.00,9.00,8.80,8.80,8.80,25865.00
2019-07-29 00:00:00,8.80,8.80,8.40,8.40,8.40,70135.00
2019-07-30 00:00:00,8.40,8.80,8.40,8.40,8.40,18900.00
2019-07-31 00:00:00,8.60,8.80,8.20,8.20,8.20,35320.00
2019-08-01 00:00:00,8.20,8.80,8.20,8.60,8.60,42810.00
