Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,23.92,24.13,23.60,24.11,18.94,3386900.00
2019-06-17 00:00:00,24.13,24.13,23.34,23.61,18.55,2238200.00
2019-06-18 00:00:00,23.65,23.88,23.60,23.68,18.60,1925000.00
2019-06-19 00:00:00,23.64,23.90,23.48,23.84,18.73,1123100.00
2019-06-20 00:00:00,24.12,24.33,23.89,24.05,18.89,2034400.00
2019-06-21 00:00:00,24.12,24.43,24.04,24.28,19.07,3517100.00
2019-06-24 00:00:00,24.32,24.38,23.88,24.10,18.93,2181500.00
2019-06-25 00:00:00,24.00,24.12,23.82,23.89,18.77,2426500.00
2019-06-26 00:00:00,24.02,24.48,24.01,24.08,18.92,1863100.00
2019-06-27 00:00:00,24.15,24.18,23.70,23.97,18.83,1138300.00
2019-06-28 00:00:00,24.01,24.35,23.88,24.35,19.13,1089300.00
2019-07-01 00:00:00,24.59,24.60,24.24,24.32,19.11,1519800.00
2019-07-02 00:00:00,24.30,24.51,24.00,24.32,19.11,1676900.00
2019-07-03 00:00:00,24.45,24.80,24.38,24.60,19.33,921900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,24.65,24.77,24.41,24.69,19.40,826000.00
2019-07-08 00:00:00,24.65,24.75,24.29,24.49,19.24,1270700.00
2019-07-09 00:00:00,24.43,24.52,24.19,24.50,19.25,1349300.00
2019-07-10 00:00:00,24.64,24.97,24.25,24.79,19.47,3756200.00
2019-07-11 00:00:00,24.85,25.05,24.61,24.74,19.44,1752400.00
2019-07-12 00:00:00,24.69,24.87,24.54,24.64,19.36,1171700.00
2019-07-15 00:00:00,24.69,24.82,24.46,24.62,19.34,1723800.00
2019-07-16 00:00:00,24.61,24.68,24.44,24.55,19.29,864900.00
2019-07-17 00:00:00,24.72,24.79,24.47,24.57,19.30,1450400.00
2019-07-18 00:00:00,24.46,24.58,24.19,24.51,19.25,2133500.00
2019-07-19 00:00:00,24.58,24.95,24.47,24.60,19.33,3238600.00
2019-07-22 00:00:00,24.70,25.12,24.61,25.04,19.67,2019100.00
2019-07-23 00:00:00,25.07,25.26,24.86,24.89,19.55,3281300.00
2019-07-24 00:00:00,24.81,24.88,24.65,24.78,19.47,875400.00
2019-07-25 00:00:00,24.92,24.96,24.65,24.80,19.48,2258100.00
2019-07-26 00:00:00,24.89,24.89,24.60,24.60,19.33,1532100.00
2019-07-29 00:00:00,24.75,24.75,24.02,24.08,18.92,4752100.00
2019-07-30 00:00:00,23.73,24.02,23.45,23.95,19.10,2375100.00
2019-07-31 00:00:00,23.94,24.03,23.52,23.78,18.96,2193000.00
2019-08-01 00:00:00,23.68,23.70,22.84,22.96,18.31,3202800.00
2019-08-02 00:00:00,23.05,23.19,22.66,22.83,18.21,2378700.00
2019-08-05 00:00:00,22.55,22.56,22.04,22.34,17.82,2780200.00
2019-08-06 00:00:00,22.47,22.73,22.02,22.15,17.66,2344000.00
2019-08-07 00:00:00,22.00,22.27,21.51,22.19,17.70,3283400.00
2019-08-08 00:00:00,22.11,22.42,21.92,22.39,17.86,4417700.00
2019-08-09 00:00:00,22.51,22.58,21.78,21.82,17.40,2123300.00
2019-08-12 00:00:00,21.80,21.82,21.51,21.55,17.19,1568900.00
2019-08-13 00:00:00,21.50,21.93,21.44,21.75,17.35,2776000.00
2019-08-14 00:00:00,21.78,21.78,21.15,21.52,17.16,3862700.00
2019-08-15 00:00:00,21.55,21.55,21.29,21.34,17.02,2130600.00
2019-08-16 00:00:00,21.34,21.89,21.33,21.72,17.32,2455800.00
2019-08-19 00:00:00,21.85,22.10,21.29,21.92,17.48,3139400.00
2019-08-20 00:00:00,21.96,22.12,21.80,22.06,17.59,2911300.00
2019-08-21 00:00:00,22.22,22.34,22.14,22.26,17.75,2155900.00
2019-08-22 00:00:00,22.32,22.36,21.93,21.98,17.53,1167900.00
2019-08-23 00:00:00,21.79,21.89,21.10,21.22,16.92,2092300.00
2019-08-26 00:00:00,21.33,21.44,20.90,21.01,16.76,1683900.00
2019-08-27 00:00:00,21.05,21.18,20.56,20.85,16.63,1466800.00
2019-08-28 00:00:00,21.00,21.48,20.85,21.25,16.95,2587700.00
2019-08-29 00:00:00,21.35,21.81,21.29,21.42,17.08,1916800.00
2019-08-30 00:00:00,21.44,21.55,21.18,21.43,17.09,1876600.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,21.35,21.48,21.16,21.30,16.99,1654500.00
2019-09-04 00:00:00,21.45,21.58,21.29,21.47,17.12,1349100.00
2019-09-05 00:00:00,21.51,21.65,21.28,21.28,16.97,1792300.00
2019-09-06 00:00:00,21.20,21.41,21.00,21.05,16.79,1524800.00
2019-09-09 00:00:00,21.18,21.46,21.02,21.12,16.84,2657500.00
2019-09-10 00:00:00,21.08,21.54,21.08,21.32,17.00,1619400.00
2019-09-11 00:00:00,21.42,21.56,21.31,21.44,17.10,3531400.00
2019-09-12 00:00:00,21.39,21.39,21.08,21.20,16.91,2034800.00
2019-09-13 00:00:00,21.32,21.73,21.28,21.57,17.20,3509000.00
2019-09-16 00:00:00,22.04,22.81,22.00,22.07,17.60,4527000.00
2019-09-17 00:00:00,22.22,22.49,21.90,22.18,17.69,3103500.00
2019-09-18 00:00:00,22.10,22.26,21.79,21.86,17.43,2522900.00
2019-09-19 00:00:00,21.87,22.61,21.46,21.58,17.21,6246800.00
2019-09-20 00:00:00,21.70,22.05,21.49,21.50,17.15,5407100.00
2019-09-23 00:00:00,21.50,21.90,21.48,21.78,17.37,2023600.00
2019-09-24 00:00:00,21.83,21.83,21.04,21.24,16.94,2358900.00
2019-09-25 00:00:00,21.05,21.21,20.86,21.07,16.80,3973800.00
2019-09-26 00:00:00,20.96,21.14,20.80,20.86,16.64,2732900.00
2019-09-27 00:00:00,20.77,21.08,20.74,20.96,16.72,1627700.00
2019-09-30 00:00:00,20.93,20.98,20.72,20.75,16.55,2929900.00
2019-10-01 00:00:00,20.82,20.93,20.51,20.55,16.39,1954200.00
2019-10-02 00:00:00,20.43,20.52,20.08,20.11,16.04,2353400.00
2019-10-03 00:00:00,20.00,20.31,19.72,20.26,16.16,1597900.00
2019-10-04 00:00:00,20.31,20.41,19.94,20.07,16.01,1150100.00
2019-10-07 00:00:00,20.08,20.14,19.80,19.81,15.80,1404000.00
2019-10-08 00:00:00,19.65,19.75,19.33,19.43,15.50,2554100.00
2019-10-09 00:00:00,19.56,19.68,19.08,19.16,15.28,2922800.00
2019-10-10 00:00:00,19.27,19.37,19.16,19.17,15.29,2215700.00
2019-10-11 00:00:00,19.35,19.55,19.17,19.18,15.30,3609900.00
2019-10-14 00:00:00,19.15,19.20,18.60,18.70,14.91,4399400.00
2019-10-15 00:00:00,18.68,18.97,18.67,18.72,14.93,2920700.00
2019-10-16 00:00:00,18.71,18.80,18.61,18.70,14.91,3692800.00
2019-10-17 00:00:00,18.70,19.23,18.62,19.14,15.26,3946100.00
2019-10-18 00:00:00,19.06,19.70,19.01,19.43,15.50,3178900.00
2019-10-21 00:00:00,19.42,19.57,19.39,19.47,15.53,2277500.00
2019-10-22 00:00:00,19.52,19.67,19.29,19.32,15.41,2117900.00
