Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,87.52,87.52,86.22,86.28,80.67,1326900.00
2019-06-18 00:00:00,86.98,87.47,86.59,86.86,81.21,1936200.00
2019-06-19 00:00:00,87.03,87.39,86.01,87.14,81.47,1633100.00
2019-06-20 00:00:00,87.74,88.15,87.26,87.56,81.86,1938200.00
2019-06-21 00:00:00,87.52,87.73,86.42,86.52,80.89,2904400.00
2019-06-24 00:00:00,86.67,86.88,86.15,86.18,80.57,1392200.00
2019-06-25 00:00:00,86.01,86.12,84.74,84.80,79.28,2581400.00
2019-06-26 00:00:00,84.02,84.27,81.27,81.77,76.45,5978700.00
2019-06-27 00:00:00,81.92,82.29,81.42,82.10,76.76,3631100.00
2019-06-28 00:00:00,82.06,82.34,81.60,82.29,76.94,4047500.00
2019-07-01 00:00:00,83.31,83.66,82.37,83.51,78.08,3782400.00
2019-07-02 00:00:00,83.00,85.03,81.70,83.63,78.19,4224500.00
2019-07-03 00:00:00,83.65,84.74,83.64,84.60,79.10,1442500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,84.05,85.42,83.56,85.31,79.76,2182000.00
2019-07-08 00:00:00,85.03,85.32,84.69,84.85,79.33,1783000.00
2019-07-09 00:00:00,84.57,85.32,83.85,85.21,79.67,1948100.00
2019-07-10 00:00:00,85.34,85.96,85.30,85.46,79.90,2213500.00
2019-07-11 00:00:00,85.54,85.67,84.93,85.33,79.78,1759200.00
2019-07-12 00:00:00,85.66,85.79,85.00,85.72,80.14,1747200.00
2019-07-15 00:00:00,85.91,85.99,85.37,85.73,80.15,1525700.00
2019-07-16 00:00:00,85.72,86.05,85.31,85.66,80.09,1118800.00
2019-07-17 00:00:00,85.84,85.95,85.20,85.23,79.69,1142800.00
2019-07-18 00:00:00,85.07,85.70,84.49,85.59,80.02,1373900.00
2019-07-19 00:00:00,85.90,86.15,84.53,84.56,79.06,1508300.00
2019-07-22 00:00:00,84.65,85.05,84.06,84.09,78.62,1733400.00
2019-07-23 00:00:00,84.44,84.96,83.65,84.62,79.11,2005100.00
2019-07-24 00:00:00,84.50,85.08,83.75,85.05,79.52,1621400.00
2019-07-25 00:00:00,85.10,85.58,84.56,85.42,79.86,1726900.00
2019-07-26 00:00:00,85.81,86.65,85.59,86.58,80.95,1113300.00
2019-07-29 00:00:00,86.60,86.73,86.18,86.23,80.62,1309500.00
2019-07-30 00:00:00,85.83,86.74,85.75,86.14,80.54,2181500.00
2019-07-31 00:00:00,86.01,86.29,82.30,83.05,78.21,2844200.00
2019-08-01 00:00:00,83.12,84.47,82.80,83.88,78.99,2216800.00
