Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,70.00,70.30,69.22,70.02,63.30,838000.00
2019-06-17 00:00:00,69.93,70.14,69.11,69.24,62.59,849100.00
2019-06-18 00:00:00,69.82,71.49,69.64,70.99,64.17,1208100.00
2019-06-19 00:00:00,71.00,71.41,70.50,71.20,64.36,1178600.00
2019-06-20 00:00:00,72.04,72.39,71.58,72.23,65.29,1276400.00
2019-06-21 00:00:00,72.07,72.47,71.30,71.34,64.49,1796000.00
2019-06-24 00:00:00,71.23,72.01,71.00,71.40,64.54,839800.00
2019-06-25 00:00:00,71.56,71.89,71.06,71.30,64.45,1088300.00
2019-06-26 00:00:00,71.56,71.88,70.76,70.91,64.10,1157400.00
2019-06-27 00:00:00,71.00,71.33,70.26,70.69,63.90,1167400.00
2019-06-28 00:00:00,70.94,71.86,70.63,71.66,64.78,2644100.00
2019-07-01 00:00:00,72.63,72.86,71.36,72.24,65.30,1655800.00
2019-07-02 00:00:00,71.07,71.81,70.98,71.35,64.50,1409500.00
2019-07-03 00:00:00,71.51,71.74,70.64,71.20,64.36,796500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,70.92,70.92,69.37,70.61,63.83,1298800.00
2019-07-08 00:00:00,70.36,70.91,70.23,70.66,63.87,1124300.00
2019-07-09 00:00:00,70.45,70.72,70.13,70.63,63.85,1274900.00
2019-07-10 00:00:00,70.98,71.48,70.22,70.51,63.74,1286800.00
2019-07-11 00:00:00,70.55,70.84,69.89,70.78,63.98,1055800.00
2019-07-12 00:00:00,71.09,72.18,71.09,72.13,65.20,1284000.00
2019-07-15 00:00:00,72.16,72.41,70.71,71.50,64.63,1833800.00
2019-07-16 00:00:00,71.51,72.68,71.13,72.57,65.60,1707900.00
2019-07-17 00:00:00,72.53,72.53,70.14,70.14,63.40,1996800.00
2019-07-18 00:00:00,70.02,70.17,68.26,69.08,62.45,2424500.00
2019-07-19 00:00:00,69.59,70.25,69.08,69.33,62.67,2923200.00
2019-07-22 00:00:00,69.53,70.14,68.99,69.16,62.52,2302600.00
2019-07-23 00:00:00,67.01,69.76,67.00,69.23,62.58,3492200.00
2019-07-24 00:00:00,69.36,72.41,69.36,72.14,65.21,2505900.00
2019-07-25 00:00:00,72.43,72.43,70.97,71.67,64.79,1710800.00
2019-07-26 00:00:00,71.63,72.04,70.90,71.67,64.79,1471300.00
2019-07-29 00:00:00,71.71,72.31,71.36,71.51,64.64,1219000.00
2019-07-30 00:00:00,70.54,71.03,69.20,70.97,64.15,1241800.00
2019-07-31 00:00:00,70.94,71.36,69.41,70.14,63.40,2056200.00
2019-08-01 00:00:00,70.04,70.89,67.79,68.14,61.60,1766500.00
2019-08-02 00:00:00,68.08,68.26,66.33,67.22,60.76,2206300.00
2019-08-05 00:00:00,66.16,66.55,63.95,64.43,58.24,2733300.00
2019-08-06 00:00:00,64.71,65.86,64.68,65.53,59.24,1841500.00
2019-08-07 00:00:00,64.54,65.48,64.01,65.26,58.99,1730100.00
2019-08-08 00:00:00,65.46,66.54,65.46,66.50,60.11,1316000.00
2019-08-09 00:00:00,66.17,66.17,64.69,65.21,58.95,1294600.00
2019-08-12 00:00:00,64.69,65.14,64.32,64.78,58.56,1561900.00
2019-08-13 00:00:00,64.27,67.45,64.07,66.34,60.27,1837900.00
2019-08-14 00:00:00,65.15,65.42,63.22,63.34,57.54,1848000.00
2019-08-15 00:00:00,63.51,64.03,63.09,63.70,57.87,1221500.00
2019-08-16 00:00:00,64.26,64.89,63.91,64.48,58.58,1477600.00
2019-08-19 00:00:00,65.69,65.97,64.64,64.88,58.94,1184800.00
2019-08-20 00:00:00,64.81,65.08,64.17,64.38,58.49,1777100.00
2019-08-21 00:00:00,65.04,65.46,64.71,65.04,59.09,1098500.00
2019-08-22 00:00:00,65.23,65.88,64.19,64.44,58.54,1247200.00
2019-08-23 00:00:00,64.09,64.39,62.13,62.53,56.81,1747500.00
2019-08-26 00:00:00,63.32,63.55,62.41,63.19,57.41,1279100.00
2019-08-27 00:00:00,63.69,64.18,63.23,63.43,57.62,1311000.00
2019-08-28 00:00:00,63.15,64.28,62.57,63.89,58.04,2414000.00
2019-08-29 00:00:00,64.75,65.49,64.38,65.38,59.39,2216000.00
2019-08-30 00:00:00,65.81,66.33,65.26,65.56,59.56,1750600.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,65.08,65.45,63.54,64.24,58.36,2178600.00
2019-09-04 00:00:00,64.94,65.73,64.72,65.46,59.47,1878600.00
2019-09-05 00:00:00,66.31,68.60,66.31,68.20,61.96,2514900.00
2019-09-06 00:00:00,68.67,69.13,68.14,68.34,62.08,1599800.00
2019-09-09 00:00:00,68.70,70.67,68.43,70.47,64.02,2030100.00
2019-09-10 00:00:00,70.43,72.03,70.21,71.91,65.33,2171200.00
2019-09-11 00:00:00,71.57,72.43,70.51,72.32,65.70,2093200.00
2019-09-12 00:00:00,72.00,72.00,70.70,71.19,64.67,1889400.00
2019-09-13 00:00:00,71.80,72.06,70.38,71.53,64.98,1122500.00
2019-09-16 00:00:00,71.03,71.40,70.75,70.95,64.45,1010500.00
2019-09-17 00:00:00,70.91,71.04,69.89,70.89,64.40,1452800.00
2019-09-18 00:00:00,70.72,70.86,69.98,70.75,64.27,1077500.00
2019-09-19 00:00:00,71.94,71.94,70.29,70.35,63.91,1192200.00
2019-09-20 00:00:00,70.25,71.35,70.11,70.32,63.88,2261800.00
2019-09-23 00:00:00,69.75,70.97,69.06,70.38,63.94,1289000.00
2019-09-24 00:00:00,70.42,70.70,67.81,68.19,61.95,2866300.00
2019-09-25 00:00:00,68.19,68.66,67.34,68.41,62.15,3289000.00
2019-09-26 00:00:00,67.78,68.80,67.78,68.76,62.47,1383900.00
2019-09-27 00:00:00,68.85,69.47,68.29,69.01,62.69,1304100.00
2019-09-30 00:00:00,69.44,70.22,69.02,70.01,63.60,1500900.00
2019-10-01 00:00:00,70.14,70.88,67.16,67.54,61.36,1975600.00
2019-10-02 00:00:00,67.18,67.21,65.59,66.22,60.16,1792300.00
2019-10-03 00:00:00,66.19,67.00,65.17,66.99,60.86,1473900.00
2019-10-04 00:00:00,66.94,67.94,66.84,67.84,61.63,1096300.00
2019-10-07 00:00:00,67.51,68.67,67.05,67.73,61.53,1479900.00
2019-10-08 00:00:00,66.82,67.39,66.31,66.56,60.47,1479100.00
2019-10-09 00:00:00,67.28,67.29,66.18,66.89,60.77,1279200.00
2019-10-10 00:00:00,67.47,68.09,66.99,67.32,61.16,1092200.00
2019-10-11 00:00:00,68.51,69.87,68.51,69.10,62.77,2574100.00
2019-10-14 00:00:00,68.66,69.59,68.28,69.48,63.12,1505000.00
2019-10-15 00:00:00,69.09,70.71,68.79,70.35,63.91,1421300.00
2019-10-16 00:00:00,70.13,70.86,69.84,70.07,63.66,1630800.00
2019-10-17 00:00:00,70.50,70.90,70.07,70.78,64.30,1698800.00
2019-10-18 00:00:00,70.87,72.42,70.30,72.04,65.45,2584600.00
2019-10-21 00:00:00,72.54,74.45,72.49,73.00,66.32,3501500.00
2019-10-22 00:00:00,74.05,76.39,73.00,76.37,69.38,4237700.00
2019-10-23 00:00:00,75.36,76.00,74.30,75.11,68.23,2936800.00
2019-10-24 00:00:00,75.38,75.62,74.16,75.30,68.41,1829700.00
2019-10-25 00:00:00,75.28,77.18,75.14,76.90,69.86,1918500.00
2019-10-28 00:00:00,76.99,77.80,76.93,77.51,70.41,1490900.00
2019-10-29 00:00:00,77.02,77.66,76.41,77.32,70.24,1718400.00
2019-10-30 00:00:00,76.25,76.81,75.85,76.47,69.47,1792900.00
2019-10-31 00:00:00,76.13,76.47,74.77,76.06,69.10,2332200.00
2019-11-01 00:00:00,76.43,78.07,76.06,78.05,70.91,2201700.00
2019-11-04 00:00:00,78.39,79.42,78.11,79.30,72.04,1847900.00
2019-11-05 00:00:00,79.36,80.36,78.59,79.67,72.38,1942800.00
2019-11-06 00:00:00,79.45,79.79,78.53,79.68,72.39,1294900.00
2019-11-07 00:00:00,80.00,80.57,79.57,79.87,72.56,1860400.00
2019-11-08 00:00:00,79.35,80.11,79.12,80.07,73.03,1099900.00
2019-11-11 00:00:00,79.58,80.15,79.43,79.92,72.90,842600.00
2019-11-12 00:00:00,79.91,79.98,79.28,79.43,72.45,1201700.00
2019-11-13 00:00:00,79.13,79.29,78.24,79.14,72.18,1311900.00
2019-11-14 00:00:00,80.28,80.28,79.25,79.53,72.54,1177400.00
2019-11-15 00:00:00,80.25,80.48,79.69,80.22,73.17,1294500.00
2019-11-18 00:00:00,79.54,80.17,79.20,80.03,73.00,1121900.00
2019-11-19 00:00:00,79.93,80.30,79.01,79.43,72.45,1090800.00
2019-11-20 00:00:00,79.00,79.46,78.38,78.85,71.92,1036200.00
2019-11-21 00:00:00,79.27,80.00,78.98,79.79,72.78,1562800.00
2019-11-22 00:00:00,79.98,80.50,79.74,80.44,73.37,1025000.00
2019-11-25 00:00:00,80.69,81.68,80.18,81.52,74.36,1382000.00
2019-11-26 00:00:00,81.64,81.83,80.93,81.78,74.59,1451900.00
2019-11-27 00:00:00,81.67,82.25,81.00,82.16,74.94,1113700.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,81.60,82.01,81.28,81.37,74.22,843800.00
2019-12-02 00:00:00,81.75,81.99,80.65,80.70,73.61,1464300.00
2019-12-03 00:00:00,79.61,80.22,78.88,80.09,73.05,1659300.00
2019-12-04 00:00:00,80.33,80.99,79.84,79.84,72.82,1343900.00
2019-12-05 00:00:00,80.03,80.27,79.55,80.11,73.07,1583300.00
2019-12-06 00:00:00,81.07,81.55,80.98,81.12,73.99,909800.00
2019-12-09 00:00:00,81.08,81.19,80.59,81.07,73.94,923100.00
2019-12-10 00:00:00,81.08,81.36,80.53,81.20,74.06,1411700.00
2019-12-11 00:00:00,81.50,81.82,81.03,81.40,74.25,1148300.00
2019-12-12 00:00:00,81.42,83.18,81.19,82.95,75.66,1646200.00
2019-12-13 00:00:00,82.64,83.27,81.56,82.01,74.80,1446300.00
2019-12-16 00:00:00,82.75,83.41,82.60,82.82,75.54,1911500.00
2019-12-17 00:00:00,82.74,83.11,82.06,82.15,74.93,2304300.00
2019-12-18 00:00:00,82.18,82.75,81.86,82.62,75.36,1784400.00
2019-12-19 00:00:00,80.65,80.87,79.40,79.69,74.77,1707900.00
2019-12-20 00:00:00,80.23,80.26,79.19,80.17,75.22,5134500.00
2019-12-23 00:00:00,79.96,80.45,79.38,79.55,74.64,1151700.00
2019-12-24 00:00:00,79.59,79.60,79.09,79.49,74.58,330300.00
2019-12-25 00:00:00,,,,,,
2019-12-26 00:00:00,79.61,79.67,78.89,79.51,74.60,513200.00
2019-12-27 00:00:00,79.75,79.84,79.20,79.41,74.50,692400.00
2019-12-30 00:00:00,79.32,79.46,78.60,78.97,74.09,784900.00
2019-12-31 00:00:00,79.10,79.53,78.71,79.10,74.21,1046000.00
2020-01-02 00:00:00,79.19,79.66,78.63,79.51,74.60,1731400.00
2020-01-03 00:00:00,78.31,78.83,77.67,78.73,73.87,1604700.00
2020-01-06 00:00:00,78.27,78.52,77.42,78.44,73.59,1798800.00
2020-01-07 00:00:00,77.81,78.11,77.28,77.92,73.11,1740800.00
2020-01-08 00:00:00,78.24,79.21,77.25,78.96,74.08,1832900.00
2020-01-09 00:00:00,78.84,79.16,77.58,78.45,73.60,1832400.00
2020-01-10 00:00:00,78.57,78.74,77.72,77.81,73.00,1205600.00
2020-01-13 00:00:00,77.92,78.12,77.40,78.06,73.24,1083200.00
2020-01-14 00:00:00,78.71,78.98,78.05,78.20,73.37,1439400.00
2020-01-15 00:00:00,77.89,78.04,77.25,77.46,72.68,1463900.00
2020-01-16 00:00:00,77.91,78.57,77.44,78.56,73.71,1330300.00
2020-01-17 00:00:00,78.79,79.24,78.23,78.52,73.67,1721500.00
2020-01-20 00:00:00,,,,,,
2020-01-21 00:00:00,78.48,78.48,77.26,77.54,72.75,1527900.00
2020-01-22 00:00:00,77.87,77.90,76.83,76.94,72.19,991200.00
2020-01-23 00:00:00,76.72,77.77,75.69,77.60,72.81,1201700.00
2020-01-24 00:00:00,77.23,77.26,76.23,76.79,72.05,1540700.00
2020-01-27 00:00:00,75.32,75.86,74.85,75.17,70.53,2368300.00
2020-01-28 00:00:00,76.34,77.54,74.97,76.77,72.03,3210700.00
2020-01-29 00:00:00,77.23,78.08,75.97,76.11,71.41,2386300.00
2020-01-30 00:00:00,75.51,76.15,74.98,76.06,71.36,2065000.00
2020-01-31 00:00:00,75.47,75.51,73.86,74.21,69.63,3312400.00
2020-02-03 00:00:00,74.88,75.50,74.13,74.34,69.75,2567400.00
2020-02-04 00:00:00,75.62,76.32,75.34,76.18,71.47,2474700.00
2020-02-05 00:00:00,77.24,78.17,76.97,77.99,73.17,1988100.00
2020-02-06 00:00:00,78.22,78.50,77.26,77.59,72.80,1682600.00
2020-02-07 00:00:00,77.10,77.18,75.27,75.41,70.75,2085000.00
2020-02-10 00:00:00,74.79,75.42,74.65,75.31,70.96,1598600.00
2020-02-11 00:00:00,75.74,75.90,75.13,75.66,71.29,1936000.00
2020-02-12 00:00:00,76.00,76.94,76.00,76.56,72.14,1861200.00
2020-02-13 00:00:00,76.01,76.29,74.75,74.83,70.51,1985100.00
2020-02-14 00:00:00,74.70,74.87,74.09,74.74,70.42,2958500.00
2020-02-17 00:00:00,,,,,,
2020-02-18 00:00:00,74.57,75.06,73.89,74.30,70.01,1431400.00
2020-02-19 00:00:00,74.37,74.61,73.63,74.23,69.94,1129700.00
2020-02-20 00:00:00,74.17,75.65,74.05,75.54,71.18,1710500.00
2020-02-21 00:00:00,75.00,75.52,74.56,75.36,71.01,1938900.00
2020-02-24 00:00:00,73.09,73.72,72.36,72.73,68.53,1712200.00
2020-02-25 00:00:00,73.10,73.25,69.75,69.99,65.95,2719300.00
2020-02-26 00:00:00,70.93,71.29,69.13,69.42,65.41,2161600.00
2020-02-27 00:00:00,68.40,69.94,67.13,67.77,63.85,3333200.00
2020-02-28 00:00:00,65.58,67.51,65.15,66.90,63.04,4192700.00
2020-03-02 00:00:00,67.32,69.69,66.26,69.68,65.65,2582700.00
2020-03-03 00:00:00,69.12,71.08,67.24,67.55,63.65,2652300.00
2020-03-04 00:00:00,68.48,69.52,67.75,69.45,65.44,1690000.00
2020-03-05 00:00:00,67.27,67.41,65.01,65.36,61.58,2276200.00
2020-03-06 00:00:00,62.36,64.98,62.16,64.56,60.83,2703500.00
2020-03-09 00:00:00,60.48,61.95,59.70,60.91,57.39,3460900.00
2020-03-10 00:00:00,62.95,64.66,60.97,64.65,60.92,2522500.00
2020-03-11 00:00:00,62.44,63.91,61.17,62.49,58.88,2515700.00
2020-03-12 00:00:00,57.27,62.82,57.27,59.21,55.79,4561800.00
2020-03-13 00:00:00,61.67,65.17,59.40,65.13,61.37,3727600.00
2020-03-16 00:00:00,58.01,63.96,58.00,60.17,56.69,3507500.00
2020-03-17 00:00:00,60.44,61.57,58.55,59.67,56.22,3574800.00
2020-03-18 00:00:00,57.25,58.39,53.69,55.75,52.53,3328800.00
2020-03-19 00:00:00,55.22,58.28,52.63,56.03,52.79,2982800.00
2020-03-20 00:00:00,55.46,56.38,52.04,52.30,49.28,3510700.00
2020-03-23 00:00:00,52.78,53.82,49.11,49.91,47.03,3334000.00
2020-03-24 00:00:00,52.24,57.14,51.87,57.00,53.71,3325400.00
2020-03-25 00:00:00,56.56,60.90,55.93,58.98,55.57,3117300.00
2020-03-26 00:00:00,59.11,60.98,57.68,60.45,56.96,2753800.00
2020-03-27 00:00:00,58.26,60.92,57.75,59.49,56.05,1795800.00
2020-03-30 00:00:00,58.66,62.50,58.45,62.27,58.67,2222900.00
2020-03-31 00:00:00,60.59,62.16,60.02,61.13,57.60,2264500.00
2020-04-01 00:00:00,59.23,60.53,58.21,60.12,56.65,3168500.00
2020-04-02 00:00:00,60.26,62.07,59.32,60.87,57.35,2446600.00
2020-04-03 00:00:00,61.02,62.05,60.48,61.61,58.05,2355600.00
2020-04-06 00:00:00,64.46,65.24,62.70,64.94,61.19,2626200.00
2020-04-07 00:00:00,66.21,67.67,65.13,65.53,61.74,2137300.00
2020-04-08 00:00:00,65.76,66.91,64.97,66.46,62.62,2275700.00
2020-04-09 00:00:00,67.02,68.15,65.88,67.27,63.38,1989800.00
2020-04-13 00:00:00,66.82,66.89,65.30,65.93,62.12,2236500.00
2020-04-14 00:00:00,67.10,67.50,65.80,66.81,62.95,2137000.00
2020-04-15 00:00:00,65.70,65.70,64.70,65.38,61.60,2735700.00
2020-04-16 00:00:00,65.28,67.55,64.38,66.19,62.37,2482600.00
2020-04-17 00:00:00,67.75,68.97,66.81,67.65,63.74,3657600.00
2020-04-20 00:00:00,66.95,68.50,65.71,67.20,63.32,2384400.00
2020-04-21 00:00:00,68.61,68.99,64.86,65.72,61.92,2990400.00
2020-04-22 00:00:00,66.87,67.18,65.13,66.14,62.32,1934800.00
2020-04-23 00:00:00,66.08,67.50,65.90,65.91,62.10,1843700.00
2020-04-24 00:00:00,66.65,67.70,66.00,67.48,63.58,1541300.00
2020-04-27 00:00:00,67.70,69.16,67.47,68.81,64.83,2443800.00
2020-04-28 00:00:00,70.28,70.97,69.08,69.16,65.16,2445300.00
2020-04-29 00:00:00,70.35,70.44,68.95,69.59,65.57,2099900.00
2020-04-30 00:00:00,68.90,69.48,68.15,69.23,65.23,1962700.00
2020-05-01 00:00:00,68.10,68.72,67.15,68.29,64.34,2091600.00
2020-05-04 00:00:00,68.00,68.46,67.04,68.37,64.42,1731200.00
2020-05-05 00:00:00,68.54,69.31,68.04,68.06,64.13,1560300.00
