Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,60.35,61.31,60.13,60.96,55.09,1832000.00
2019-06-17 00:00:00,60.92,61.20,60.55,60.90,55.03,1287500.00
2019-06-18 00:00:00,61.32,61.36,60.06,60.59,54.75,1978900.00
2019-06-19 00:00:00,60.08,60.78,60.00,60.55,54.71,2557800.00
2019-06-20 00:00:00,60.76,61.27,60.38,61.13,55.24,1682500.00
2019-06-21 00:00:00,61.18,61.26,60.62,61.05,55.17,2885800.00
2019-06-24 00:00:00,61.18,61.28,60.82,61.12,55.23,1433800.00
2019-06-25 00:00:00,61.50,61.50,60.03,60.14,54.34,1931300.00
2019-06-26 00:00:00,59.92,60.14,59.08,59.08,53.39,2312900.00
2019-06-27 00:00:00,59.37,59.44,58.62,58.79,53.12,2061900.00
2019-06-28 00:00:00,58.95,59.19,58.55,58.82,53.15,5638200.00
2019-07-01 00:00:00,58.82,58.95,57.84,58.42,52.79,2277500.00
2019-07-02 00:00:00,58.58,59.13,58.58,58.80,53.13,2179600.00
2019-07-03 00:00:00,59.05,59.94,58.80,59.58,53.84,2059800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,59.20,59.57,58.56,59.57,53.83,1774400.00
2019-07-08 00:00:00,59.58,59.91,59.27,59.69,53.94,1436700.00
2019-07-09 00:00:00,59.52,60.10,59.24,60.02,54.24,2348600.00
2019-07-10 00:00:00,60.11,60.52,59.89,60.22,54.42,1911800.00
2019-07-11 00:00:00,60.10,60.60,59.87,60.36,54.54,2007800.00
2019-07-12 00:00:00,60.26,60.61,59.92,60.55,54.71,1902200.00
2019-07-15 00:00:00,60.45,61.08,60.38,61.05,55.17,2530900.00
2019-07-16 00:00:00,61.02,61.35,60.28,60.51,54.68,2428600.00
2019-07-17 00:00:00,60.71,61.20,60.67,60.89,55.02,2231100.00
2019-07-18 00:00:00,60.66,61.15,60.27,61.05,55.17,1741000.00
2019-07-19 00:00:00,60.73,60.98,60.14,60.18,54.38,3488500.00
2019-07-22 00:00:00,60.27,60.28,59.42,59.77,54.01,2101400.00
2019-07-23 00:00:00,59.75,59.95,59.13,59.45,53.72,2094500.00
2019-07-24 00:00:00,59.57,59.61,58.81,59.38,53.66,2053500.00
2019-07-25 00:00:00,59.41,59.67,59.02,59.65,53.90,2457900.00
2019-07-26 00:00:00,59.65,60.31,59.32,59.54,53.80,2203200.00
2019-07-29 00:00:00,59.18,59.62,58.63,59.31,53.59,2376800.00
2019-07-30 00:00:00,59.09,59.20,57.60,57.89,52.31,3048700.00
2019-07-31 00:00:00,57.78,58.15,56.81,57.15,51.64,3755300.00
2019-08-01 00:00:00,57.15,57.58,56.49,57.18,51.67,3485900.00
2019-08-02 00:00:00,57.37,57.56,56.34,56.87,51.39,3693800.00
2019-08-05 00:00:00,56.86,57.34,55.56,55.63,50.27,3100200.00
2019-08-06 00:00:00,55.74,56.98,55.27,56.77,51.30,2822400.00
2019-08-07 00:00:00,56.64,57.74,56.08,57.17,51.66,3363700.00
2019-08-08 00:00:00,57.16,58.07,56.95,57.83,52.26,2420800.00
2019-08-09 00:00:00,57.95,58.12,57.38,57.72,52.16,2405400.00
2019-08-12 00:00:00,57.56,57.69,56.98,57.23,51.71,1943400.00
2019-08-13 00:00:00,57.24,57.86,57.01,57.63,52.08,1747700.00
2019-08-14 00:00:00,57.66,58.11,57.17,57.31,51.79,2691700.00
2019-08-15 00:00:00,57.33,58.04,57.22,57.76,52.19,1928800.00
2019-08-16 00:00:00,57.98,58.33,57.88,58.10,52.50,1843300.00
2019-08-19 00:00:00,58.25,58.71,57.98,58.55,52.91,1673900.00
2019-08-20 00:00:00,58.63,58.63,58.29,58.45,52.82,1640900.00
2019-08-21 00:00:00,58.37,58.96,58.26,58.87,53.20,1323600.00
2019-08-22 00:00:00,58.90,59.30,58.65,59.17,53.47,1783300.00
2019-08-23 00:00:00,59.39,59.65,58.17,58.44,52.81,2631800.00
2019-08-26 00:00:00,58.57,59.33,58.49,59.31,53.59,1260600.00
2019-08-27 00:00:00,59.60,60.12,59.37,59.46,53.73,2219200.00
2019-08-28 00:00:00,59.48,59.88,59.16,59.51,53.77,1834900.00
2019-08-29 00:00:00,59.87,60.08,59.47,60.08,54.29,2136900.00
2019-08-30 00:00:00,60.37,60.87,60.04,60.47,54.64,1765000.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,60.63,61.20,60.39,61.18,55.28,2170900.00
2019-09-04 00:00:00,61.55,61.59,61.02,61.39,55.47,2709200.00
2019-09-05 00:00:00,61.05,61.35,60.72,60.87,55.00,2284200.00
2019-09-06 00:00:00,60.61,60.81,60.26,60.42,55.02,1678200.00
2019-09-09 00:00:00,60.28,60.78,60.00,60.38,54.99,1877200.00
2019-09-10 00:00:00,60.38,61.15,60.15,61.15,55.69,1909700.00
2019-09-11 00:00:00,61.08,61.91,60.94,61.91,56.38,1923100.00
2019-09-12 00:00:00,62.06,62.22,61.38,61.45,55.96,2518200.00
2019-09-13 00:00:00,61.01,61.34,60.11,60.80,55.37,2262200.00
2019-09-16 00:00:00,60.82,60.96,60.52,60.80,55.37,1245500.00
2019-09-17 00:00:00,61.01,61.67,60.87,61.17,55.70,2187700.00
2019-09-18 00:00:00,61.34,61.83,61.07,61.53,56.03,1890200.00
2019-09-19 00:00:00,61.59,61.78,61.30,61.72,56.21,1317500.00
2019-09-20 00:00:00,61.93,62.18,61.60,61.80,56.28,3240200.00
2019-09-23 00:00:00,61.76,62.22,61.70,61.92,56.39,1887100.00
2019-09-24 00:00:00,62.03,62.60,61.96,62.15,56.60,2312300.00
2019-09-25 00:00:00,62.32,62.35,61.89,62.14,56.59,2412900.00
2019-09-26 00:00:00,62.33,62.53,61.84,62.26,56.70,1347700.00
2019-09-27 00:00:00,62.36,62.43,61.59,61.98,56.44,1730800.00
2019-09-30 00:00:00,61.98,62.33,61.80,62.08,56.53,2250100.00
2019-10-01 00:00:00,61.90,62.03,61.27,61.70,56.19,2067200.00
2019-10-02 00:00:00,61.62,61.78,61.05,61.29,55.81,2025100.00
2019-10-03 00:00:00,61.37,61.66,60.88,61.64,56.13,2199000.00
2019-10-04 00:00:00,61.69,62.35,61.47,62.28,56.72,1698700.00
2019-10-07 00:00:00,62.16,62.60,61.95,62.16,56.61,1352900.00
2019-10-08 00:00:00,62.01,62.01,61.16,61.17,55.70,2152800.00
2019-10-09 00:00:00,61.24,61.92,61.24,61.57,56.07,1363200.00
2019-10-10 00:00:00,61.40,61.66,61.02,61.51,56.01,1604900.00
2019-10-11 00:00:00,61.55,63.88,61.38,62.35,56.78,2190800.00
2019-10-14 00:00:00,62.39,62.59,61.78,61.85,56.32,1496000.00
2019-10-15 00:00:00,61.90,62.22,61.70,61.86,56.33,1606300.00
2019-10-16 00:00:00,61.73,62.00,61.43,61.78,56.26,3082300.00
2019-10-17 00:00:00,61.72,62.21,61.55,62.05,56.51,1261700.00
2019-10-18 00:00:00,61.88,62.37,61.81,62.29,56.72,1603700.00
2019-10-21 00:00:00,62.43,62.51,62.12,62.37,56.80,1267000.00
2019-10-22 00:00:00,62.46,62.78,62.28,62.38,56.81,1161400.00
2019-10-23 00:00:00,62.61,62.78,62.30,62.74,57.13,1688800.00
2019-10-24 00:00:00,62.61,63.28,62.61,63.20,57.55,1202800.00
2019-10-25 00:00:00,63.32,63.46,62.76,62.90,57.28,1454400.00
2019-10-28 00:00:00,62.61,62.88,62.05,62.19,56.63,1480300.00
2019-10-29 00:00:00,61.97,62.44,61.88,62.28,56.72,1683700.00
2019-10-30 00:00:00,62.41,63.25,62.29,63.23,57.58,1626300.00
2019-10-31 00:00:00,63.30,63.56,62.60,63.31,57.65,2445700.00
2019-11-01 00:00:00,63.41,63.68,62.89,62.99,57.36,2092400.00
2019-11-04 00:00:00,62.92,63.34,62.21,62.46,56.88,1723300.00
2019-11-05 00:00:00,61.95,62.39,61.73,61.92,56.39,2658100.00
2019-11-06 00:00:00,62.02,62.59,61.86,61.93,56.40,2734100.00
2019-11-07 00:00:00,61.67,61.78,61.16,61.27,55.80,1860100.00
2019-11-08 00:00:00,61.16,61.45,60.89,61.43,55.94,1314800.00
2019-11-11 00:00:00,61.41,61.55,60.73,60.81,55.38,1138600.00
2019-11-12 00:00:00,60.88,60.96,60.40,60.45,55.05,1876300.00
2019-11-13 00:00:00,60.36,61.12,60.31,61.07,55.61,2438000.00
2019-11-14 00:00:00,61.05,61.19,60.49,60.60,55.19,2111600.00
2019-11-15 00:00:00,60.65,60.91,60.39,60.89,55.45,1631600.00
2019-11-18 00:00:00,61.10,61.71,60.87,61.00,55.55,1705100.00
2019-11-19 00:00:00,60.82,60.91,60.18,60.50,55.09,2769800.00
2019-11-20 00:00:00,60.63,61.26,60.39,61.21,55.74,2417000.00
2019-11-21 00:00:00,60.73,60.93,60.51,60.72,55.30,1662800.00
2019-11-22 00:00:00,60.82,60.93,60.00,60.40,55.00,1533100.00
2019-11-25 00:00:00,59.99,60.36,59.42,59.56,54.24,2034700.00
2019-11-26 00:00:00,59.65,59.81,59.27,59.53,54.21,2594000.00
2019-11-27 00:00:00,59.51,59.53,58.93,59.52,54.20,2400900.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,59.72,60.01,59.21,59.31,54.01,1243300.00
2019-12-02 00:00:00,59.01,59.28,58.39,58.63,53.39,2359200.00
2019-12-03 00:00:00,58.51,58.88,58.42,58.49,53.26,4022700.00
2019-12-04 00:00:00,58.31,59.10,58.31,58.93,53.67,2898800.00
2019-12-05 00:00:00,58.90,58.95,58.59,58.74,53.49,3636000.00
2019-12-06 00:00:00,58.70,58.95,58.58,58.61,53.37,2039900.00
2019-12-09 00:00:00,58.12,58.25,57.79,57.89,53.14,1839200.00
2019-12-10 00:00:00,58.00,58.01,57.64,57.69,52.96,4211900.00
2019-12-11 00:00:00,57.75,58.34,57.54,58.27,53.49,3395000.00
2019-12-12 00:00:00,58.26,58.65,57.92,58.50,53.70,3998300.00
2019-12-13 00:00:00,58.53,58.85,58.42,58.55,53.75,3161600.00
2019-12-16 00:00:00,58.79,59.41,58.75,59.35,54.48,2915200.00
2019-12-17 00:00:00,59.34,59.93,59.23,59.25,54.39,2790800.00
2019-12-18 00:00:00,59.33,59.56,58.78,59.25,54.39,4181600.00
2019-12-19 00:00:00,59.35,59.75,58.64,58.65,53.84,3911200.00
2019-12-20 00:00:00,58.71,59.05,58.03,58.67,53.86,6090400.00
2019-12-23 00:00:00,58.72,59.00,58.23,58.60,53.80,2461800.00
2019-12-24 00:00:00,58.64,58.76,58.45,58.51,53.71,901800.00
2019-12-25 00:00:00,,,,,,
2019-12-26 00:00:00,58.58,58.86,58.43,58.63,53.82,2963700.00
2019-12-27 00:00:00,58.74,58.80,58.50,58.58,53.78,1953900.00
2019-12-30 00:00:00,58.46,58.71,58.43,58.67,53.86,2332500.00
2019-12-31 00:00:00,58.90,59.38,58.60,59.05,54.21,2877600.00
2020-01-02 00:00:00,59.12,59.15,58.47,58.71,53.90,2557800.00
2020-01-03 00:00:00,58.55,59.07,58.46,58.70,53.89,2992200.00
2020-01-06 00:00:00,58.71,58.85,58.11,58.13,53.36,3605300.00
2020-01-07 00:00:00,57.94,58.00,57.38,57.60,52.88,4094400.00
2020-01-08 00:00:00,57.71,58.09,57.67,57.96,53.21,3250900.00
2020-01-09 00:00:00,57.99,58.45,57.86,58.42,53.63,2081300.00
2020-01-10 00:00:00,58.48,58.85,58.26,58.30,53.52,1499400.00
2020-01-13 00:00:00,58.24,58.44,58.15,58.25,53.47,1484900.00
2020-01-14 00:00:00,58.24,58.41,57.99,58.38,53.59,2290500.00
2020-01-15 00:00:00,58.59,59.20,58.54,59.09,54.25,1528600.00
2020-01-16 00:00:00,59.17,59.28,58.97,59.02,54.18,2255300.00
2020-01-17 00:00:00,58.91,59.18,58.54,59.16,54.31,2976800.00
2020-01-20 00:00:00,,,,,,
2020-01-21 00:00:00,59.13,59.62,58.84,59.55,54.67,2894600.00
2020-01-22 00:00:00,59.75,60.63,59.57,60.30,55.36,4059000.00
2020-01-23 00:00:00,60.26,61.78,60.20,61.74,56.68,3560600.00
2020-01-24 00:00:00,61.65,62.13,61.44,61.66,56.61,2549500.00
2020-01-27 00:00:00,61.67,61.86,60.30,60.42,55.47,2514600.00
2020-01-28 00:00:00,60.47,60.57,59.56,59.67,54.78,3555300.00
2020-01-29 00:00:00,59.76,60.20,59.75,60.10,55.17,1830100.00
2020-01-30 00:00:00,60.21,60.40,59.60,60.00,55.08,3091900.00
2020-01-31 00:00:00,59.79,59.99,58.84,59.20,54.35,3023100.00
2020-02-03 00:00:00,59.44,59.70,59.14,59.33,54.47,1778200.00
2020-02-04 00:00:00,59.41,59.64,58.97,59.07,54.23,1952800.00
2020-02-05 00:00:00,58.99,59.83,58.80,59.28,54.42,2582700.00
2020-02-06 00:00:00,59.33,59.60,58.21,58.33,53.55,2771100.00
2020-02-07 00:00:00,58.53,58.61,57.66,57.70,52.97,2728300.00
2020-02-10 00:00:00,57.75,58.11,57.17,57.44,52.73,2217300.00
2020-02-11 00:00:00,57.65,58.25,57.57,57.82,53.08,2396200.00
2020-02-12 00:00:00,57.77,58.49,57.77,58.21,53.44,1876800.00
2020-02-13 00:00:00,58.18,58.57,58.06,58.36,53.58,2190200.00
2020-02-14 00:00:00,58.55,58.68,58.33,58.48,53.69,2229000.00
2020-02-17 00:00:00,,,,,,
2020-02-18 00:00:00,58.66,59.16,58.50,59.02,54.18,3242500.00
2020-02-19 00:00:00,59.00,59.05,58.72,58.90,54.07,2226500.00
2020-02-20 00:00:00,58.83,59.29,58.73,59.18,54.33,3453300.00
2020-02-21 00:00:00,59.00,60.14,58.92,59.96,55.04,4165300.00
2020-02-24 00:00:00,59.71,60.16,59.10,59.11,54.26,3336200.00
2020-02-25 00:00:00,59.07,59.15,57.41,57.41,52.70,3657800.00
2020-02-26 00:00:00,58.70,59.00,55.52,55.57,51.01,3943100.00
2020-02-27 00:00:00,55.50,55.60,52.86,52.87,48.54,5723000.00
2020-02-28 00:00:00,51.90,52.15,50.14,51.31,47.10,6031800.00
2020-03-02 00:00:00,51.35,53.76,51.27,53.71,49.31,4264100.00
2020-03-03 00:00:00,53.72,55.27,52.90,53.05,48.70,5192500.00
2020-03-04 00:00:00,53.63,55.61,53.50,55.59,51.03,2751400.00
2020-03-05 00:00:00,54.63,55.16,53.42,53.99,49.56,3736900.00
2020-03-06 00:00:00,52.55,55.04,51.56,54.73,50.24,5261100.00
2020-03-09 00:00:00,51.26,52.51,49.89,50.76,47.02,4713600.00
2020-03-10 00:00:00,51.71,53.00,50.39,52.94,49.04,5151400.00
2020-03-11 00:00:00,51.60,51.65,48.15,48.75,45.16,5177400.00
2020-03-12 00:00:00,46.11,51.08,44.25,44.59,41.30,7155800.00
2020-03-13 00:00:00,46.92,47.16,42.23,44.14,40.89,7933100.00
2020-03-16 00:00:00,40.80,44.89,39.56,40.28,37.31,5742000.00
2020-03-17 00:00:00,41.22,43.34,40.20,43.08,39.91,7256000.00
2020-03-18 00:00:00,40.66,41.27,36.64,38.26,35.44,5646300.00
2020-03-19 00:00:00,38.18,40.70,36.23,39.14,36.26,5351800.00
2020-03-20 00:00:00,39.14,40.38,37.51,37.82,35.03,6740100.00
2020-03-23 00:00:00,37.27,38.11,34.75,36.86,34.14,5522700.00
2020-03-24 00:00:00,38.52,41.20,38.27,40.78,37.78,3875000.00
2020-03-25 00:00:00,40.69,43.34,39.57,40.89,37.88,4929600.00
2020-03-26 00:00:00,41.07,44.32,40.49,44.01,40.77,3358100.00
2020-03-27 00:00:00,42.45,45.91,42.40,44.48,41.20,3651700.00
2020-03-30 00:00:00,44.97,45.43,43.46,44.51,41.23,5166300.00
2020-03-31 00:00:00,44.17,45.84,43.76,44.91,41.60,6465800.00
2020-04-01 00:00:00,43.05,43.44,41.63,42.79,39.64,3904400.00
2020-04-02 00:00:00,42.34,45.54,42.19,45.28,41.94,5214800.00
2020-04-03 00:00:00,44.84,45.82,43.93,44.36,41.09,4001000.00
2020-04-06 00:00:00,46.01,47.39,45.42,46.85,43.40,4289600.00
2020-04-07 00:00:00,48.36,49.84,47.50,47.53,44.03,4271100.00
2020-04-08 00:00:00,47.15,51.24,47.15,50.86,47.11,4300200.00
2020-04-09 00:00:00,51.56,54.16,51.54,52.95,49.05,3819300.00
2020-04-13 00:00:00,52.03,52.65,51.06,51.66,47.85,2013600.00
2020-04-14 00:00:00,52.60,53.61,51.90,53.48,49.54,4253700.00
2020-04-15 00:00:00,52.14,52.43,50.91,52.01,48.18,2886700.00
2020-04-16 00:00:00,52.07,52.82,51.30,52.17,48.33,3339200.00
2020-04-17 00:00:00,53.14,54.87,52.76,54.62,50.60,3143600.00
2020-04-20 00:00:00,53.71,53.95,51.63,51.84,48.02,2911300.00
2020-04-21 00:00:00,50.56,51.25,49.24,50.01,46.32,3086400.00
