Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,40.51,40.70,40.18,40.68,36.59,14094931.00
2019-06-18 00:00:00,40.63,41.11,40.63,40.86,36.75,22833434.00
2019-06-19 00:00:00,40.96,41.36,40.88,41.27,37.12,21753611.00
2019-06-20 00:00:00,41.58,41.85,41.28,41.37,37.21,23500300.00
2019-06-21 00:00:00,41.32,41.75,41.09,41.43,37.27,38141203.00
2019-06-24 00:00:00,41.45,41.65,41.24,41.52,37.34,24624075.00
2019-06-25 00:00:00,41.60,42.02,41.52,41.52,37.34,28429015.00
2019-06-26 00:00:00,41.44,41.56,40.32,40.79,36.69,41009348.00
2019-06-27 00:00:00,40.82,41.33,40.81,41.20,37.06,21994977.00
2019-06-28 00:00:00,41.22,41.48,40.78,41.10,36.97,39726209.00
2019-07-01 00:00:00,41.28,41.63,41.12,41.53,37.35,21341392.00
2019-07-02 00:00:00,41.44,41.95,41.42,41.95,37.73,16541898.00
2019-07-03 00:00:00,42.10,42.28,41.73,42.13,37.89,10297580.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,42.04,42.08,41.54,41.67,37.48,18295227.00
2019-07-08 00:00:00,41.56,41.62,40.78,41.08,36.95,23955312.00
2019-07-09 00:00:00,41.20,41.56,41.08,41.15,37.01,14223308.00
2019-07-10 00:00:00,41.41,41.85,41.21,41.80,37.60,15298599.00
2019-07-11 00:00:00,41.10,41.33,40.21,40.78,36.68,38383518.00
2019-07-12 00:00:00,40.71,40.79,39.86,40.23,36.18,33580967.00
2019-07-15 00:00:00,40.10,40.58,40.08,40.56,36.48,20363912.00
2019-07-16 00:00:00,40.60,40.77,40.30,40.65,36.57,19553386.00
2019-07-17 00:00:00,40.88,40.98,40.54,40.55,36.47,16341532.00
2019-07-18 00:00:00,40.66,40.85,40.37,40.85,36.74,13728877.00
2019-07-19 00:00:00,40.98,41.00,40.58,40.58,36.50,23552579.00
2019-07-22 00:00:00,40.64,40.82,40.37,40.63,36.54,12552086.00
2019-07-23 00:00:00,40.65,41.02,40.56,40.88,36.77,19586904.00
2019-07-24 00:00:00,40.80,40.80,40.20,40.69,36.60,18117838.00
2019-07-25 00:00:00,40.64,40.80,40.35,40.48,36.41,17514634.00
2019-07-26 00:00:00,40.47,40.96,40.26,40.88,36.77,21062187.00
2019-07-29 00:00:00,40.01,40.80,39.22,39.33,35.37,64559186.00
2019-07-30 00:00:00,37.79,38.18,36.62,36.80,33.10,95739668.00
2019-07-31 00:00:00,36.62,37.64,36.54,36.85,33.14,56309423.00
2019-08-01 00:00:00,36.35,36.64,35.75,36.29,32.95,51624920.00
