Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,32.43,32.95,32.35,32.85,31.67,3029200.00
2019-06-17 00:00:00,32.85,32.98,32.18,32.66,31.49,2379400.00
2019-06-18 00:00:00,32.75,33.15,32.50,32.90,31.72,4555600.00
2019-06-19 00:00:00,32.85,32.89,31.62,32.21,31.06,3944800.00
2019-06-20 00:00:00,32.48,32.77,32.23,32.73,31.56,3580300.00
2019-06-21 00:00:00,32.61,32.67,31.86,31.90,30.76,3739600.00
2019-06-24 00:00:00,31.97,32.49,31.77,32.15,31.00,2395500.00
2019-06-25 00:00:00,32.62,32.72,30.82,31.38,30.26,7000800.00
2019-06-26 00:00:00,31.49,31.70,30.84,31.16,30.04,4108600.00
2019-06-27 00:00:00,31.60,31.69,31.17,31.55,30.42,2729900.00
2019-06-28 00:00:00,31.46,31.97,31.46,31.62,30.49,4976100.00
2019-07-01 00:00:00,31.97,32.21,31.54,32.12,30.97,4119900.00
2019-07-02 00:00:00,32.15,32.48,32.04,32.46,31.30,3075000.00
2019-07-03 00:00:00,32.40,32.87,32.34,32.68,31.51,1653900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,32.44,32.56,31.72,31.94,30.80,3248500.00
2019-07-08 00:00:00,31.95,32.52,31.80,32.32,31.16,3472400.00
2019-07-09 00:00:00,32.26,32.39,31.92,31.99,30.84,5038000.00
2019-07-10 00:00:00,32.38,32.72,32.37,32.65,31.48,3112200.00
2019-07-11 00:00:00,32.72,32.74,32.12,32.69,31.52,2904900.00
2019-07-12 00:00:00,32.86,33.61,32.85,33.57,32.37,3516400.00
2019-07-15 00:00:00,33.60,33.75,33.00,33.14,31.95,4040100.00
2019-07-16 00:00:00,33.03,33.78,33.03,33.58,32.38,3093100.00
2019-07-17 00:00:00,33.63,33.79,33.42,33.48,32.28,2573600.00
2019-07-18 00:00:00,33.58,33.90,33.10,33.44,32.24,4913100.00
2019-07-19 00:00:00,33.58,33.72,33.19,33.23,32.04,2959000.00
2019-07-22 00:00:00,33.40,34.03,33.37,33.48,32.28,7357700.00
2019-07-23 00:00:00,32.10,33.14,30.57,30.69,29.59,11401100.00
2019-07-24 00:00:00,31.00,31.05,30.26,30.90,29.79,6912100.00
2019-07-25 00:00:00,30.99,31.92,30.99,31.86,30.72,5569800.00
2019-07-26 00:00:00,31.74,31.98,31.59,31.86,30.72,2634700.00
2019-07-29 00:00:00,31.81,31.95,31.29,31.47,30.34,4630800.00
2019-07-30 00:00:00,31.63,32.38,31.56,32.10,30.95,3336700.00
2019-07-31 00:00:00,32.22,32.32,31.05,31.51,30.38,4270600.00
2019-08-01 00:00:00,31.47,32.30,31.14,31.85,30.71,4082200.00
2019-08-02 00:00:00,31.78,31.92,31.30,31.34,30.22,3011800.00
2019-08-05 00:00:00,31.21,31.51,30.77,31.11,30.00,3327400.00
2019-08-06 00:00:00,31.00,31.40,30.76,30.93,29.82,3735600.00
2019-08-07 00:00:00,30.81,31.93,30.65,31.84,30.70,4376300.00
2019-08-08 00:00:00,31.95,32.58,31.93,32.51,31.35,3229400.00
2019-08-09 00:00:00,32.31,32.39,31.96,32.07,30.92,2177600.00
2019-08-12 00:00:00,31.85,31.96,31.35,31.48,30.35,1523100.00
2019-08-13 00:00:00,32.12,32.43,31.70,32.25,31.09,2023800.00
2019-08-14 00:00:00,31.90,32.11,31.33,31.66,30.53,2248400.00
2019-08-15 00:00:00,31.76,31.88,31.30,31.40,30.28,2024700.00
2019-08-16 00:00:00,31.55,32.23,31.43,32.07,30.92,2466600.00
