Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,35.59,35.90,35.58,35.72,34.21,1073600.00
2019-06-18 00:00:00,36.02,36.65,35.88,36.16,34.63,1431500.00
2019-06-19 00:00:00,36.12,36.49,35.99,36.36,34.82,1170800.00
2019-06-20 00:00:00,36.96,37.23,36.64,37.18,35.60,1367900.00
2019-06-21 00:00:00,37.22,37.22,36.61,36.61,35.06,2559700.00
2019-06-24 00:00:00,36.69,36.94,36.51,36.56,35.01,904300.00
2019-06-25 00:00:00,36.56,36.72,36.40,36.48,34.93,930600.00
2019-06-26 00:00:00,36.49,36.67,36.17,36.19,34.66,1160500.00
2019-06-27 00:00:00,36.29,36.58,36.14,36.49,34.94,1750000.00
2019-06-28 00:00:00,36.56,37.26,36.32,37.20,35.62,2028100.00
2019-07-01 00:00:00,37.61,37.70,37.04,37.40,35.82,970800.00
2019-07-02 00:00:00,37.42,37.64,37.08,37.64,36.05,1232000.00
2019-07-03 00:00:00,37.74,38.27,37.58,38.26,36.64,980400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,37.83,38.19,37.48,38.18,36.56,1316600.00
2019-07-08 00:00:00,38.00,38.20,37.65,37.71,36.11,1434300.00
2019-07-09 00:00:00,37.43,37.61,36.87,36.97,35.40,1782500.00
2019-07-10 00:00:00,37.19,37.48,36.81,36.81,35.25,1183600.00
2019-07-11 00:00:00,36.75,37.14,36.58,37.04,35.47,956700.00
2019-07-12 00:00:00,37.30,37.97,37.17,37.96,36.35,1071200.00
2019-07-15 00:00:00,38.04,38.13,37.58,38.05,36.44,1001100.00
2019-07-16 00:00:00,37.99,38.57,37.84,38.49,36.86,1590300.00
2019-07-17 00:00:00,38.45,38.45,37.64,37.67,36.07,1403300.00
2019-07-18 00:00:00,37.40,37.46,36.94,37.09,35.69,1361300.00
2019-07-19 00:00:00,37.22,37.78,36.61,37.38,35.97,1123000.00
2019-07-22 00:00:00,37.41,37.76,37.41,37.60,36.18,1147100.00
2019-07-23 00:00:00,39.02,39.39,38.12,39.32,37.83,2710200.00
2019-07-24 00:00:00,39.14,39.62,38.97,39.28,37.80,2002800.00
2019-07-25 00:00:00,39.29,39.47,38.85,39.05,37.58,2405600.00
2019-07-26 00:00:00,39.04,39.32,38.75,39.21,37.73,1067800.00
2019-07-29 00:00:00,39.21,39.26,38.85,38.95,37.48,1895200.00
2019-07-30 00:00:00,38.72,39.05,38.56,38.94,37.47,1212900.00
2019-07-31 00:00:00,38.94,39.09,38.61,38.81,37.34,2535100.00
2019-08-01 00:00:00,38.78,39.12,38.40,38.67,37.21,2464000.00
