Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,97.60,98.03,96.50,97.02,86.93,485700.00
2019-06-18 00:00:00,97.64,97.64,96.21,96.83,86.76,901200.00
2019-06-19 00:00:00,96.71,98.25,96.71,97.94,87.76,727200.00
2019-06-20 00:00:00,98.33,98.94,97.39,98.56,88.31,974700.00
2019-06-21 00:00:00,98.13,98.22,96.87,97.62,87.47,2253200.00
2019-06-24 00:00:00,97.90,98.14,96.77,96.98,86.90,2065200.00
2019-06-25 00:00:00,97.17,97.36,96.35,96.64,86.59,1320800.00
2019-06-26 00:00:00,96.49,96.81,94.48,94.48,84.66,1250800.00
2019-06-27 00:00:00,94.91,95.52,93.48,93.74,84.00,914400.00
2019-06-28 00:00:00,93.70,94.82,93.45,94.09,84.31,1304400.00
2019-07-01 00:00:00,94.09,94.34,92.92,93.92,84.16,661000.00
2019-07-02 00:00:00,94.09,95.08,94.05,94.99,85.12,644500.00
2019-07-03 00:00:00,95.19,96.25,95.19,95.63,85.69,344700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,94.70,95.62,93.91,95.29,85.38,810900.00
2019-07-08 00:00:00,95.45,95.88,94.55,95.36,85.45,808700.00
2019-07-09 00:00:00,95.12,95.64,94.78,95.52,85.59,809600.00
2019-07-10 00:00:00,96.06,96.45,95.36,95.46,85.54,453200.00
2019-07-11 00:00:00,95.34,95.76,94.07,94.71,84.86,1030000.00
2019-07-12 00:00:00,94.63,94.65,93.27,93.51,83.79,958700.00
2019-07-15 00:00:00,93.67,94.43,93.16,93.77,84.02,775300.00
2019-07-16 00:00:00,93.50,93.92,92.64,93.30,83.60,965200.00
2019-07-17 00:00:00,93.84,94.37,93.61,94.05,84.27,671500.00
2019-07-18 00:00:00,94.30,95.24,93.32,95.15,85.26,906600.00
2019-07-19 00:00:00,94.93,95.39,93.49,93.59,83.86,854400.00
2019-07-22 00:00:00,93.80,94.08,92.65,93.36,83.65,766400.00
2019-07-23 00:00:00,93.23,93.35,92.42,92.84,83.19,1082000.00
2019-07-24 00:00:00,93.26,93.31,91.28,91.80,82.26,1272000.00
2019-07-25 00:00:00,91.45,91.91,90.53,91.06,81.59,1225200.00
2019-07-26 00:00:00,91.25,92.10,90.81,92.02,82.45,708400.00
2019-07-29 00:00:00,92.41,93.17,91.78,93.12,83.44,884700.00
2019-07-30 00:00:00,93.55,93.71,91.43,91.93,82.37,1418000.00
2019-07-31 00:00:00,91.35,92.36,90.84,91.22,82.40,1092900.00
2019-08-01 00:00:00,91.04,92.68,90.65,91.97,83.08,881000.00
