Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,116.79,116.82,114.78,114.93,109.86,1020600.00
2019-06-18 00:00:00,115.50,115.76,114.47,114.68,109.62,1161600.00
2019-06-19 00:00:00,115.18,116.04,114.33,115.66,110.56,1156600.00
2019-06-20 00:00:00,117.00,117.35,114.50,115.19,110.11,1506100.00
2019-06-21 00:00:00,115.43,116.09,114.54,116.07,110.95,2309900.00
2019-06-24 00:00:00,116.00,117.37,115.95,116.90,111.74,1021200.00
2019-06-25 00:00:00,117.02,117.07,115.50,116.27,111.14,710900.00
2019-06-26 00:00:00,116.19,116.60,115.29,115.53,110.43,797800.00
2019-06-27 00:00:00,116.21,116.53,115.73,115.89,110.78,721600.00
2019-06-28 00:00:00,116.15,116.83,115.68,116.71,111.56,2138200.00
2019-07-01 00:00:00,117.66,118.68,117.11,118.63,113.40,750500.00
2019-07-02 00:00:00,118.88,118.88,117.28,118.09,112.88,731100.00
2019-07-03 00:00:00,117.81,119.10,117.81,119.08,113.83,453900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,118.12,118.21,117.05,117.96,112.76,565200.00
2019-07-08 00:00:00,117.50,117.91,115.28,116.38,111.25,1338600.00
2019-07-09 00:00:00,116.03,116.28,115.30,115.94,110.83,1178400.00
2019-07-10 00:00:00,116.50,116.91,115.17,115.41,110.32,661000.00
2019-07-11 00:00:00,115.43,116.03,114.57,116.00,110.88,961900.00
2019-07-12 00:00:00,116.28,117.85,116.27,117.04,111.88,1117000.00
2019-07-15 00:00:00,117.15,118.06,116.78,117.71,112.52,1070400.00
2019-07-16 00:00:00,117.93,118.52,117.40,117.85,112.65,1627500.00
2019-07-17 00:00:00,117.99,117.99,116.06,116.61,111.47,1428100.00
2019-07-18 00:00:00,114.99,119.00,114.99,117.00,111.84,2015500.00
2019-07-19 00:00:00,118.13,118.88,117.36,117.51,112.33,2025200.00
2019-07-22 00:00:00,117.54,118.31,116.67,116.95,111.79,1077700.00
2019-07-23 00:00:00,117.48,118.96,116.95,118.96,113.71,2019400.00
2019-07-24 00:00:00,118.66,119.29,117.59,118.10,112.89,1629700.00
2019-07-25 00:00:00,118.23,119.08,117.58,118.14,112.93,1803700.00
2019-07-26 00:00:00,118.13,118.21,117.00,117.94,112.74,1209500.00
2019-07-29 00:00:00,117.69,119.05,117.40,118.43,113.21,1165100.00
2019-07-30 00:00:00,117.80,119.35,117.35,118.96,113.71,785600.00
2019-07-31 00:00:00,118.89,119.41,116.49,117.39,112.21,815300.00
2019-08-01 00:00:00,117.39,118.24,114.99,115.67,110.57,1094500.00
