Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,43.21,43.93,42.99,43.75,41.35,975900.00
2019-06-18 00:00:00,44.06,44.65,43.57,43.87,41.47,843400.00
2019-06-19 00:00:00,44.15,44.50,43.44,44.37,41.94,1529500.00
2019-06-20 00:00:00,45.11,45.84,43.26,43.48,41.10,1944400.00
2019-06-21 00:00:00,43.54,44.70,42.90,44.50,42.06,1851800.00
2019-06-24 00:00:00,44.29,44.48,43.63,44.16,41.74,859200.00
2019-06-25 00:00:00,44.84,45.60,43.87,45.50,43.01,1482300.00
2019-06-26 00:00:00,45.54,46.22,45.23,45.67,43.17,1049200.00
2019-06-27 00:00:00,46.11,46.91,45.87,46.60,44.05,1220000.00
2019-06-28 00:00:00,46.80,47.67,46.74,47.62,45.01,1721500.00
2019-07-01 00:00:00,48.49,49.16,48.34,48.49,45.83,1036000.00
2019-07-02 00:00:00,49.20,49.86,48.39,49.38,46.67,1051000.00
2019-07-03 00:00:00,50.08,50.60,49.59,50.47,47.70,1188600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,50.47,51.02,50.00,50.17,47.42,644800.00
2019-07-08 00:00:00,50.13,51.01,50.00,50.60,47.83,926500.00
2019-07-09 00:00:00,50.01,51.41,49.98,51.01,48.21,1044600.00
2019-07-10 00:00:00,51.09,51.19,49.88,50.51,47.74,1016700.00
2019-07-11 00:00:00,50.00,50.86,49.84,50.72,47.94,804900.00
2019-07-12 00:00:00,50.83,51.79,50.45,51.76,48.92,785600.00
2019-07-15 00:00:00,51.68,51.91,51.11,51.50,48.68,749900.00
2019-07-16 00:00:00,51.45,51.45,50.36,50.37,47.61,980300.00
2019-07-17 00:00:00,50.10,50.62,49.56,50.37,47.61,1253900.00
2019-07-18 00:00:00,50.38,51.55,50.08,51.41,48.59,963800.00
2019-07-19 00:00:00,51.55,51.90,51.32,51.56,48.73,986800.00
2019-07-22 00:00:00,51.71,52.71,51.52,52.28,49.41,1133300.00
2019-07-23 00:00:00,52.68,54.03,52.63,53.84,50.89,1451500.00
2019-07-24 00:00:00,54.00,55.63,53.84,55.11,52.09,1651600.00
2019-07-25 00:00:00,54.86,55.09,52.96,53.19,50.27,1462100.00
2019-07-26 00:00:00,53.39,53.72,53.11,53.54,50.61,861300.00
2019-07-29 00:00:00,53.75,54.41,53.28,54.24,51.27,1022500.00
2019-07-30 00:00:00,54.04,54.41,53.81,54.24,51.27,1222200.00
2019-07-31 00:00:00,54.35,55.15,53.65,54.01,51.05,1120000.00
2019-08-01 00:00:00,53.93,54.40,52.25,52.59,49.71,1523800.00
