Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,99.63,99.71,98.47,99.23,85.06,1302100.00
2019-06-17 00:00:00,99.57,99.62,97.89,97.94,83.95,1230700.00
2019-06-18 00:00:00,98.00,100.13,97.64,99.49,85.28,1464700.00
2019-06-19 00:00:00,100.31,100.80,98.81,98.97,84.84,1413900.00
2019-06-20 00:00:00,99.96,100.36,98.15,100.13,85.83,2431700.00
2019-06-21 00:00:00,100.09,101.00,99.47,99.60,85.38,3062800.00
2019-06-24 00:00:00,99.56,100.47,99.10,99.30,85.12,1598200.00
2019-06-25 00:00:00,99.45,99.55,97.85,98.27,84.24,1717400.00
2019-06-26 00:00:00,99.05,99.19,98.02,98.52,84.45,1773800.00
2019-06-27 00:00:00,98.90,99.69,98.61,99.23,85.06,1186500.00
2019-06-28 00:00:00,100.01,101.19,99.71,101.00,86.58,2235200.00
2019-07-01 00:00:00,102.33,103.08,101.15,102.02,87.45,1857800.00
2019-07-02 00:00:00,102.10,102.10,100.21,100.98,86.56,1634900.00
2019-07-03 00:00:00,101.22,102.91,101.14,102.45,87.82,1199400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,102.55,102.93,101.87,102.74,88.07,1125300.00
2019-07-08 00:00:00,101.68,102.51,101.34,101.87,87.32,1185100.00
2019-07-09 00:00:00,100.94,101.94,100.94,101.59,87.08,1353100.00
2019-07-10 00:00:00,101.50,102.64,100.30,100.75,86.36,1482400.00
2019-07-11 00:00:00,101.19,101.41,100.55,101.14,86.70,2242400.00
2019-07-12 00:00:00,101.45,102.63,101.11,102.51,87.87,1201900.00
2019-07-15 00:00:00,102.37,102.67,100.89,101.89,87.34,1291600.00
2019-07-16 00:00:00,102.41,102.69,101.59,102.09,87.51,1308700.00
2019-07-17 00:00:00,101.66,101.75,99.88,100.11,85.81,1644700.00
2019-07-18 00:00:00,100.02,101.68,99.75,101.44,86.95,1628500.00
2019-07-19 00:00:00,102.12,102.77,101.00,101.02,86.59,2069200.00
2019-07-22 00:00:00,100.83,101.24,100.35,100.78,86.39,1126000.00
2019-07-23 00:00:00,101.06,102.12,101.06,101.88,87.33,1210300.00
2019-07-24 00:00:00,101.46,102.67,101.35,102.55,87.91,1279900.00
2019-07-25 00:00:00,102.40,102.96,101.84,102.46,87.83,1351200.00
2019-07-26 00:00:00,102.50,103.54,101.77,103.27,88.52,1368500.00
2019-07-29 00:00:00,103.10,103.56,102.26,102.50,87.86,1204200.00
2019-07-30 00:00:00,101.85,102.41,101.42,102.34,87.73,1200300.00
2019-07-31 00:00:00,102.35,102.54,100.98,101.31,86.84,2048400.00
2019-08-01 00:00:00,94.81,95.00,89.03,91.09,78.08,7697800.00
2019-08-02 00:00:00,90.51,90.95,88.08,88.56,75.91,4275600.00
2019-08-05 00:00:00,85.96,87.18,85.08,85.95,73.68,4216900.00
2019-08-06 00:00:00,86.72,87.00,84.20,86.23,73.92,2655200.00
2019-08-07 00:00:00,84.31,85.39,82.58,85.17,73.01,3028200.00
2019-08-08 00:00:00,86.01,86.40,85.37,86.03,73.75,2415400.00
2019-08-09 00:00:00,85.63,85.93,84.12,84.82,72.71,1671700.00
2019-08-12 00:00:00,83.60,83.82,82.35,82.72,70.91,2274800.00
2019-08-13 00:00:00,82.29,85.18,81.62,83.58,71.65,2707300.00
2019-08-14 00:00:00,81.22,82.00,80.22,80.40,68.92,3510400.00
2019-08-15 00:00:00,80.90,81.14,79.58,80.09,68.65,2674400.00
2019-08-16 00:00:00,80.80,82.54,80.79,82.03,70.32,2693000.00
2019-08-19 00:00:00,82.67,83.04,82.10,82.22,71.35,2188700.00
2019-08-20 00:00:00,81.66,81.82,80.56,80.65,69.99,2003800.00
2019-08-21 00:00:00,81.50,81.73,81.09,81.40,70.64,2316800.00
2019-08-22 00:00:00,82.03,82.53,81.41,82.08,71.23,1727600.00
2019-08-23 00:00:00,81.25,82.17,78.71,79.13,68.67,2424900.00
2019-08-26 00:00:00,80.08,80.35,79.29,79.61,69.08,1556400.00
2019-08-27 00:00:00,79.97,80.27,77.74,78.29,67.94,2360100.00
2019-08-28 00:00:00,77.65,78.93,77.65,78.39,68.03,1961900.00
2019-08-29 00:00:00,79.44,79.87,79.08,79.53,69.01,1945700.00
2019-08-30 00:00:00,80.35,80.89,79.81,80.09,69.50,1637600.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,79.11,79.26,77.89,78.64,68.24,2183800.00
2019-09-04 00:00:00,79.92,80.01,79.21,79.65,69.12,2579100.00
2019-09-05 00:00:00,79.50,82.62,79.50,81.92,71.09,3320900.00
2019-09-06 00:00:00,82.18,82.60,81.54,82.17,71.31,2313100.00
2019-09-09 00:00:00,83.00,84.59,82.31,84.20,73.07,2804800.00
2019-09-10 00:00:00,85.35,86.75,84.85,86.71,75.25,3052100.00
2019-09-11 00:00:00,87.58,88.05,85.77,88.02,76.38,2311100.00
2019-09-12 00:00:00,87.03,88.60,85.93,88.22,76.56,2364600.00
2019-09-13 00:00:00,89.87,90.68,88.91,89.82,77.94,3342900.00
2019-09-16 00:00:00,88.72,89.88,88.46,89.10,77.32,2208400.00
2019-09-17 00:00:00,88.35,88.65,87.68,88.29,76.62,2688400.00
2019-09-18 00:00:00,87.78,89.39,87.31,89.18,77.39,2198600.00
2019-09-19 00:00:00,89.15,90.13,88.91,89.01,77.24,1735800.00
2019-09-20 00:00:00,89.32,90.27,88.99,89.08,77.30,3000900.00
2019-09-23 00:00:00,88.06,90.17,87.87,89.66,77.81,1783100.00
2019-09-24 00:00:00,89.80,90.12,88.47,89.18,77.39,2336600.00
2019-09-25 00:00:00,89.03,90.24,88.81,89.77,77.90,2427600.00
2019-09-26 00:00:00,89.58,90.00,89.10,89.74,77.87,1653900.00
2019-09-27 00:00:00,90.46,91.06,89.82,90.16,78.24,2150000.00
2019-09-30 00:00:00,90.67,90.67,89.44,89.95,78.06,1961100.00
2019-10-01 00:00:00,90.73,90.79,87.17,87.28,75.74,1981500.00
2019-10-02 00:00:00,86.41,86.50,84.83,85.08,73.83,2338900.00
2019-10-03 00:00:00,84.82,85.58,83.46,85.54,74.23,2281800.00
2019-10-04 00:00:00,85.50,87.37,85.47,87.35,75.80,2449000.00
2019-10-07 00:00:00,87.45,87.97,86.80,86.99,75.49,1775300.00
2019-10-08 00:00:00,85.74,85.74,84.58,84.95,73.72,2113800.00
2019-10-09 00:00:00,85.74,86.67,85.49,86.06,74.68,1801800.00
2019-10-10 00:00:00,86.95,88.64,86.69,87.67,76.08,1567400.00
2019-10-11 00:00:00,89.88,90.80,89.34,89.42,77.60,2548300.00
2019-10-14 00:00:00,88.65,89.56,88.35,89.34,77.53,1077100.00
2019-10-15 00:00:00,89.39,90.93,88.91,89.95,78.06,1463400.00
2019-10-16 00:00:00,89.52,90.43,89.22,89.45,77.62,1387300.00
2019-10-17 00:00:00,90.29,90.74,89.07,89.38,77.56,1687600.00
2019-10-18 00:00:00,89.46,90.19,89.33,89.69,77.83,2070400.00
2019-10-21 00:00:00,90.77,91.23,90.56,90.88,78.86,1381000.00
2019-10-22 00:00:00,90.70,91.78,90.00,91.21,79.15,1470800.00
2019-10-23 00:00:00,90.14,91.60,90.14,91.57,79.46,1794400.00
2019-10-24 00:00:00,91.80,92.26,90.56,91.26,79.19,2005200.00
2019-10-25 00:00:00,90.81,92.18,90.79,91.75,79.62,1503400.00
2019-10-28 00:00:00,92.62,93.36,92.50,93.12,80.81,2047900.00
2019-10-29 00:00:00,92.74,93.94,92.74,93.00,80.70,1734800.00
2019-10-30 00:00:00,92.68,92.76,91.25,92.31,80.11,1432100.00
2019-10-31 00:00:00,91.53,91.61,89.56,91.14,79.09,2976000.00
2019-11-01 00:00:00,91.85,93.04,91.62,92.97,80.68,2566100.00
2019-11-04 00:00:00,94.02,94.91,93.61,94.50,82.01,2321700.00
2019-11-05 00:00:00,91.00,93.85,90.28,92.05,79.88,4400500.00
2019-11-06 00:00:00,91.45,91.94,89.85,90.55,78.58,2768500.00
2019-11-07 00:00:00,91.60,92.83,91.47,91.84,79.70,2071900.00
2019-11-08 00:00:00,94.59,95.01,91.31,92.89,80.61,3701300.00
2019-11-11 00:00:00,92.15,92.58,91.30,92.25,80.05,2002200.00
2019-11-12 00:00:00,92.45,93.75,92.19,93.31,80.97,3237900.00
2019-11-13 00:00:00,92.20,93.14,91.62,92.79,80.52,2326100.00
2019-11-14 00:00:00,92.52,93.07,92.52,92.81,80.54,1631000.00
2019-11-15 00:00:00,93.57,93.81,93.25,93.65,81.27,2248800.00
2019-11-18 00:00:00,93.34,93.64,92.37,93.14,80.83,2141300.00
2019-11-19 00:00:00,93.37,93.87,93.14,93.46,81.10,2110800.00
2019-11-20 00:00:00,92.98,93.50,92.47,93.12,80.81,2772700.00
2019-11-21 00:00:00,93.69,93.93,93.00,93.56,81.19,2119400.00
2019-11-22 00:00:00,93.95,95.29,93.81,94.94,82.39,2382700.00
2019-11-25 00:00:00,93.57,93.93,93.10,93.67,82.15,3143000.00
2019-11-26 00:00:00,93.64,93.93,93.38,93.83,82.29,2003400.00
2019-11-27 00:00:00,94.16,94.57,93.87,93.92,82.37,1306500.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,94.04,94.30,93.49,93.62,82.11,793600.00
2019-12-02 00:00:00,94.06,94.49,92.78,92.94,81.51,1708800.00
2019-12-03 00:00:00,91.20,91.72,89.84,90.38,79.27,2954200.00
2019-12-04 00:00:00,90.95,91.71,90.72,90.76,79.60,1838900.00
2019-12-05 00:00:00,91.49,91.90,90.79,91.01,79.82,1472900.00
2019-12-06 00:00:00,92.22,92.96,92.14,92.29,80.94,1425100.00
2019-12-09 00:00:00,91.72,93.00,91.38,92.80,81.39,1218600.00
2019-12-10 00:00:00,92.48,92.75,92.10,92.45,81.08,1382600.00
2019-12-11 00:00:00,92.43,92.67,91.92,92.42,81.05,1435400.00
2019-12-12 00:00:00,92.56,94.87,92.40,94.55,82.92,2276100.00
2019-12-13 00:00:00,94.53,95.64,93.82,94.14,82.56,1731000.00
2019-12-16 00:00:00,95.00,95.30,94.39,94.49,82.87,1613600.00
2019-12-17 00:00:00,94.39,95.34,94.30,95.13,83.43,1400900.00
2019-12-18 00:00:00,95.50,95.59,95.03,95.27,83.55,2067900.00
2019-12-19 00:00:00,95.44,95.44,94.13,94.24,82.65,3429500.00
2019-12-20 00:00:00,95.01,95.38,94.50,94.54,82.91,5207900.00
2019-12-23 00:00:00,94.65,94.85,93.54,94.28,82.69,1763300.00
2019-12-24 00:00:00,94.28,94.55,93.74,93.81,82.27,597000.00
