Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,170.56,173.45,169.60,173.35,158.25,62700.00
2019-06-18 00:00:00,174.45,176.91,174.08,175.62,160.32,268100.00
2019-06-19 00:00:00,175.20,176.91,174.24,176.79,161.39,116800.00
2019-06-20 00:00:00,177.99,178.60,177.10,177.98,162.48,145000.00
2019-06-21 00:00:00,176.56,177.25,175.48,176.26,160.91,192300.00
2019-06-24 00:00:00,176.94,177.64,175.77,176.30,160.94,107700.00
2019-06-25 00:00:00,176.78,178.16,173.98,173.98,158.83,133300.00
2019-06-26 00:00:00,174.42,174.42,169.98,170.16,155.34,78100.00
2019-06-27 00:00:00,170.77,172.10,168.40,169.27,154.53,168400.00
2019-06-28 00:00:00,169.94,171.70,168.36,168.53,153.85,531100.00
2019-07-01 00:00:00,171.66,171.66,166.13,168.13,153.49,160700.00
2019-07-02 00:00:00,168.66,170.42,168.66,169.24,154.50,131400.00
2019-07-03 00:00:00,170.22,172.02,170.09,172.02,157.04,110100.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,170.62,173.49,168.72,172.85,157.79,93800.00
2019-07-08 00:00:00,172.60,173.14,170.23,172.29,157.28,56900.00
2019-07-09 00:00:00,171.78,173.51,171.58,173.18,158.10,60800.00
2019-07-10 00:00:00,173.96,175.55,173.24,175.30,160.03,62100.00
2019-07-11 00:00:00,175.48,176.80,172.22,173.15,158.07,65900.00
2019-07-12 00:00:00,172.77,174.72,171.82,172.80,157.75,85800.00
2019-07-15 00:00:00,173.72,174.47,172.24,172.84,157.78,60500.00
2019-07-16 00:00:00,172.51,174.91,172.13,174.14,158.97,109700.00
2019-07-17 00:00:00,174.34,175.73,172.55,174.13,158.96,100900.00
2019-07-18 00:00:00,174.13,176.46,173.60,176.20,160.85,82400.00
2019-07-19 00:00:00,175.89,176.64,171.69,171.91,156.94,78700.00
2019-07-22 00:00:00,172.57,174.19,171.30,173.33,158.23,102500.00
2019-07-23 00:00:00,174.05,176.66,173.24,175.48,160.19,108200.00
2019-07-24 00:00:00,176.40,179.48,173.82,176.45,161.08,147300.00
2019-07-25 00:00:00,176.46,176.46,172.14,173.80,158.66,90700.00
2019-07-26 00:00:00,174.69,178.05,174.38,177.85,162.36,89300.00
2019-07-29 00:00:00,178.17,179.92,176.16,176.89,161.48,164000.00
2019-07-30 00:00:00,176.84,179.46,176.57,177.86,162.37,113700.00
2019-07-31 00:00:00,178.40,179.36,175.00,175.00,159.76,195400.00
2019-08-01 00:00:00,175.90,177.29,174.04,174.27,159.09,110800.00
2019-08-02 00:00:00,173.35,174.58,172.02,172.53,157.50,80100.00
