Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,69.09,69.98,68.90,69.11,65.69,9411100.00
2019-06-18 00:00:00,69.69,72.39,69.67,71.96,68.40,14508000.00
2019-06-19 00:00:00,72.37,72.62,70.80,71.80,68.25,11999300.00
2019-06-20 00:00:00,73.19,73.67,72.23,72.74,69.14,9871800.00
2019-06-21 00:00:00,72.31,73.17,72.31,72.72,69.12,15244500.00
2019-06-24 00:00:00,72.97,73.45,72.20,73.16,69.54,8893000.00
2019-06-25 00:00:00,73.23,74.14,72.52,72.55,68.96,8953400.00
2019-06-26 00:00:00,73.76,75.69,73.65,74.95,71.24,13808000.00
2019-06-27 00:00:00,75.34,75.90,75.17,75.43,71.70,11151900.00
2019-06-28 00:00:00,75.66,76.44,74.81,76.07,72.31,29217500.00
2019-07-01 00:00:00,80.67,80.76,77.08,77.52,73.68,17693000.00
2019-07-02 00:00:00,77.28,77.48,76.62,77.01,73.20,7075600.00
2019-07-03 00:00:00,77.07,77.23,76.05,76.63,72.84,5290400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,74.20,76.72,74.10,76.66,72.87,9220800.00
2019-07-08 00:00:00,75.98,77.03,75.93,76.63,72.84,7924900.00
2019-07-09 00:00:00,76.44,76.84,75.84,76.55,72.76,7506500.00
2019-07-10 00:00:00,76.83,76.91,74.08,74.36,70.68,15075700.00
2019-07-11 00:00:00,74.52,75.78,73.30,73.71,70.06,14298400.00
2019-07-12 00:00:00,74.25,74.98,73.66,74.90,71.19,8028100.00
2019-07-15 00:00:00,75.15,75.90,74.79,75.43,71.70,8898200.00
2019-07-16 00:00:00,75.11,76.50,74.55,75.67,71.92,9909600.00
2019-07-17 00:00:00,78.57,79.40,75.71,75.76,72.01,20602300.00
2019-07-18 00:00:00,74.97,75.35,74.05,74.37,70.69,12580800.00
2019-07-19 00:00:00,74.42,75.71,74.42,75.00,71.29,14477400.00
2019-07-22 00:00:00,75.06,76.62,75.06,75.95,72.19,9645800.00
2019-07-23 00:00:00,75.34,75.59,73.31,74.12,70.45,14420400.00
2019-07-24 00:00:00,74.01,76.42,73.68,75.87,72.12,14012700.00
2019-07-25 00:00:00,75.84,76.14,75.10,75.35,71.62,7299500.00
2019-07-26 00:00:00,75.11,75.85,74.85,75.22,71.50,8262500.00
2019-07-29 00:00:00,75.16,76.32,74.67,74.97,71.26,8237500.00
2019-07-30 00:00:00,74.58,75.07,74.36,74.81,71.11,7397900.00
2019-07-31 00:00:00,74.83,75.28,72.76,73.16,69.54,14052800.00
2019-08-01 00:00:00,68.88,73.71,68.25,71.20,67.68,29729800.00
