Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,56.32,57.34,56.00,57.22,57.22,170300.00
2019-06-18 00:00:00,57.58,58.16,56.90,57.14,57.14,167400.00
2019-06-19 00:00:00,57.06,59.02,57.06,58.80,58.80,177500.00
2019-06-20 00:00:00,59.59,60.53,58.88,59.26,59.26,179700.00
2019-06-21 00:00:00,59.02,59.36,58.01,59.27,59.27,330900.00
2019-06-24 00:00:00,59.12,59.42,57.90,58.95,58.95,281600.00
2019-06-25 00:00:00,59.16,59.29,58.46,58.79,58.79,314300.00
2019-06-26 00:00:00,59.02,59.02,56.76,57.56,57.56,198600.00
2019-06-27 00:00:00,57.87,58.71,57.82,58.65,58.65,187400.00
2019-06-28 00:00:00,58.80,60.16,58.19,59.32,59.32,453900.00
2019-07-01 00:00:00,60.10,60.12,58.50,59.39,59.39,147700.00
2019-07-02 00:00:00,59.49,59.63,57.87,58.56,58.56,131000.00
2019-07-03 00:00:00,58.87,58.89,58.00,58.70,58.70,42000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,58.21,58.68,57.61,58.40,58.40,68900.00
2019-07-08 00:00:00,58.13,58.36,56.21,56.51,56.51,197500.00
2019-07-09 00:00:00,56.16,57.20,55.64,57.18,57.18,107700.00
2019-07-10 00:00:00,57.58,57.91,56.84,57.18,57.18,102600.00
2019-07-11 00:00:00,57.58,57.79,56.98,57.73,57.73,91300.00
2019-07-12 00:00:00,57.55,58.30,56.56,57.35,57.35,129500.00
2019-07-15 00:00:00,57.52,58.08,56.80,57.98,57.98,105900.00
2019-07-16 00:00:00,57.87,58.10,56.86,56.87,56.87,90000.00
2019-07-17 00:00:00,56.86,57.15,56.63,56.78,56.78,155500.00
2019-07-18 00:00:00,56.68,58.37,56.68,57.93,57.93,145500.00
2019-07-19 00:00:00,57.86,60.00,56.92,56.97,56.97,100300.00
2019-07-22 00:00:00,57.23,57.55,55.53,56.08,56.08,99600.00
2019-07-23 00:00:00,56.20,56.85,55.63,56.70,56.70,106000.00
2019-07-24 00:00:00,56.72,58.84,56.57,58.82,58.82,125000.00
2019-07-25 00:00:00,58.81,58.81,57.71,58.27,58.27,147300.00
2019-07-26 00:00:00,58.48,59.56,58.44,58.86,58.86,115200.00
2019-07-29 00:00:00,58.98,59.23,57.13,57.66,57.66,128300.00
2019-07-30 00:00:00,57.51,58.83,57.31,58.43,58.43,142100.00
2019-07-31 00:00:00,58.68,59.99,58.39,59.03,59.03,173200.00
2019-08-01 00:00:00,58.99,59.84,57.11,57.41,57.41,137200.00
2019-08-02 00:00:00,57.23,57.81,55.15,55.77,55.77,157900.00
