Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,73.30,76.25,73.30,75.16,75.16,403100.00
2019-06-17 00:00:00,75.75,78.36,75.44,76.62,76.62,772600.00
2019-06-18 00:00:00,77.37,77.90,76.31,76.50,76.50,372100.00
2019-06-19 00:00:00,76.92,78.42,76.52,78.30,78.30,503400.00
2019-06-20 00:00:00,78.96,79.57,77.51,78.14,78.14,355500.00
2019-06-21 00:00:00,77.66,78.79,77.40,77.80,77.80,1018500.00
2019-06-24 00:00:00,77.95,78.00,75.38,75.51,75.51,334700.00
2019-06-25 00:00:00,75.52,75.79,73.76,74.37,74.37,303600.00
2019-06-26 00:00:00,74.91,76.10,74.39,74.58,74.58,317400.00
2019-06-27 00:00:00,74.82,76.42,74.74,76.37,76.37,205200.00
2019-06-28 00:00:00,76.71,77.57,75.66,76.36,76.36,968900.00
2019-07-01 00:00:00,77.55,77.96,75.33,76.79,76.79,438700.00
2019-07-02 00:00:00,76.63,77.13,75.77,77.13,77.13,314700.00
2019-07-03 00:00:00,77.13,78.98,77.03,78.39,78.39,240700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,77.76,78.07,76.33,77.29,77.29,141300.00
2019-07-08 00:00:00,77.04,77.64,76.05,77.23,77.23,574500.00
2019-07-09 00:00:00,76.86,79.74,76.53,79.10,79.10,606900.00
2019-07-10 00:00:00,79.57,80.58,79.16,79.87,79.87,699500.00
2019-07-11 00:00:00,80.33,80.99,79.03,79.81,79.81,515900.00
2019-07-12 00:00:00,80.00,81.54,79.50,81.18,81.18,459100.00
2019-07-15 00:00:00,81.08,81.35,80.29,80.63,80.63,425100.00
2019-07-16 00:00:00,80.58,81.35,80.12,80.65,80.65,480600.00
2019-07-17 00:00:00,80.73,81.47,80.21,80.74,80.74,299300.00
2019-07-18 00:00:00,80.49,81.12,79.60,80.96,80.96,347600.00
2019-07-19 00:00:00,81.10,81.80,79.89,79.98,79.98,189500.00
2019-07-22 00:00:00,79.95,80.98,79.95,80.24,80.24,251800.00
2019-07-23 00:00:00,80.60,80.74,78.37,79.04,79.04,335400.00
2019-07-24 00:00:00,78.91,80.00,78.64,79.70,79.70,208300.00
2019-07-25 00:00:00,79.59,79.94,78.82,78.83,78.83,342400.00
2019-07-26 00:00:00,79.26,80.35,79.05,80.07,80.07,409100.00
2019-07-29 00:00:00,80.11,80.28,77.39,80.16,80.16,285500.00
2019-07-30 00:00:00,79.52,81.00,79.52,80.49,80.49,281400.00
2019-07-31 00:00:00,80.44,81.10,78.22,79.87,79.87,412500.00
2019-08-01 00:00:00,79.80,81.08,77.13,77.26,77.26,847600.00
2019-08-02 00:00:00,76.91,77.96,76.24,76.83,76.83,361800.00
2019-08-05 00:00:00,75.15,75.15,72.65,73.82,73.82,496600.00
2019-08-06 00:00:00,74.55,76.83,74.40,74.65,74.65,361000.00
2019-08-07 00:00:00,73.98,75.69,73.87,74.69,74.69,361300.00
2019-08-08 00:00:00,79.02,89.39,79.02,86.01,86.01,1164300.00
2019-08-09 00:00:00,85.42,87.69,85.18,87.06,87.06,717100.00
2019-08-12 00:00:00,86.51,87.99,85.31,86.19,86.19,501600.00
2019-08-13 00:00:00,86.22,89.73,86.05,89.69,89.69,586700.00
2019-08-14 00:00:00,87.96,89.23,87.57,88.10,88.10,400200.00
2019-08-15 00:00:00,88.45,91.09,87.16,90.71,90.71,385500.00
2019-08-16 00:00:00,91.43,92.66,91.39,92.44,92.44,378100.00
2019-08-19 00:00:00,93.63,93.63,91.39,91.51,91.51,318000.00
2019-08-20 00:00:00,91.24,91.24,89.82,90.50,90.50,360300.00
2019-08-21 00:00:00,91.42,91.68,90.34,90.74,90.74,367500.00
2019-08-22 00:00:00,91.04,92.24,90.23,91.82,91.82,274200.00
2019-08-23 00:00:00,91.41,92.33,89.03,89.48,89.48,347300.00
2019-08-26 00:00:00,90.62,90.62,88.97,89.94,89.94,208700.00
2019-08-27 00:00:00,90.74,91.18,88.30,88.73,88.73,362200.00
2019-08-28 00:00:00,88.88,89.34,87.55,88.81,88.81,280500.00
