Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,3.34,3.35,3.20,3.27,3.27,105400.00
2019-06-18 00:00:00,3.27,3.39,3.27,3.37,3.37,30500.00
2019-06-19 00:00:00,3.35,3.37,3.31,3.34,3.34,32700.00
2019-06-20 00:00:00,3.33,3.39,3.33,3.36,3.36,122100.00
2019-06-21 00:00:00,3.35,3.38,3.14,3.14,3.14,108800.00
2019-06-24 00:00:00,3.17,3.35,3.17,3.28,3.28,63000.00
2019-06-25 00:00:00,3.32,3.33,3.21,3.22,3.22,32100.00
2019-06-26 00:00:00,3.24,3.33,3.23,3.31,3.31,62000.00
2019-06-27 00:00:00,3.32,3.36,3.26,3.35,3.35,46800.00
2019-06-28 00:00:00,3.34,3.35,3.28,3.29,3.29,16200.00
2019-07-01 00:00:00,3.34,3.40,3.31,3.34,3.34,28900.00
2019-07-02 00:00:00,3.34,3.37,3.31,3.33,3.33,9400.00
2019-07-03 00:00:00,3.34,3.44,3.26,3.42,3.42,229600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,3.43,3.54,3.40,3.52,3.52,24500.00
2019-07-08 00:00:00,3.47,3.52,3.44,3.49,3.49,33500.00
2019-07-09 00:00:00,3.50,3.60,3.42,3.59,3.59,80600.00
2019-07-10 00:00:00,3.60,3.64,3.53,3.59,3.59,33100.00
2019-07-11 00:00:00,3.61,3.61,3.48,3.53,3.53,19600.00
2019-07-12 00:00:00,3.52,3.52,3.40,3.43,3.43,33300.00
2019-07-15 00:00:00,3.40,3.44,3.37,3.38,3.38,22900.00
2019-07-16 00:00:00,3.35,3.43,3.31,3.41,3.41,27900.00
2019-07-17 00:00:00,3.41,3.43,3.37,3.39,3.39,86900.00
2019-07-18 00:00:00,3.37,3.37,3.31,3.32,3.32,26800.00
2019-07-19 00:00:00,3.32,3.37,3.32,3.37,3.37,33100.00
2019-07-22 00:00:00,3.37,3.44,3.37,3.39,3.39,43600.00
2019-07-23 00:00:00,3.40,3.51,3.39,3.40,3.40,99300.00
2019-07-24 00:00:00,3.40,3.44,3.37,3.38,3.38,51100.00
2019-07-25 00:00:00,3.40,3.44,3.36,3.41,3.41,37100.00
2019-07-26 00:00:00,3.41,3.43,3.40,3.42,3.42,21000.00
2019-07-29 00:00:00,3.42,3.43,3.37,3.40,3.40,16100.00
2019-07-30 00:00:00,3.37,3.39,3.35,3.37,3.37,17700.00
2019-07-31 00:00:00,3.40,3.44,3.34,3.41,3.41,65100.00
2019-08-01 00:00:00,3.40,3.48,3.40,3.47,3.47,26300.00
2019-08-02 00:00:00,3.46,3.48,3.37,3.38,3.38,83300.00
