Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,74.29,78.20,74.29,77.50,77.50,706200.00
2019-06-18 00:00:00,78.21,79.88,77.87,79.05,79.05,518100.00
2019-06-19 00:00:00,79.08,81.31,79.05,81.10,81.10,816300.00
2019-06-20 00:00:00,82.18,83.63,80.88,83.14,83.14,793400.00
2019-06-21 00:00:00,83.28,83.69,81.97,83.04,83.04,1002700.00
2019-06-24 00:00:00,83.12,83.53,81.82,81.91,81.91,865000.00
2019-06-25 00:00:00,83.35,83.35,80.18,80.47,80.47,491900.00
2019-06-26 00:00:00,81.00,82.15,80.25,81.52,81.52,474300.00
2019-06-27 00:00:00,81.88,83.91,81.64,83.82,83.82,468400.00
2019-06-28 00:00:00,84.20,86.16,83.60,85.95,85.95,1790800.00
2019-07-01 00:00:00,87.14,87.42,85.60,86.05,86.05,443100.00
2019-07-02 00:00:00,86.16,86.40,84.59,85.63,85.63,345600.00
2019-07-03 00:00:00,86.33,86.76,85.65,86.70,86.70,227700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,85.98,86.22,83.57,84.46,84.46,327700.00
2019-07-08 00:00:00,84.22,85.08,83.66,84.74,84.74,390000.00
2019-07-09 00:00:00,84.41,86.51,84.41,85.56,85.56,315800.00
2019-07-10 00:00:00,85.86,86.88,84.91,85.56,85.56,271400.00
2019-07-11 00:00:00,85.93,85.93,83.82,85.00,85.00,192000.00
2019-07-12 00:00:00,85.18,86.00,84.19,85.00,85.00,188300.00
2019-07-15 00:00:00,85.44,86.83,84.50,85.95,85.95,722100.00
2019-07-16 00:00:00,84.70,88.94,83.52,88.44,88.44,794300.00
2019-07-17 00:00:00,87.64,89.22,86.89,87.20,87.20,2081300.00
2019-07-18 00:00:00,87.00,88.01,86.99,87.79,87.79,671400.00
2019-07-19 00:00:00,87.76,88.50,86.77,86.80,86.80,325200.00
2019-07-22 00:00:00,88.94,89.71,87.77,88.28,88.28,592800.00
2019-07-23 00:00:00,88.59,88.82,87.19,87.88,87.88,399100.00
2019-07-24 00:00:00,87.63,89.63,86.41,89.56,89.56,261200.00
2019-07-25 00:00:00,89.56,92.73,88.89,90.90,90.90,1032500.00
2019-07-26 00:00:00,92.00,93.35,91.18,92.51,92.51,898000.00
2019-07-29 00:00:00,93.78,95.24,93.00,94.46,94.46,810100.00
2019-07-30 00:00:00,94.24,95.09,93.07,94.66,94.66,651700.00
2019-07-31 00:00:00,94.90,96.25,93.11,94.39,94.39,753800.00
2019-08-01 00:00:00,95.34,99.25,94.49,95.51,95.51,1032100.00
