Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,56.62,56.62,55.46,56.25,52.99,1322300.00
2019-06-17 00:00:00,56.21,56.48,55.42,55.57,52.35,812800.00
2019-06-18 00:00:00,55.91,57.08,55.77,56.98,53.68,1296800.00
2019-06-19 00:00:00,57.10,57.24,56.69,56.81,53.52,1036900.00
2019-06-20 00:00:00,57.38,57.50,56.74,57.32,54.00,1194300.00
2019-06-21 00:00:00,57.18,57.24,56.05,56.21,52.96,2209800.00
2019-06-24 00:00:00,56.21,56.43,55.64,55.68,52.46,798300.00
2019-06-25 00:00:00,55.74,56.13,55.23,55.47,52.26,1205700.00
2019-06-26 00:00:00,55.59,56.24,55.59,55.86,52.63,1187500.00
2019-06-27 00:00:00,56.08,56.70,56.08,56.48,53.21,996500.00
2019-06-28 00:00:00,56.74,57.37,56.40,57.01,53.71,1515400.00
2019-07-01 00:00:00,57.78,58.09,56.94,57.03,53.73,1027200.00
2019-07-02 00:00:00,57.82,58.90,57.36,58.12,54.75,5649900.00
2019-07-03 00:00:00,58.33,58.65,57.64,58.00,54.64,1889200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,58.06,58.33,57.50,57.91,54.56,1289300.00
2019-07-08 00:00:00,57.67,57.95,57.15,57.35,54.03,1786400.00
2019-07-09 00:00:00,56.98,57.49,56.64,57.44,54.11,2100900.00
2019-07-10 00:00:00,57.42,57.62,57.05,57.28,53.96,1791900.00
2019-07-11 00:00:00,57.46,57.46,56.84,57.28,53.96,1396700.00
2019-07-12 00:00:00,57.50,59.11,57.48,58.59,55.20,1163200.00
2019-07-15 00:00:00,58.63,58.77,58.09,58.77,55.37,1208400.00
2019-07-16 00:00:00,58.99,59.46,58.82,59.07,55.65,2391300.00
2019-07-17 00:00:00,58.77,58.97,58.24,58.26,54.89,1231600.00
2019-07-18 00:00:00,58.17,58.47,57.94,58.16,54.79,1288400.00
2019-07-19 00:00:00,58.46,59.10,57.62,57.64,54.30,1469000.00
2019-07-22 00:00:00,57.82,58.27,57.33,57.37,54.05,1066200.00
2019-07-23 00:00:00,57.71,58.94,57.65,58.80,55.40,2069700.00
2019-07-24 00:00:00,61.19,63.97,60.89,62.71,59.08,3488200.00
2019-07-25 00:00:00,62.49,62.74,60.65,60.76,57.24,2449900.00
2019-07-26 00:00:00,61.03,61.35,60.75,61.11,57.57,1407000.00
