Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,55.75,55.75,54.40,55.04,52.45,1329900.00
2019-06-17 00:00:00,55.25,55.49,54.74,54.83,52.25,716550.00
2019-06-18 00:00:00,54.95,56.21,54.86,55.41,52.81,938850.00
2019-06-19 00:00:00,55.62,55.80,54.07,54.09,51.54,1546050.00
2019-06-20 00:00:00,54.45,54.54,52.99,53.79,51.26,3406650.00
2019-06-21 00:00:00,53.99,54.95,53.87,54.91,52.32,3137400.00
2019-06-24 00:00:00,54.81,55.01,53.43,53.53,51.01,1816200.00
2019-06-25 00:00:00,53.39,53.75,53.01,53.43,50.92,1846050.00
2019-06-26 00:00:00,53.79,54.20,53.58,53.90,51.37,1284300.00
2019-06-27 00:00:00,54.25,55.09,53.95,55.00,52.41,1737900.00
2019-06-28 00:00:00,55.33,56.37,55.21,56.37,53.94,2077050.00
2019-07-01 00:00:00,57.10,57.58,56.95,57.33,54.86,1709700.00
2019-07-02 00:00:00,57.00,57.00,55.97,56.37,53.94,1026300.00
2019-07-03 00:00:00,56.63,56.67,56.07,56.27,53.85,813000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,56.73,57.21,56.55,57.07,54.61,704700.00
2019-07-08 00:00:00,56.44,56.59,55.64,55.77,53.37,1458750.00
2019-07-09 00:00:00,55.39,56.78,55.27,56.69,54.24,1309050.00
2019-07-10 00:00:00,56.71,56.91,56.20,56.57,54.14,1247850.00
2019-07-11 00:00:00,56.76,57.11,56.40,56.92,54.47,1147950.00
2019-07-12 00:00:00,57.06,57.47,56.82,57.40,54.93,814950.00
2019-07-15 00:00:00,57.51,57.54,56.69,57.04,54.58,1957650.00
2019-07-16 00:00:00,57.31,57.83,56.81,57.25,54.78,1084500.00
2019-07-17 00:00:00,57.01,57.07,55.45,55.79,53.38,1483200.00
2019-07-18 00:00:00,55.79,56.64,55.55,56.21,53.79,1375200.00
2019-07-19 00:00:00,56.36,56.95,56.19,56.55,54.11,1148100.00
2019-07-22 00:00:00,56.49,56.87,56.17,56.55,54.12,908100.00
2019-07-23 00:00:00,56.85,57.37,56.81,57.25,54.79,1178550.00
2019-07-24 00:00:00,56.86,58.11,56.82,57.73,55.25,1947000.00
2019-07-25 00:00:00,57.57,57.57,54.51,55.35,52.96,3424500.00
2019-07-26 00:00:00,55.40,56.63,55.36,56.55,54.12,1384200.00
2019-07-29 00:00:00,56.35,56.39,54.52,54.57,52.22,1425000.00
2019-07-30 00:00:00,54.54,54.54,53.89,54.52,52.17,1400550.00
2019-07-31 00:00:00,54.55,54.56,53.39,53.78,51.46,1520250.00
2019-08-01 00:00:00,53.63,54.07,51.72,52.20,49.95,1668150.00
2019-08-02 00:00:00,51.93,52.21,51.04,51.83,49.60,1755450.00
2019-08-05 00:00:00,50.57,51.09,49.51,50.01,47.85,2303400.00
2019-08-06 00:00:00,50.51,51.21,49.74,51.07,48.87,1294800.00
2019-08-07 00:00:00,49.77,50.91,49.00,50.65,48.47,1820550.00
2019-08-08 00:00:00,51.15,51.91,50.83,51.40,49.19,1046250.00
2019-08-09 00:00:00,51.07,51.67,50.62,51.15,48.95,1423650.00
2019-08-12 00:00:00,50.43,50.74,49.61,49.71,47.57,1365900.00
2019-08-13 00:00:00,49.80,51.45,49.37,50.64,48.46,917700.00
2019-08-14 00:00:00,49.29,49.89,48.63,48.87,46.77,2071350.00
2019-08-15 00:00:00,49.15,49.40,48.82,49.17,47.05,1432200.00
2019-08-16 00:00:00,49.66,50.82,49.52,50.50,48.32,1076400.00
2019-08-19 00:00:00,51.43,51.59,50.72,51.29,49.08,1120050.00
2019-08-20 00:00:00,51.09,51.37,50.67,51.09,48.89,1382100.00
2019-08-21 00:00:00,51.46,51.87,51.31,51.77,49.54,1223100.00
2019-08-22 00:00:00,52.13,52.81,51.93,52.37,50.12,2222700.00
2019-08-23 00:00:00,52.02,52.41,50.52,50.80,48.61,1389900.00
2019-08-26 00:00:00,51.45,51.56,50.69,51.03,48.84,885600.00
2019-08-27 00:00:00,51.26,51.46,50.25,50.44,48.27,1258650.00
2019-08-28 00:00:00,50.04,50.89,49.91,50.83,48.64,1114500.00
2019-08-29 00:00:00,51.45,52.33,51.45,52.19,49.94,777750.00
2019-08-30 00:00:00,52.65,52.85,52.12,52.34,50.09,797850.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,51.81,51.87,50.79,51.28,49.07,1155900.00
2019-09-04 00:00:00,51.81,52.05,51.60,52.02,49.78,816150.00
2019-09-05 00:00:00,53.15,53.97,53.08,53.30,51.00,929250.00
2019-09-06 00:00:00,53.46,53.99,53.03,53.71,51.39,1034400.00
