Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,111.97,113.40,111.41,112.30,107.15,653200.00
2019-06-18 00:00:00,112.68,115.44,112.51,113.38,108.18,797300.00
2019-06-19 00:00:00,113.53,113.53,110.94,112.65,107.48,847000.00
2019-06-20 00:00:00,113.34,115.50,112.84,114.91,109.64,840400.00
2019-06-21 00:00:00,115.18,118.01,114.12,117.78,112.38,1044200.00
2019-06-24 00:00:00,117.58,118.65,116.19,116.94,111.58,871700.00
2019-06-25 00:00:00,116.80,116.96,112.91,113.68,108.46,926600.00
2019-06-26 00:00:00,114.51,116.53,114.38,115.36,110.07,766400.00
2019-06-27 00:00:00,115.30,115.34,111.79,113.10,108.56,929800.00
2019-06-28 00:00:00,113.36,114.94,113.01,113.59,109.03,938100.00
2019-07-01 00:00:00,115.60,117.98,112.58,113.66,109.10,1194200.00
2019-07-02 00:00:00,113.21,113.30,109.88,110.27,105.84,1163500.00
2019-07-03 00:00:00,110.72,111.14,108.65,110.49,106.05,1095800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,110.08,111.02,109.15,110.99,106.53,992800.00
2019-07-08 00:00:00,110.61,111.68,109.84,111.34,106.87,729300.00
2019-07-09 00:00:00,110.78,111.70,110.14,110.59,106.15,1040500.00
2019-07-10 00:00:00,110.89,110.95,107.55,109.56,105.16,1179400.00
2019-07-11 00:00:00,109.89,111.36,109.01,111.11,106.65,879700.00
2019-07-12 00:00:00,111.34,113.62,111.06,112.47,107.95,813400.00
2019-07-15 00:00:00,111.87,113.30,110.99,112.57,108.05,840600.00
2019-07-16 00:00:00,112.64,115.50,112.25,115.20,110.57,993000.00
2019-07-17 00:00:00,111.49,112.31,109.35,110.80,106.35,1869500.00
2019-07-18 00:00:00,110.86,111.34,108.95,109.39,105.00,897400.00
2019-07-19 00:00:00,110.14,111.73,109.88,110.27,105.84,1213400.00
2019-07-22 00:00:00,109.96,110.90,107.15,107.40,103.09,898500.00
2019-07-23 00:00:00,107.63,109.18,107.50,108.89,104.52,896800.00
2019-07-24 00:00:00,109.49,110.78,108.06,109.73,105.32,921500.00
2019-07-25 00:00:00,109.34,111.34,109.34,110.25,105.82,845100.00
2019-07-26 00:00:00,109.67,110.58,108.56,110.08,105.66,814000.00
2019-07-29 00:00:00,109.71,111.98,109.09,111.27,106.80,1447100.00
2019-07-30 00:00:00,115.00,115.00,106.00,107.13,102.83,2726900.00
2019-07-31 00:00:00,107.29,107.51,103.26,104.23,100.04,2371300.00
2019-08-01 00:00:00,104.00,104.84,97.39,98.62,94.66,2171400.00
