Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,104.33,106.12,101.98,102.02,102.02,7326900.00
2019-06-17 00:00:00,101.55,104.33,101.01,103.84,103.84,5528300.00
2019-06-18 00:00:00,104.75,104.88,101.17,104.39,104.39,6591700.00
2019-06-19 00:00:00,104.07,106.55,102.73,106.49,106.49,5663000.00
2019-06-20 00:00:00,107.60,108.32,104.08,104.90,104.90,6138900.00
2019-06-21 00:00:00,104.40,104.50,102.40,102.57,102.57,4391200.00
2019-06-24 00:00:00,102.99,103.73,98.68,100.03,100.03,7786800.00
2019-06-25 00:00:00,99.59,99.75,92.51,93.25,93.25,12244300.00
2019-06-26 00:00:00,92.27,95.75,91.57,92.30,92.30,8598800.00
2019-06-27 00:00:00,92.73,94.50,92.45,93.23,93.23,5476300.00
2019-06-28 00:00:00,93.82,94.86,90.19,90.58,90.58,11980700.00
2019-07-01 00:00:00,92.35,94.62,90.60,91.37,91.37,5913300.00
2019-07-02 00:00:00,88.95,93.23,87.34,93.05,93.05,12853400.00
2019-07-03 00:00:00,93.58,94.50,91.67,93.51,93.51,7313700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,93.17,98.44,92.51,98.11,98.11,12061700.00
2019-07-08 00:00:00,97.74,104.00,97.31,103.25,103.25,12268300.00
2019-07-09 00:00:00,102.67,104.44,100.62,103.40,103.40,10727300.00
2019-07-10 00:00:00,104.28,105.89,102.09,103.50,103.50,8519300.00
2019-07-11 00:00:00,103.90,104.90,101.56,104.54,104.54,9091800.00
2019-07-12 00:00:00,104.22,105.46,102.12,102.47,102.47,7524200.00
2019-07-15 00:00:00,102.50,104.39,100.15,104.34,104.34,6340000.00
2019-07-16 00:00:00,104.35,113.44,103.86,111.94,111.94,21356600.00
2019-07-17 00:00:00,112.01,112.79,108.44,109.34,109.34,11183900.00
2019-07-18 00:00:00,107.10,110.57,106.57,109.02,109.02,9290500.00
2019-07-19 00:00:00,109.60,110.30,106.52,106.85,106.85,6736200.00
2019-07-22 00:00:00,107.13,109.23,105.59,108.60,108.60,5697700.00
2019-07-23 00:00:00,108.89,110.69,103.16,104.92,104.92,9726900.00
2019-07-24 00:00:00,104.68,108.18,104.11,107.66,107.66,6138600.00
2019-07-25 00:00:00,107.72,109.51,106.30,106.89,106.89,5276800.00
2019-07-26 00:00:00,107.38,111.53,107.38,110.45,110.45,6865400.00
2019-07-29 00:00:00,110.55,111.84,102.22,105.13,105.13,10855500.00
2019-07-30 00:00:00,104.00,106.74,102.38,105.76,105.76,4684800.00
2019-07-31 00:00:00,105.76,107.52,101.10,103.33,103.33,5292200.00
2019-08-01 00:00:00,103.66,105.68,99.00,100.85,100.85,5478400.00
2019-08-02 00:00:00,100.84,102.90,99.29,100.53,100.53,4444500.00
2019-08-05 00:00:00,97.87,102.75,96.00,102.57,102.57,7328700.00
2019-08-06 00:00:00,103.23,105.19,96.16,98.48,98.48,11136200.00
2019-08-07 00:00:00,98.70,103.84,98.48,100.97,100.97,13649100.00
2019-08-08 00:00:00,118.70,123.45,117.56,122.03,122.03,27655500.00
2019-08-09 00:00:00,121.74,128.20,121.54,125.32,125.32,14591500.00
2019-08-12 00:00:00,129.86,136.55,129.43,134.30,134.30,19578800.00
2019-08-13 00:00:00,137.20,142.10,133.96,135.33,135.33,20212900.00
2019-08-14 00:00:00,132.45,134.36,128.76,130.57,130.57,11600700.00
2019-08-15 00:00:00,133.00,133.94,128.27,129.40,129.40,9015800.00
2019-08-16 00:00:00,131.01,131.90,127.06,131.04,131.04,6339800.00
2019-08-19 00:00:00,132.34,135.80,128.40,134.96,134.96,9339800.00
2019-08-20 00:00:00,134.49,137.96,133.15,134.26,134.26,6652600.00
2019-08-21 00:00:00,135.12,140.45,134.34,138.58,138.58,8198400.00
2019-08-22 00:00:00,138.25,139.48,135.85,139.14,139.14,6595700.00
2019-08-23 00:00:00,137.76,143.36,136.95,137.74,137.74,11339300.00
2019-08-26 00:00:00,140.08,145.00,139.14,143.01,143.01,11145900.00
2019-08-27 00:00:00,144.89,147.75,141.21,147.02,147.02,19421100.00
2019-08-28 00:00:00,146.08,147.43,143.30,145.89,145.89,9580200.00
2019-08-29 00:00:00,148.00,150.10,146.36,149.88,149.88,10426000.00
2019-08-30 00:00:00,150.98,153.29,148.29,151.36,151.36,10520600.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,150.86,157.22,150.18,156.88,156.88,12600800.00
2019-09-04 00:00:00,161.49,169.70,158.55,168.91,168.91,28478400.00
2019-09-05 00:00:00,167.69,169.45,160.28,166.93,166.93,23405600.00
2019-09-06 00:00:00,165.47,170.97,164.85,169.86,169.86,14892300.00
2019-09-09 00:00:00,173.60,176.55,159.80,161.03,161.03,23942100.00
2019-09-10 00:00:00,157.22,158.80,139.53,144.14,144.14,34820500.00
2019-09-11 00:00:00,146.55,149.94,141.55,149.76,149.76,18660100.00
2019-09-12 00:00:00,150.00,152.79,145.82,147.78,147.78,14002000.00
2019-09-13 00:00:00,146.66,148.70,143.08,147.55,147.55,9256500.00
2019-09-16 00:00:00,146.97,152.85,146.03,149.54,149.54,11942200.00
2019-09-17 00:00:00,150.25,152.37,146.42,150.52,150.52,11124100.00
2019-09-18 00:00:00,143.60,145.75,127.79,129.88,129.88,38063700.00
2019-09-19 00:00:00,127.81,134.88,127.00,133.76,133.76,25246400.00
2019-09-20 00:00:00,127.39,127.41,103.62,108.05,108.05,64857700.00
2019-09-23 00:00:00,108.55,111.79,105.68,107.37,107.37,28234400.00
2019-09-24 00:00:00,108.39,110.38,98.65,103.53,103.53,37100500.00
2019-09-25 00:00:00,104.92,107.26,102.31,106.30,106.30,20933300.00
2019-09-26 00:00:00,106.49,106.90,100.45,103.34,103.34,15992900.00
2019-09-27 00:00:00,103.33,103.74,98.08,99.74,99.74,17528300.00
2019-09-30 00:00:00,99.40,103.09,98.69,101.76,101.76,13206900.00
2019-10-01 00:00:00,101.96,105.55,100.40,102.40,102.40,16558600.00
2019-10-02 00:00:00,100.91,105.08,99.98,102.62,102.62,14994800.00
2019-10-03 00:00:00,104.01,109.20,101.55,108.84,108.84,22658700.00
2019-10-04 00:00:00,109.05,109.25,104.27,106.77,106.77,20896900.00
2019-10-07 00:00:00,107.80,110.62,104.71,106.25,106.25,21088500.00
2019-10-08 00:00:00,105.43,109.58,104.26,108.00,108.00,13853100.00
2019-10-09 00:00:00,112.01,118.22,110.69,117.79,117.79,28238400.00
2019-10-10 00:00:00,118.12,121.70,115.28,116.13,116.13,25536400.00
2019-10-11 00:00:00,123.92,124.02,119.60,121.60,121.60,23088700.00
2019-10-14 00:00:00,120.58,122.10,117.80,119.12,119.12,14342500.00
2019-10-15 00:00:00,123.18,132.95,122.53,132.82,132.82,26445100.00
2019-10-16 00:00:00,132.83,134.28,127.81,132.50,132.50,22242600.00
2019-10-17 00:00:00,131.94,139.59,130.14,139.07,139.07,20024100.00
2019-10-18 00:00:00,137.39,139.07,124.79,129.94,129.94,32451800.00
2019-10-21 00:00:00,128.75,135.35,128.21,133.03,133.03,16360500.00
2019-10-22 00:00:00,132.81,136.70,127.02,129.06,129.06,17052100.00
2019-10-23 00:00:00,129.00,131.87,127.02,128.76,128.76,10625600.00
2019-10-24 00:00:00,128.33,131.88,126.41,131.22,131.22,10526600.00
2019-10-25 00:00:00,129.15,134.10,127.30,133.74,133.74,11485700.00
2019-10-28 00:00:00,137.00,148.17,136.40,146.88,146.88,24073200.00
2019-10-29 00:00:00,146.10,149.51,143.68,147.24,147.24,16095100.00
2019-10-30 00:00:00,147.74,151.48,146.84,149.43,149.43,10916500.00
2019-10-31 00:00:00,149.43,151.30,143.36,147.20,147.20,13249300.00
2019-11-01 00:00:00,148.44,148.70,143.41,146.50,146.50,10946600.00
2019-11-04 00:00:00,147.15,148.85,137.45,140.51,140.51,20088800.00
2019-11-05 00:00:00,140.47,142.65,136.71,139.57,139.57,11789400.00
2019-11-06 00:00:00,138.65,143.95,136.81,141.05,141.05,21711900.00
2019-11-07 00:00:00,118.75,128.38,116.26,118.46,118.46,52683900.00
2019-11-08 00:00:00,119.20,123.56,118.70,121.94,121.94,19210200.00
2019-11-11 00:00:00,120.80,129.55,120.28,129.21,129.21,20678300.00
2019-11-12 00:00:00,130.08,135.80,130.08,135.35,135.35,24287800.00
2019-11-13 00:00:00,134.48,142.45,133.06,142.37,142.37,20516300.00
2019-11-14 00:00:00,142.00,150.04,141.19,148.70,148.70,26197900.00
2019-11-15 00:00:00,151.70,158.23,149.80,157.30,157.30,26578000.00
2019-11-18 00:00:00,157.30,165.10,153.56,160.12,160.12,27376900.00
2019-11-19 00:00:00,153.45,158.00,147.51,153.91,153.91,31446000.00
2019-11-20 00:00:00,152.21,160.99,151.17,158.93,158.93,26596300.00
2019-11-21 00:00:00,159.70,163.33,154.13,155.91,155.91,21586300.00
2019-11-22 00:00:00,158.60,160.58,154.56,158.75,158.75,14853100.00
2019-11-25 00:00:00,160.76,162.47,157.51,158.08,158.08,14364900.00
2019-11-26 00:00:00,158.95,164.42,157.60,164.28,164.28,16023300.00
2019-11-27 00:00:00,167.05,168.85,159.61,161.64,161.64,19085100.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,160.88,163.44,159.30,160.37,160.37,7526800.00
2019-12-02 00:00:00,145.85,146.68,132.40,136.07,136.07,48122400.00
2019-12-03 00:00:00,138.06,145.89,136.52,144.63,144.63,27429200.00
2019-12-04 00:00:00,149.00,151.97,144.05,150.58,150.58,26243300.00
2019-12-05 00:00:00,152.47,153.35,147.55,148.34,148.34,15822900.00
2019-12-06 00:00:00,148.60,149.79,143.13,144.26,144.26,15771800.00
2019-12-09 00:00:00,143.95,148.03,143.61,145.54,145.54,12513100.00
2019-12-10 00:00:00,146.40,149.27,145.30,147.09,147.09,11118800.00
2019-12-11 00:00:00,147.98,148.72,144.67,145.70,145.70,9531500.00
2019-12-12 00:00:00,144.73,144.88,136.81,139.57,139.57,16718900.00
2019-12-13 00:00:00,138.30,142.84,132.16,132.49,132.49,17452600.00
2019-12-16 00:00:00,134.00,138.51,127.53,138.35,138.35,19597400.00
2019-12-17 00:00:00,136.49,137.74,132.80,135.28,135.28,16008200.00
2019-12-18 00:00:00,136.03,137.59,133.93,134.44,134.44,9436000.00
2019-12-19 00:00:00,134.39,141.00,133.80,137.73,137.73,13758000.00
2019-12-20 00:00:00,140.14,141.87,136.35,136.89,136.89,12703400.00
2019-12-23 00:00:00,137.01,141.25,136.08,140.14,140.14,10810500.00
2019-12-24 00:00:00,141.30,146.72,140.50,145.57,145.57,11084700.00
2019-12-25 00:00:00,,,,,,
2019-12-26 00:00:00,146.69,149.49,143.82,144.60,144.60,14660200.00
2019-12-27 00:00:00,144.94,145.10,139.00,139.52,139.52,13303200.00
2019-12-30 00:00:00,137.50,138.75,130.60,131.60,131.60,14469100.00
2019-12-31 00:00:00,128.75,134.85,127.22,133.90,133.90,13763900.00
2020-01-02 00:00:00,135.99,137.33,133.58,137.10,137.10,9924400.00
2020-01-03 00:00:00,134.51,138.89,134.00,137.51,137.51,8637000.00
2020-01-06 00:00:00,136.26,144.55,135.76,143.37,143.37,14422000.00
2020-01-07 00:00:00,144.01,144.23,137.91,138.19,138.19,11574700.00
2020-01-08 00:00:00,137.11,137.93,132.85,134.64,134.64,11291300.00
2020-01-09 00:00:00,135.67,138.77,131.24,133.79,133.79,12630700.00
2020-01-10 00:00:00,132.64,133.00,128.10,128.40,128.40,13439800.00
2020-01-13 00:00:00,130.23,135.00,126.30,133.93,133.93,18440100.00
2020-01-14 00:00:00,134.04,137.13,131.12,133.42,133.42,11144500.00
2020-01-15 00:00:00,132.87,136.06,132.13,132.50,132.50,7642700.00
2020-01-16 00:00:00,132.87,134.27,128.40,131.07,131.07,11206500.00
2020-01-17 00:00:00,131.25,131.60,128.38,130.38,130.38,9173500.00
2020-01-20 00:00:00,,,,,,
2020-01-21 00:00:00,132.15,137.50,131.23,136.63,136.63,12801100.00
2020-01-22 00:00:00,137.52,140.50,132.31,132.43,132.43,11829900.00
2020-01-23 00:00:00,132.18,134.99,129.55,134.07,134.07,8818800.00
2020-01-24 00:00:00,133.92,135.66,128.79,130.09,130.09,8488100.00
2020-01-27 00:00:00,127.53,128.52,123.78,126.21,126.21,9239400.00
2020-01-28 00:00:00,127.30,130.29,125.01,129.61,129.61,8173100.00
2020-01-29 00:00:00,130.44,131.80,128.62,128.88,128.88,5805200.00
2020-01-30 00:00:00,127.56,130.88,126.80,130.64,130.64,4472500.00
2020-01-31 00:00:00,129.10,129.53,120.35,120.95,120.95,16948000.00
2020-02-03 00:00:00,123.90,129.48,123.20,127.50,127.50,10112900.00
2020-02-04 00:00:00,129.10,132.79,128.77,131.03,131.03,7994400.00
2020-02-05 00:00:00,133.46,133.51,125.02,125.94,125.94,8797400.00
2020-02-06 00:00:00,126.40,129.02,124.23,126.16,126.16,6425800.00
2020-02-07 00:00:00,126.30,127.60,123.90,124.25,124.25,5447800.00
2020-02-10 00:00:00,124.99,133.37,124.80,132.21,132.21,13483900.00
2020-02-11 00:00:00,135.71,142.45,134.10,137.00,137.00,19908000.00
2020-02-12 00:00:00,140.28,141.30,137.03,138.29,138.29,12578200.00
2020-02-13 00:00:00,139.50,141.71,138.36,139.05,139.05,20641400.00
2020-02-14 00:00:00,149.19,151.20,127.40,130.25,130.25,63567800.00
2020-02-17 00:00:00,,,,,,
2020-02-18 00:00:00,131.66,133.55,125.24,127.15,127.15,19434100.00
2020-02-19 00:00:00,129.22,131.60,126.40,126.56,126.56,17247300.00
2020-02-20 00:00:00,127.25,127.79,121.12,124.08,124.08,15397000.00
2020-02-21 00:00:00,122.95,123.75,118.24,119.38,119.38,12555300.00
2020-02-24 00:00:00,110.30,118.00,108.05,116.99,116.99,16435500.00
2020-02-25 00:00:00,119.48,120.49,113.06,118.67,118.67,14533000.00
2020-02-26 00:00:00,118.29,119.36,112.33,112.71,112.71,9723300.00
2020-02-27 00:00:00,106.88,115.20,105.57,110.03,110.03,15852100.00
2020-02-28 00:00:00,107.00,114.12,106.00,113.67,113.67,12246900.00
2020-03-02 00:00:00,115.49,116.16,111.33,114.67,114.67,9298100.00
2020-03-03 00:00:00,113.98,114.75,106.42,108.62,108.62,11612300.00
2020-03-04 00:00:00,110.01,110.45,105.65,109.61,109.61,8881200.00
2020-03-05 00:00:00,108.20,110.08,105.66,106.44,106.44,8623400.00
2020-03-06 00:00:00,104.35,105.30,98.60,102.02,102.02,11841500.00
2020-03-09 00:00:00,91.00,101.95,90.40,96.26,96.26,10503200.00
2020-03-10 00:00:00,101.06,101.06,92.75,97.30,97.30,9694200.00
2020-03-11 00:00:00,96.38,97.35,89.15,90.63,90.63,8737000.00
2020-03-12 00:00:00,80.65,86.64,78.80,78.81,78.81,13580500.00
2020-03-13 00:00:00,82.71,83.48,74.25,80.95,80.95,11944000.00
2020-03-16 00:00:00,74.70,76.47,63.59,63.84,63.84,14455800.00
2020-03-17 00:00:00,60.30,75.79,58.22,69.46,69.46,24859200.00
2020-03-18 00:00:00,64.79,74.85,61.50,67.50,67.50,19522000.00
2020-03-19 00:00:00,69.47,75.54,67.22,74.12,74.12,13199800.00
2020-03-20 00:00:00,76.52,80.08,73.16,76.13,76.13,13755000.00
2020-03-23 00:00:00,77.37,90.44,74.77,89.46,89.46,18705900.00
2020-03-24 00:00:00,96.50,101.78,92.10,97.20,97.20,17774300.00
2020-03-25 00:00:00,97.85,100.00,88.88,94.85,94.85,15629700.00
2020-03-26 00:00:00,93.20,96.44,87.00,89.75,89.75,15213300.00
2020-03-27 00:00:00,87.40,89.50,83.13,87.45,87.45,9820700.00
2020-03-30 00:00:00,88.95,90.85,86.15,89.61,89.61,7899500.00
2020-03-31 00:00:00,89.16,94.70,87.08,87.48,87.48,9175500.00
2020-04-01 00:00:00,84.98,86.50,81.64,82.42,82.42,8694600.00
2020-04-02 00:00:00,81.41,84.62,80.75,82.53,82.53,5268800.00
2020-04-03 00:00:00,82.28,83.34,79.38,81.46,81.46,4738100.00
2020-04-06 00:00:00,83.71,90.44,83.50,89.49,89.49,7148400.00
2020-04-07 00:00:00,92.85,93.68,86.56,87.80,87.80,6193000.00
2020-04-08 00:00:00,88.90,92.15,87.52,87.81,87.81,6446900.00
2020-04-09 00:00:00,90.10,94.10,89.13,92.45,92.45,7271800.00
2020-04-13 00:00:00,92.50,96.80,91.07,96.56,96.56,8648400.00
