Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,226.80,228.73,225.68,227.75,224.67,926300.00
2019-06-18 00:00:00,228.75,230.95,228.51,229.55,226.44,782500.00
2019-06-19 00:00:00,229.79,234.33,229.61,233.48,230.32,596100.00
2019-06-20 00:00:00,234.90,236.56,232.83,233.68,230.52,524100.00
2019-06-21 00:00:00,232.25,233.30,230.52,231.91,228.77,837600.00
2019-06-24 00:00:00,232.73,235.00,230.80,232.52,229.37,441200.00
2019-06-25 00:00:00,233.19,233.84,228.08,228.33,225.24,437800.00
2019-06-26 00:00:00,227.88,227.88,222.48,223.50,220.48,607800.00
2019-06-27 00:00:00,223.06,225.86,223.06,224.83,221.79,364400.00
2019-06-28 00:00:00,225.01,225.01,222.60,224.84,221.80,832700.00
2019-07-01 00:00:00,227.48,227.48,221.10,224.99,221.95,616100.00
2019-07-02 00:00:00,226.26,230.74,225.76,230.42,227.30,639300.00
2019-07-03 00:00:00,230.52,234.82,230.30,234.29,231.12,313500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,232.58,234.02,229.03,232.61,229.46,381100.00
2019-07-08 00:00:00,231.00,234.67,231.00,233.42,230.26,360200.00
2019-07-09 00:00:00,233.22,235.33,233.22,234.75,231.57,564700.00
2019-07-10 00:00:00,235.21,236.48,233.77,235.97,232.78,509100.00
2019-07-11 00:00:00,235.65,236.90,233.54,235.18,232.00,429600.00
2019-07-12 00:00:00,236.31,236.42,231.79,233.97,230.80,374900.00
2019-07-15 00:00:00,233.67,235.53,232.94,235.27,232.09,538900.00
2019-07-16 00:00:00,235.22,235.67,231.84,232.31,229.17,465500.00
2019-07-17 00:00:00,233.53,234.65,230.06,231.85,228.71,432500.00
2019-07-18 00:00:00,229.43,232.83,228.04,231.80,228.66,845300.00
2019-07-19 00:00:00,231.84,233.51,228.18,228.40,225.31,445200.00
2019-07-22 00:00:00,228.86,232.04,227.61,230.30,227.18,578600.00
2019-07-23 00:00:00,230.85,233.25,229.66,233.17,230.02,393700.00
2019-07-24 00:00:00,232.71,234.64,227.89,234.08,230.91,602400.00
2019-07-25 00:00:00,234.05,234.46,231.58,233.79,230.63,340300.00
2019-07-26 00:00:00,233.74,237.09,232.98,236.82,233.62,412800.00
2019-07-29 00:00:00,236.99,238.84,235.40,236.98,233.77,901500.00
2019-07-30 00:00:00,248.86,249.05,238.18,248.43,245.07,1014600.00
2019-07-31 00:00:00,248.66,248.66,243.16,245.41,242.09,814500.00
2019-08-01 00:00:00,245.00,247.94,239.62,246.79,243.45,723800.00
