Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,84.65,84.69,82.89,83.02,79.97,9313700.00
2019-06-18 00:00:00,83.55,84.11,82.89,82.92,79.88,10582600.00
2019-06-19 00:00:00,83.08,83.92,82.08,83.81,80.73,5401400.00
2019-06-20 00:00:00,84.41,84.83,83.83,84.69,81.58,5215800.00
2019-06-21 00:00:00,84.43,84.77,83.81,83.82,80.74,12610000.00
2019-06-24 00:00:00,84.08,84.56,83.61,83.65,80.58,6692500.00
2019-06-25 00:00:00,84.20,85.20,83.96,84.25,81.16,7312300.00
2019-06-26 00:00:00,84.30,84.30,83.18,83.38,80.32,7576400.00
2019-06-27 00:00:00,83.55,83.89,83.21,83.56,80.49,6084200.00
2019-06-28 00:00:00,83.56,83.96,83.32,83.83,80.75,6735300.00
2019-07-01 00:00:00,84.62,84.96,84.03,84.55,81.45,7935100.00
2019-07-02 00:00:00,84.74,85.59,84.52,85.51,82.37,6205800.00
2019-07-03 00:00:00,86.04,87.82,85.98,87.79,84.57,7818600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,87.50,87.89,86.88,87.79,84.57,5733100.00
2019-07-08 00:00:00,87.60,87.95,87.18,87.44,84.23,6359500.00
2019-07-09 00:00:00,87.29,87.65,86.89,87.23,84.03,5355400.00
2019-07-10 00:00:00,87.42,88.54,87.42,88.38,85.14,5293000.00
2019-07-11 00:00:00,88.66,89.29,88.27,89.07,85.80,6191400.00
2019-07-12 00:00:00,89.28,89.82,88.85,89.77,86.47,5628000.00
2019-07-15 00:00:00,89.87,90.34,89.66,90.16,86.85,6061300.00
2019-07-16 00:00:00,90.22,90.48,89.59,90.08,86.77,5591900.00
2019-07-17 00:00:00,90.08,90.38,89.73,90.25,86.94,4635900.00
2019-07-18 00:00:00,90.33,91.54,89.95,91.50,88.14,6470200.00
2019-07-19 00:00:00,91.41,91.61,90.23,90.30,86.98,10804800.00
2019-07-22 00:00:00,90.52,91.18,90.05,90.92,87.58,5636600.00
2019-07-23 00:00:00,91.25,91.36,89.17,90.11,86.80,7609200.00
2019-07-24 00:00:00,89.90,90.75,89.68,90.65,87.32,5388100.00
2019-07-25 00:00:00,91.49,91.55,90.47,90.98,87.64,8106300.00
2019-07-26 00:00:00,96.40,99.72,95.21,99.11,95.47,20846500.00
2019-07-29 00:00:00,98.05,98.94,97.21,98.02,94.42,11184500.00
2019-07-30 00:00:00,97.50,98.28,96.52,96.65,93.10,7248300.00
2019-07-31 00:00:00,96.65,96.65,93.50,94.69,91.21,9912100.00
2019-08-01 00:00:00,95.00,97.58,94.58,95.38,91.88,8342300.00
