Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,41.03,41.46,40.49,40.61,39.05,9341700.00
2019-06-18 00:00:00,40.16,41.44,40.06,40.91,39.33,10194200.00
2019-06-19 00:00:00,41.03,41.26,39.76,39.89,38.35,12627600.00
2019-06-20 00:00:00,40.18,40.32,39.36,40.03,38.49,12498800.00
2019-06-21 00:00:00,40.29,40.79,40.12,40.63,39.07,11441300.00
2019-06-24 00:00:00,40.19,40.34,39.13,39.15,37.64,9905500.00
2019-06-25 00:00:00,39.01,39.53,38.33,39.23,37.72,14207500.00
2019-06-26 00:00:00,39.37,39.99,39.31,39.67,38.14,8437800.00
2019-06-27 00:00:00,39.71,40.74,39.71,40.20,38.65,10128100.00
2019-06-28 00:00:00,40.66,41.21,40.12,40.19,38.64,15515700.00
2019-07-01 00:00:00,40.88,41.18,40.42,40.76,39.19,21507800.00
2019-07-02 00:00:00,40.46,40.74,40.13,40.19,38.64,6426900.00
2019-07-03 00:00:00,40.41,40.59,40.15,40.45,38.89,3019500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,40.82,41.48,40.73,40.86,39.29,6522300.00
2019-07-08 00:00:00,40.38,40.83,39.91,39.99,38.45,7209400.00
2019-07-09 00:00:00,39.75,40.31,39.61,40.27,38.72,7138800.00
2019-07-10 00:00:00,39.89,40.42,39.30,39.66,38.13,8562400.00
2019-07-11 00:00:00,39.85,40.54,39.66,40.46,38.90,6566100.00
2019-07-12 00:00:00,40.25,40.37,39.90,40.13,38.58,9983700.00
2019-07-15 00:00:00,40.20,42.13,39.87,40.30,38.75,8655000.00
2019-07-16 00:00:00,41.00,42.14,40.90,41.63,40.03,16155400.00
2019-07-17 00:00:00,41.46,41.61,40.81,41.21,39.62,7673800.00
2019-07-18 00:00:00,41.31,42.09,41.15,41.48,39.88,10955600.00
2019-07-19 00:00:00,41.75,43.04,41.63,42.72,41.08,12138900.00
2019-07-22 00:00:00,42.76,43.45,42.56,43.16,41.50,8774200.00
2019-07-23 00:00:00,43.26,43.75,43.22,43.53,41.85,10277000.00
2019-07-24 00:00:00,43.49,44.28,43.46,44.28,42.58,11347300.00
2019-07-25 00:00:00,44.45,44.55,43.76,44.07,42.37,8571800.00
2019-07-26 00:00:00,44.08,44.24,43.71,44.05,42.35,12260400.00
2019-07-29 00:00:00,43.90,44.09,43.51,43.71,42.03,7837500.00
2019-07-30 00:00:00,43.31,43.39,42.80,43.02,41.36,6223400.00
2019-07-31 00:00:00,43.17,43.49,42.80,43.22,41.56,9018400.00
2019-08-01 00:00:00,42.93,43.02,41.12,41.29,39.70,21228900.00
