Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,29.98,30.30,29.62,29.95,29.95,2548300.00
2019-06-18 00:00:00,30.45,31.89,30.40,31.26,31.26,4281200.00
2019-06-19 00:00:00,31.58,31.59,30.54,31.49,31.49,4677800.00
2019-06-20 00:00:00,32.01,32.35,31.08,32.30,32.30,6072600.00
2019-06-21 00:00:00,32.31,34.75,32.30,34.45,34.45,7590900.00
2019-06-24 00:00:00,34.50,34.60,33.94,34.19,34.19,2972400.00
2019-06-25 00:00:00,34.42,34.84,33.12,33.42,33.42,2939900.00
2019-06-26 00:00:00,34.00,34.15,33.28,33.81,33.81,5671400.00
2019-06-27 00:00:00,34.03,34.30,33.30,33.77,33.77,1909700.00
2019-06-28 00:00:00,33.96,34.08,32.15,33.22,33.22,3354600.00
2019-07-01 00:00:00,33.90,34.85,33.80,34.27,34.27,3894600.00
2019-07-02 00:00:00,34.32,35.27,33.69,35.14,35.14,2697000.00
2019-07-03 00:00:00,35.54,35.72,34.93,35.69,35.69,1917100.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,35.52,35.96,35.09,35.71,35.71,1746000.00
2019-07-08 00:00:00,35.48,35.48,33.99,35.36,35.36,2876100.00
2019-07-09 00:00:00,34.96,36.34,34.83,35.57,35.57,3640000.00
2019-07-10 00:00:00,36.27,37.00,35.53,36.08,36.08,3968500.00
2019-07-11 00:00:00,36.14,36.15,35.65,36.00,36.00,1069300.00
2019-07-12 00:00:00,36.20,36.20,35.01,35.17,35.17,1335600.00
2019-07-15 00:00:00,35.25,35.51,34.76,35.17,35.17,1353300.00
2019-07-16 00:00:00,35.42,35.70,34.76,35.21,35.21,1555500.00
2019-07-17 00:00:00,34.82,35.08,34.13,34.31,34.31,1858600.00
2019-07-18 00:00:00,34.17,34.66,33.81,34.42,34.42,2595100.00
2019-07-19 00:00:00,34.65,35.35,34.44,34.65,34.65,1828700.00
2019-07-22 00:00:00,34.77,35.82,34.40,35.25,35.25,3325700.00
2019-07-23 00:00:00,35.46,35.75,34.80,35.07,35.07,1435300.00
2019-07-24 00:00:00,35.29,36.11,34.75,35.82,35.82,2624800.00
2019-07-25 00:00:00,35.82,36.97,35.70,36.38,36.38,3476100.00
2019-07-26 00:00:00,36.55,37.69,36.55,37.39,37.39,3445900.00
2019-07-29 00:00:00,37.99,38.00,35.61,36.73,36.73,2375800.00
2019-07-30 00:00:00,36.26,36.53,35.41,35.71,35.71,2107100.00
2019-07-31 00:00:00,35.95,36.26,34.35,35.10,35.10,2219600.00
2019-08-01 00:00:00,35.44,37.76,35.16,35.29,35.29,5028100.00
