Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,56.44,57.15,55.69,56.59,56.59,256000.00
2019-06-18 00:00:00,58.19,60.96,57.71,58.56,58.56,1305200.00
2019-06-19 00:00:00,59.04,59.53,57.38,59.20,59.20,630500.00
2019-06-20 00:00:00,60.00,60.67,58.89,59.68,59.68,498900.00
2019-06-21 00:00:00,59.53,59.73,58.15,59.40,59.40,531000.00
2019-06-24 00:00:00,60.02,61.66,60.01,60.54,60.54,853100.00
2019-06-25 00:00:00,60.30,60.94,58.84,59.22,59.22,660500.00
2019-06-26 00:00:00,60.91,61.89,59.49,59.62,59.62,587400.00
2019-06-27 00:00:00,59.70,61.65,59.57,61.06,61.06,733200.00
2019-06-28 00:00:00,60.72,62.70,60.72,62.46,62.46,649000.00
2019-07-01 00:00:00,63.22,64.21,61.97,62.30,62.30,655200.00
2019-07-02 00:00:00,62.47,63.25,61.36,62.84,62.84,284900.00
2019-07-03 00:00:00,62.70,63.32,62.28,62.30,62.30,168000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,62.03,63.20,62.03,63.15,63.15,251700.00
2019-07-08 00:00:00,63.04,63.10,61.23,62.53,62.53,345900.00
2019-07-09 00:00:00,61.86,62.98,61.67,62.27,62.27,298500.00
2019-07-10 00:00:00,62.79,63.42,62.05,62.29,62.29,335700.00
2019-07-11 00:00:00,62.30,62.72,59.85,60.76,60.76,520000.00
2019-07-12 00:00:00,61.48,62.54,61.28,62.12,62.12,417500.00
2019-07-15 00:00:00,62.23,62.40,60.22,61.83,61.83,332800.00
2019-07-16 00:00:00,61.65,61.71,60.65,61.40,61.40,204000.00
2019-07-17 00:00:00,61.50,62.50,61.05,62.36,62.36,285300.00
2019-07-18 00:00:00,62.00,63.00,61.90,62.64,62.64,521800.00
2019-07-19 00:00:00,63.00,63.83,62.79,63.37,63.37,383300.00
2019-07-22 00:00:00,63.48,64.19,62.34,63.06,63.06,473200.00
2019-07-23 00:00:00,63.70,63.73,61.49,62.45,62.45,328700.00
2019-07-24 00:00:00,62.54,62.78,61.56,62.50,62.50,376600.00
2019-07-25 00:00:00,62.49,63.77,61.86,63.08,63.08,411100.00
2019-07-26 00:00:00,63.61,63.79,63.03,63.26,63.26,193000.00
2019-07-29 00:00:00,63.51,64.54,63.01,64.33,64.33,438700.00
2019-07-30 00:00:00,63.80,64.21,63.06,63.40,63.40,332500.00
2019-07-31 00:00:00,65.17,67.19,63.49,65.23,65.23,1459500.00
2019-08-01 00:00:00,66.59,69.00,65.80,66.49,66.49,1218200.00
