Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,68.96,69.49,67.77,68.50,68.50,686400.00
2019-06-17 00:00:00,68.60,72.24,68.60,71.61,71.61,809000.00
2019-06-18 00:00:00,72.44,73.56,71.67,73.14,73.14,767600.00
2019-06-19 00:00:00,73.31,73.64,71.78,72.38,72.38,415000.00
2019-06-20 00:00:00,73.44,74.14,72.20,72.33,72.33,454500.00
2019-06-21 00:00:00,72.43,73.18,70.82,71.74,71.74,1235300.00
2019-06-24 00:00:00,72.20,72.20,70.11,70.64,70.64,606100.00
2019-06-25 00:00:00,71.12,71.44,68.88,69.03,69.03,806100.00
2019-06-26 00:00:00,68.93,70.22,67.52,67.61,67.61,601700.00
2019-06-27 00:00:00,67.73,68.12,67.25,67.30,67.30,839800.00
2019-06-28 00:00:00,67.30,69.27,67.30,69.21,69.21,776300.00
2019-07-01 00:00:00,70.42,71.14,67.12,68.35,68.35,795300.00
2019-07-02 00:00:00,68.35,69.41,67.62,68.80,68.80,659600.00
2019-07-03 00:00:00,68.89,70.98,68.68,70.43,70.43,908600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,70.35,70.51,68.69,69.05,69.05,561000.00
2019-07-08 00:00:00,68.66,68.66,66.17,67.10,67.10,959200.00
2019-07-09 00:00:00,67.11,70.66,66.74,69.89,69.89,1574100.00
2019-07-10 00:00:00,70.12,70.44,66.15,66.25,66.25,1338400.00
2019-07-11 00:00:00,66.58,67.14,64.52,65.19,65.19,1033100.00
2019-07-12 00:00:00,65.13,65.15,63.58,63.78,63.78,1005300.00
2019-07-15 00:00:00,63.80,65.03,63.50,63.99,63.99,1090900.00
2019-07-16 00:00:00,64.34,65.37,63.02,63.18,63.18,1330300.00
2019-07-17 00:00:00,69.89,76.07,69.00,75.17,75.17,5923800.00
2019-07-18 00:00:00,74.56,76.89,74.28,76.64,76.64,2096100.00
2019-07-19 00:00:00,76.13,77.06,74.69,75.07,75.07,1560700.00
2019-07-22 00:00:00,75.07,76.44,74.89,76.07,76.07,885700.00
2019-07-23 00:00:00,76.45,76.96,75.04,75.95,75.95,774700.00
2019-07-24 00:00:00,69.23,73.72,69.00,73.57,73.57,6902200.00
2019-07-25 00:00:00,73.91,74.43,72.49,73.36,73.36,2258500.00
2019-07-26 00:00:00,73.93,74.69,73.41,74.46,74.46,845900.00
2019-07-29 00:00:00,74.80,76.07,73.94,75.95,75.95,714200.00
2019-07-30 00:00:00,75.07,76.13,75.00,75.52,75.52,639300.00
2019-07-31 00:00:00,75.64,76.36,74.65,75.71,75.71,768400.00
2019-08-01 00:00:00,76.11,77.55,74.89,75.36,75.36,799500.00
2019-08-02 00:00:00,74.87,75.44,74.13,75.13,75.13,824200.00
2019-08-05 00:00:00,73.92,73.92,72.51,72.96,72.96,831100.00
2019-08-06 00:00:00,74.03,75.23,73.16,75.14,75.14,447300.00
2019-08-07 00:00:00,74.58,75.62,73.96,74.80,74.80,518900.00
2019-08-08 00:00:00,75.37,77.27,74.43,77.07,77.07,570100.00
2019-08-09 00:00:00,76.79,77.62,75.72,76.88,76.88,406200.00
2019-08-12 00:00:00,76.74,77.33,75.19,76.11,76.11,528600.00
2019-08-13 00:00:00,76.45,79.44,76.34,78.76,78.76,1249700.00
2019-08-14 00:00:00,77.52,78.20,76.01,76.98,76.98,766900.00
2019-08-15 00:00:00,77.11,77.96,76.12,76.71,76.71,630000.00
2019-08-16 00:00:00,77.67,79.56,77.67,79.20,79.20,506600.00
2019-08-19 00:00:00,80.00,80.00,76.47,79.39,79.39,1010700.00
2019-08-20 00:00:00,79.37,80.15,78.14,78.63,78.63,525900.00
2019-08-21 00:00:00,79.53,80.29,78.51,79.97,79.97,421400.00
2019-08-22 00:00:00,79.97,80.06,77.03,78.36,78.36,548900.00
2019-08-23 00:00:00,78.33,78.82,75.73,76.29,76.29,495600.00
2019-08-26 00:00:00,76.90,77.02,75.56,76.08,76.08,752400.00
2019-08-27 00:00:00,76.95,77.76,74.54,74.78,74.78,611800.00
2019-08-28 00:00:00,74.23,74.28,72.13,73.23,73.23,749100.00
2019-08-29 00:00:00,73.54,73.98,72.35,73.08,73.08,470400.00
2019-08-30 00:00:00,73.30,73.49,72.06,72.64,72.64,367100.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,72.07,72.78,69.51,70.18,70.18,865100.00
