Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,123.54,124.36,123.21,123.31,112.58,502800.00
2019-06-17 00:00:00,123.34,123.75,122.01,122.40,111.75,639400.00
2019-06-18 00:00:00,122.93,122.93,120.20,120.60,110.10,1153500.00
2019-06-19 00:00:00,120.31,121.16,119.19,120.87,110.35,862600.00
2019-06-20 00:00:00,120.82,121.26,119.50,121.10,110.56,739100.00
2019-06-21 00:00:00,121.35,122.71,120.72,121.52,110.94,1807100.00
2019-06-24 00:00:00,122.03,122.34,121.15,121.31,110.75,829400.00
2019-06-25 00:00:00,121.41,121.41,119.90,120.57,110.08,974700.00
2019-06-26 00:00:00,119.30,119.71,115.76,116.00,105.91,1595800.00
2019-06-27 00:00:00,115.41,117.18,114.45,116.89,106.72,1101500.00
2019-06-28 00:00:00,117.02,117.55,114.76,115.19,105.17,1340900.00
2019-07-01 00:00:00,115.92,117.66,115.55,116.51,106.37,941300.00
2019-07-02 00:00:00,116.60,117.60,115.45,117.58,107.35,1111700.00
2019-07-03 00:00:00,118.04,120.38,117.81,119.73,109.31,714300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,119.39,119.58,117.60,119.49,109.09,674100.00
2019-07-08 00:00:00,119.80,120.22,118.68,119.21,108.84,716300.00
2019-07-09 00:00:00,119.09,119.27,117.84,118.77,108.43,1102300.00
2019-07-10 00:00:00,118.69,119.10,117.50,118.14,107.86,897100.00
2019-07-11 00:00:00,117.63,117.66,114.09,114.51,104.54,1313600.00
2019-07-12 00:00:00,114.61,114.86,113.81,114.20,104.26,1021200.00
2019-07-15 00:00:00,114.27,115.96,113.91,115.09,105.07,580000.00
2019-07-16 00:00:00,115.16,115.97,114.96,115.46,105.41,697500.00
2019-07-17 00:00:00,115.44,116.60,114.97,116.01,105.91,633100.00
2019-07-18 00:00:00,116.33,116.34,115.12,115.89,105.80,554500.00
2019-07-19 00:00:00,115.98,116.86,114.28,114.30,104.35,880600.00
2019-07-22 00:00:00,114.09,114.26,111.76,112.12,102.36,772000.00
2019-07-23 00:00:00,111.98,112.86,111.18,112.64,102.84,707100.00
2019-07-24 00:00:00,112.88,113.34,111.82,112.10,102.34,687600.00
2019-07-25 00:00:00,112.19,113.78,111.55,113.05,103.21,552200.00
2019-07-26 00:00:00,113.28,114.55,113.02,114.26,104.32,596800.00
2019-07-29 00:00:00,114.36,114.74,112.81,114.35,104.40,703100.00
2019-07-30 00:00:00,114.60,115.45,112.58,113.13,103.28,659400.00
2019-07-31 00:00:00,113.10,113.71,110.08,111.19,101.51,1001100.00
2019-08-01 00:00:00,111.71,114.03,111.52,111.73,102.01,893100.00
2019-08-02 00:00:00,112.20,112.83,111.56,112.15,102.39,625300.00
2019-08-05 00:00:00,112.17,113.08,109.41,110.37,100.77,796300.00
2019-08-06 00:00:00,110.35,111.30,109.07,110.67,101.04,892200.00
2019-08-07 00:00:00,110.54,111.73,109.01,111.42,101.72,779400.00
2019-08-08 00:00:00,110.66,113.62,110.56,113.54,103.66,692200.00
2019-08-09 00:00:00,113.83,114.05,111.28,111.84,102.11,675500.00
2019-08-12 00:00:00,111.80,113.70,111.42,113.52,103.64,637400.00
2019-08-13 00:00:00,113.13,115.19,113.00,114.00,104.08,787700.00
2019-08-14 00:00:00,114.00,115.14,112.93,113.36,103.49,892700.00
2019-08-15 00:00:00,112.84,113.95,112.42,113.53,104.46,505700.00
2019-08-16 00:00:00,114.13,114.67,113.68,114.35,105.22,583800.00
2019-08-19 00:00:00,114.62,116.37,114.44,116.26,106.97,787400.00
2019-08-20 00:00:00,116.12,116.20,114.44,114.58,105.43,836900.00
2019-08-21 00:00:00,114.82,115.11,112.68,113.34,104.29,742200.00
2019-08-22 00:00:00,113.39,114.81,112.59,113.90,104.80,625100.00
2019-08-23 00:00:00,113.55,114.00,110.71,111.20,102.32,837000.00
2019-08-26 00:00:00,111.67,113.27,111.67,112.93,103.91,1194900.00
2019-08-27 00:00:00,107.00,107.65,101.75,103.69,95.41,5696800.00
2019-08-28 00:00:00,102.78,105.86,102.59,104.37,96.03,1772500.00
2019-08-29 00:00:00,105.23,105.65,102.38,102.83,94.62,1359000.00
2019-08-30 00:00:00,103.98,105.95,103.78,105.16,96.76,1209000.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,104.81,107.04,103.33,106.98,98.43,1219200.00
2019-09-04 00:00:00,107.00,107.81,105.63,106.28,97.79,918400.00
2019-09-05 00:00:00,106.15,106.39,104.62,104.68,96.32,1005900.00
2019-09-06 00:00:00,105.11,105.99,105.10,105.21,96.81,881500.00
2019-09-09 00:00:00,104.88,105.47,103.93,105.12,96.72,754000.00
2019-09-10 00:00:00,104.82,107.40,104.49,106.69,98.17,1142000.00
2019-09-11 00:00:00,106.19,108.32,105.87,108.20,99.56,913900.00
2019-09-12 00:00:00,108.70,108.84,105.77,105.85,97.39,510600.00
2019-09-13 00:00:00,105.21,106.97,105.21,106.51,98.00,796900.00
2019-09-16 00:00:00,106.69,108.15,106.38,107.18,98.62,572100.00
2019-09-17 00:00:00,106.90,108.74,106.73,108.72,100.04,689200.00
2019-09-18 00:00:00,109.16,109.81,108.13,108.83,100.14,919600.00
2019-09-19 00:00:00,108.75,108.85,107.53,107.64,99.04,690500.00
2019-09-20 00:00:00,108.01,108.36,107.06,107.81,99.20,1000700.00
2019-09-23 00:00:00,108.00,108.66,106.91,107.03,98.48,472400.00
2019-09-24 00:00:00,107.26,107.88,106.81,107.76,99.15,628100.00
2019-09-25 00:00:00,108.03,108.57,107.38,107.97,99.35,546900.00
2019-09-26 00:00:00,108.60,109.47,107.75,109.15,100.43,459900.00
2019-09-27 00:00:00,109.29,109.30,107.94,109.04,100.33,443300.00
2019-09-30 00:00:00,109.23,110.49,109.07,110.02,101.23,576200.00
2019-10-01 00:00:00,110.05,110.42,107.79,107.96,99.34,592500.00
2019-10-02 00:00:00,107.62,107.64,105.69,106.79,98.26,574000.00
2019-10-03 00:00:00,107.00,107.38,105.90,106.33,97.84,671700.00
2019-10-04 00:00:00,106.58,107.72,105.88,107.68,99.08,491700.00
