Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,42.41,42.68,42.34,42.65,39.63,3467100.00
2019-06-18 00:00:00,43.34,43.45,43.10,43.11,40.05,1264900.00
2019-06-19 00:00:00,43.35,44.11,43.25,44.08,40.96,3178700.00
2019-06-20 00:00:00,44.45,44.60,43.85,43.94,40.83,1171300.00
2019-06-21 00:00:00,44.00,44.31,43.70,44.15,41.02,2076300.00
2019-06-24 00:00:00,43.91,43.98,43.74,43.84,40.73,647100.00
2019-06-25 00:00:00,43.77,43.97,43.45,43.49,40.41,1199700.00
2019-06-26 00:00:00,43.23,43.31,42.89,43.15,40.09,751200.00
2019-06-27 00:00:00,42.94,43.45,42.70,43.10,40.05,1072600.00
2019-06-28 00:00:00,43.11,43.29,43.05,43.27,40.20,1803800.00
2019-07-01 00:00:00,43.59,43.76,43.42,43.57,40.48,1152200.00
2019-07-02 00:00:00,43.71,43.84,43.50,43.71,40.61,1557400.00
2019-07-03 00:00:00,44.08,44.13,43.90,44.00,40.88,1231600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,43.69,43.71,43.32,43.38,40.31,870500.00
2019-07-08 00:00:00,43.08,43.10,42.84,42.99,39.94,1582500.00
2019-07-09 00:00:00,43.17,43.37,43.14,43.27,40.20,1306100.00
2019-07-10 00:00:00,43.60,43.64,43.01,43.25,40.18,1073200.00
2019-07-11 00:00:00,42.92,42.94,42.07,42.36,39.36,1355600.00
2019-07-12 00:00:00,41.54,41.56,41.16,41.28,38.35,2432900.00
2019-07-15 00:00:00,41.41,41.75,41.31,41.65,38.70,2610600.00
2019-07-16 00:00:00,42.03,42.05,41.56,41.83,38.87,1170400.00
2019-07-17 00:00:00,41.85,41.93,41.54,41.57,38.62,714900.00
2019-07-18 00:00:00,41.98,42.02,41.50,41.95,38.98,1862900.00
2019-07-19 00:00:00,41.75,42.00,41.64,41.95,38.98,3381300.00
2019-07-22 00:00:00,42.22,42.45,42.13,42.18,39.19,2286700.00
2019-07-23 00:00:00,42.42,42.68,42.33,42.61,39.59,1662800.00
2019-07-24 00:00:00,42.25,42.43,42.13,42.40,39.40,1617700.00
2019-07-25 00:00:00,42.53,42.54,41.92,42.03,39.05,1832400.00
2019-07-26 00:00:00,42.19,42.51,42.17,42.36,39.36,1251400.00
2019-07-29 00:00:00,43.49,43.56,42.93,43.03,39.98,2335500.00
2019-07-30 00:00:00,42.15,42.32,41.96,42.07,39.09,1362400.00
2019-07-31 00:00:00,41.44,42.17,41.42,41.70,38.74,953900.00
2019-08-01 00:00:00,41.52,41.98,41.48,41.85,38.88,1374200.00
