Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,225.23,225.84,223.95,224.17,219.21,823100.00
2019-06-18 00:00:00,225.28,227.07,225.00,226.23,221.22,796200.00
2019-06-19 00:00:00,227.05,231.25,226.37,230.57,225.46,1130400.00
2019-06-20 00:00:00,232.52,235.58,230.38,231.28,226.16,1339900.00
2019-06-21 00:00:00,230.86,231.18,228.58,228.70,223.63,1519500.00
2019-06-24 00:00:00,228.94,230.00,228.48,228.85,223.78,799300.00
2019-06-25 00:00:00,229.66,230.70,227.89,227.98,222.93,1152300.00
2019-06-26 00:00:00,228.55,229.22,225.38,226.40,221.39,918900.00
2019-06-27 00:00:00,226.93,227.81,225.68,226.99,221.96,666800.00
2019-06-28 00:00:00,227.89,229.44,227.07,227.79,222.74,1813500.00
2019-07-01 00:00:00,230.59,233.30,229.77,232.26,227.12,950300.00
2019-07-02 00:00:00,231.97,235.67,231.97,234.98,229.78,914500.00
2019-07-03 00:00:00,236.22,238.18,234.78,238.14,232.87,868500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,238.65,238.99,234.74,237.00,231.75,775100.00
2019-07-08 00:00:00,235.18,235.54,231.02,232.39,227.24,740600.00
2019-07-09 00:00:00,230.44,231.88,229.79,231.48,226.35,1065200.00
2019-07-10 00:00:00,233.21,236.00,233.21,234.76,229.56,916400.00
2019-07-11 00:00:00,235.47,238.56,234.50,238.44,233.16,720400.00
2019-07-12 00:00:00,239.48,241.29,238.01,241.26,235.92,1338400.00
2019-07-15 00:00:00,240.95,241.92,239.76,240.89,235.55,565100.00
2019-07-16 00:00:00,239.69,240.94,239.06,240.03,234.71,606800.00
2019-07-17 00:00:00,240.07,241.76,239.71,240.42,235.10,1011600.00
2019-07-18 00:00:00,240.62,242.41,239.86,241.11,235.77,865300.00
2019-07-19 00:00:00,242.09,242.80,239.61,239.93,234.62,1279400.00
2019-07-22 00:00:00,240.52,242.45,239.71,241.46,236.11,989700.00
2019-07-23 00:00:00,242.11,243.94,240.53,243.42,238.03,997100.00
2019-07-24 00:00:00,242.31,243.24,238.86,243.09,237.71,1059300.00
2019-07-25 00:00:00,242.72,243.00,240.76,242.35,236.98,894700.00
2019-07-26 00:00:00,243.04,244.53,242.52,244.35,238.94,760700.00
2019-07-29 00:00:00,244.38,244.98,242.98,243.30,237.91,677200.00
2019-07-30 00:00:00,242.74,242.74,241.15,241.93,236.57,856400.00
2019-07-31 00:00:00,242.55,248.71,242.05,244.95,239.52,2239600.00
2019-08-01 00:00:00,252.66,262.83,252.21,257.22,251.52,2297300.00
