Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,16.65,16.72,16.32,16.34,15.56,57300.00
2019-06-17 00:00:00,16.14,16.32,16.06,16.16,15.39,87000.00
2019-06-18 00:00:00,16.19,16.48,16.15,16.29,15.52,77700.00
2019-06-19 00:00:00,16.21,16.73,16.20,16.69,15.90,130900.00
2019-06-20 00:00:00,16.73,16.76,16.51,16.64,15.85,83800.00
2019-06-21 00:00:00,16.53,16.75,16.44,16.60,15.81,85000.00
2019-06-24 00:00:00,16.56,16.91,16.54,16.69,15.90,113500.00
2019-06-25 00:00:00,16.70,16.70,16.26,16.29,15.52,59200.00
2019-06-26 00:00:00,16.37,16.43,16.13,16.17,15.40,45900.00
2019-06-27 00:00:00,16.16,16.34,16.15,16.30,15.53,26100.00
2019-06-28 00:00:00,16.31,16.68,16.25,16.62,15.83,64000.00
2019-07-01 00:00:00,16.79,16.87,16.60,16.65,15.86,62100.00
2019-07-02 00:00:00,16.74,16.85,16.69,16.83,16.03,26600.00
2019-07-03 00:00:00,16.54,16.64,16.22,16.24,15.47,117000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,16.29,16.45,16.25,16.29,15.52,77000.00
2019-07-08 00:00:00,16.25,16.54,16.09,16.43,15.65,72400.00
2019-07-09 00:00:00,16.36,16.78,16.36,16.62,15.83,89800.00
2019-07-10 00:00:00,16.68,16.70,16.41,16.56,15.77,41600.00
2019-07-11 00:00:00,16.72,16.78,16.43,16.44,15.66,61400.00
2019-07-12 00:00:00,16.47,16.50,16.19,16.48,15.70,31800.00
2019-07-15 00:00:00,16.49,16.49,16.14,16.40,15.62,52100.00
2019-07-16 00:00:00,16.37,16.37,16.06,16.06,15.30,35400.00
2019-07-17 00:00:00,16.06,16.19,16.06,16.09,15.33,31200.00
2019-07-18 00:00:00,15.89,15.91,15.53,15.59,14.85,51000.00
2019-07-19 00:00:00,15.57,15.81,15.57,15.67,14.93,30100.00
2019-07-22 00:00:00,15.70,16.01,15.70,15.92,15.16,35500.00
2019-07-23 00:00:00,15.88,16.10,15.85,16.03,15.27,40800.00
2019-07-24 00:00:00,16.10,16.32,16.02,16.29,15.52,23000.00
2019-07-25 00:00:00,16.42,16.42,16.03,16.04,15.28,26600.00
2019-07-26 00:00:00,16.13,16.55,16.13,16.55,15.76,30300.00
2019-07-29 00:00:00,16.49,16.49,16.17,16.32,15.54,35600.00
2019-07-30 00:00:00,16.35,16.56,16.33,16.53,15.75,32500.00
2019-07-31 00:00:00,16.53,16.58,15.88,16.09,15.33,31600.00
2019-08-01 00:00:00,16.23,16.34,15.84,15.86,15.11,24900.00
2019-08-02 00:00:00,15.87,15.93,15.56,15.82,15.07,54100.00
2019-08-05 00:00:00,16.03,17.45,16.03,16.77,15.97,433700.00
2019-08-06 00:00:00,17.26,17.71,17.14,17.47,16.64,151000.00
2019-08-07 00:00:00,17.35,18.22,17.31,17.66,16.82,132100.00
2019-08-08 00:00:00,17.78,18.25,17.78,18.11,17.25,119300.00
2019-08-09 00:00:00,18.00,18.06,17.42,17.87,17.02,99300.00
2019-08-12 00:00:00,17.73,18.15,17.65,17.96,17.11,79500.00
2019-08-13 00:00:00,18.05,19.29,18.05,18.58,17.70,89500.00
2019-08-14 00:00:00,18.38,18.50,18.18,18.34,17.47,61800.00
2019-08-15 00:00:00,18.33,18.36,17.88,17.92,17.07,68400.00
2019-08-16 00:00:00,18.19,18.58,18.12,18.35,17.48,78400.00
2019-08-19 00:00:00,18.53,18.66,18.32,18.54,17.87,67100.00
2019-08-20 00:00:00,18.70,19.20,18.70,18.79,18.11,177500.00
2019-08-21 00:00:00,18.81,18.85,18.52,18.58,17.91,85400.00
2019-08-22 00:00:00,18.70,18.98,18.53,18.80,18.12,51900.00
2019-08-23 00:00:00,18.82,18.93,18.44,18.49,17.83,59000.00
2019-08-26 00:00:00,18.69,18.74,18.39,18.49,17.83,53400.00
2019-08-27 00:00:00,19.10,19.59,18.35,18.59,17.92,132800.00
2019-08-28 00:00:00,18.41,18.60,18.36,18.46,17.80,41900.00
2019-08-29 00:00:00,18.85,18.92,18.64,18.74,18.07,51900.00
2019-08-30 00:00:00,18.60,18.77,18.33,18.75,18.08,90300.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,18.29,18.38,17.68,17.76,17.12,208500.00
2019-09-04 00:00:00,17.95,18.11,17.82,17.94,17.30,684200.00
2019-09-05 00:00:00,18.18,18.50,17.98,18.20,17.55,106700.00
2019-09-06 00:00:00,18.30,18.38,18.07,18.23,17.57,56200.00
2019-09-09 00:00:00,18.27,18.29,17.86,18.12,17.47,81900.00
2019-09-10 00:00:00,18.18,18.21,17.42,17.76,17.12,194400.00
2019-09-11 00:00:00,17.76,17.76,17.27,17.58,16.95,102000.00
2019-09-12 00:00:00,17.62,17.63,17.27,17.45,16.82,71700.00
2019-09-13 00:00:00,17.41,17.50,16.80,17.44,16.81,206100.00
2019-09-16 00:00:00,17.53,18.22,17.48,18.05,17.40,74500.00
2019-09-17 00:00:00,18.20,18.20,17.77,17.95,17.31,95300.00
2019-09-18 00:00:00,18.02,18.26,17.90,18.26,17.60,98400.00
2019-09-19 00:00:00,18.32,18.32,17.92,18.09,17.44,75500.00
2019-09-20 00:00:00,18.02,18.18,17.51,17.72,17.08,144600.00
2019-09-23 00:00:00,17.74,17.95,17.60,17.90,17.26,70500.00
2019-09-24 00:00:00,18.15,19.07,18.04,18.65,17.98,216600.00
2019-09-25 00:00:00,18.60,18.65,17.91,18.46,17.80,148100.00
2019-09-26 00:00:00,18.52,19.04,18.38,18.77,18.10,102600.00
2019-09-27 00:00:00,18.69,19.22,18.67,18.89,18.21,172000.00
2019-09-30 00:00:00,19.13,19.76,19.07,19.64,18.93,133300.00
2019-10-01 00:00:00,19.83,20.33,19.39,19.40,18.70,126900.00
2019-10-02 00:00:00,19.42,19.49,18.75,19.28,18.59,160600.00
2019-10-03 00:00:00,19.26,19.40,18.90,19.18,18.49,71200.00
2019-10-04 00:00:00,19.24,19.73,19.22,19.69,18.98,67300.00
2019-10-07 00:00:00,19.73,20.52,19.73,20.40,19.67,129000.00
2019-10-08 00:00:00,20.50,20.57,19.85,19.85,19.14,95300.00
2019-10-09 00:00:00,20.01,20.34,19.79,20.30,19.57,76700.00
2019-10-10 00:00:00,19.93,20.25,19.83,20.21,19.48,99600.00
2019-10-11 00:00:00,20.45,20.62,19.60,19.80,19.09,90400.00
2019-10-14 00:00:00,19.91,20.42,19.78,20.12,19.40,91900.00
2019-10-15 00:00:00,20.39,20.50,19.81,19.94,19.22,101000.00
2019-10-16 00:00:00,19.93,19.97,19.26,19.74,19.03,105300.00
2019-10-17 00:00:00,19.83,20.09,19.79,19.83,19.12,43200.00
2019-10-18 00:00:00,19.92,20.04,19.54,19.69,18.98,46400.00
2019-10-21 00:00:00,19.69,19.96,19.62,19.90,19.18,46500.00
2019-10-22 00:00:00,19.95,19.95,19.31,19.45,18.75,72800.00
2019-10-23 00:00:00,19.54,19.68,19.43,19.50,18.80,29100.00
2019-10-24 00:00:00,19.83,20.26,19.80,20.00,19.28,79700.00
2019-10-25 00:00:00,19.96,20.22,19.69,20.20,19.47,60300.00
2019-10-28 00:00:00,20.54,20.95,20.38,20.67,19.93,126100.00
2019-10-29 00:00:00,20.77,21.22,20.76,20.89,20.14,124800.00
2019-10-30 00:00:00,21.08,21.54,20.89,21.30,20.53,71700.00
2019-10-31 00:00:00,21.38,21.41,21.05,21.13,20.37,55000.00
2019-11-01 00:00:00,21.15,21.70,21.15,21.55,20.78,84200.00
2019-11-04 00:00:00,21.98,22.95,21.38,22.61,21.80,311300.00
2019-11-05 00:00:00,22.77,23.48,22.66,22.93,22.11,300400.00
2019-11-06 00:00:00,22.97,23.70,22.75,23.46,22.62,176700.00
2019-11-07 00:00:00,23.20,23.30,21.38,22.26,21.46,223500.00
2019-11-08 00:00:00,22.32,22.85,22.15,22.69,21.87,93500.00
