Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,78.50,80.64,78.05,79.69,79.25,666700.00
2019-06-18 00:00:00,80.02,82.41,80.02,82.00,81.55,806800.00
2019-06-19 00:00:00,82.11,82.13,80.98,81.74,81.29,568500.00
2019-06-20 00:00:00,82.98,83.07,81.47,82.58,82.13,631800.00
2019-06-21 00:00:00,82.15,82.63,81.31,81.43,80.98,900300.00
2019-06-24 00:00:00,81.54,81.79,80.53,80.53,80.09,1124300.00
2019-06-25 00:00:00,80.69,80.90,79.76,79.77,79.33,615500.00
2019-06-26 00:00:00,80.00,81.83,79.85,81.19,80.74,1306400.00
2019-06-27 00:00:00,79.90,81.50,79.27,80.14,79.70,1468900.00
2019-06-28 00:00:00,80.37,81.37,79.58,81.37,80.92,2094900.00
2019-07-01 00:00:00,82.21,82.32,80.71,80.83,80.39,909800.00
2019-07-02 00:00:00,80.00,80.00,78.27,78.48,78.05,1011900.00
2019-07-03 00:00:00,78.43,78.97,78.15,78.80,78.37,603600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,78.52,79.11,77.97,78.80,78.37,412600.00
2019-07-08 00:00:00,78.27,78.27,74.51,74.74,74.33,2078500.00
2019-07-09 00:00:00,74.55,75.04,73.74,74.88,74.47,2019200.00
2019-07-10 00:00:00,75.33,75.73,73.67,73.92,73.51,944100.00
2019-07-11 00:00:00,74.31,75.17,73.39,75.16,74.75,1174900.00
2019-07-12 00:00:00,75.24,76.18,75.08,75.66,75.24,849200.00
2019-07-15 00:00:00,73.75,74.55,72.18,74.28,73.87,1436500.00
2019-07-16 00:00:00,74.29,75.77,74.29,75.45,75.04,994900.00
2019-07-17 00:00:00,75.29,75.85,74.84,74.91,74.50,1380400.00
2019-07-18 00:00:00,74.67,74.70,72.71,73.34,72.94,1778100.00
2019-07-19 00:00:00,77.14,81.51,77.14,78.54,78.11,2377400.00
2019-07-22 00:00:00,78.41,79.31,77.94,79.12,78.69,1216000.00
2019-07-23 00:00:00,79.68,81.18,79.50,80.85,80.41,1147000.00
2019-07-24 00:00:00,80.58,81.44,78.34,78.50,78.07,1407000.00
2019-07-25 00:00:00,78.84,78.89,76.43,76.74,76.32,920400.00
2019-07-26 00:00:00,76.55,76.69,75.22,75.48,75.07,1076000.00
2019-07-29 00:00:00,75.48,75.77,75.09,75.66,75.24,913500.00
2019-07-30 00:00:00,75.34,75.99,74.55,75.98,75.56,1394700.00
2019-07-31 00:00:00,75.95,79.18,75.00,76.84,76.42,1699200.00
2019-08-01 00:00:00,77.07,78.38,75.50,75.50,75.09,1146300.00
