Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,189.22,190.03,187.54,187.63,179.45,724100.00
2019-06-17 00:00:00,187.29,187.88,186.33,187.23,179.07,789700.00
2019-06-18 00:00:00,188.57,188.57,181.87,181.97,174.04,1848800.00
2019-06-19 00:00:00,182.75,184.40,181.62,184.32,176.29,1391500.00
2019-06-20 00:00:00,185.55,188.09,185.47,185.74,177.65,1029800.00
2019-06-21 00:00:00,185.35,185.68,181.29,183.73,175.72,2121100.00
2019-06-24 00:00:00,184.00,184.83,181.06,181.26,173.36,1607100.00
2019-06-25 00:00:00,181.76,184.27,181.76,183.90,175.89,2273100.00
2019-06-26 00:00:00,184.32,185.75,184.06,185.02,176.96,1183300.00
2019-06-27 00:00:00,184.82,189.08,183.76,188.21,180.01,2091400.00
2019-06-28 00:00:00,198.62,200.59,192.53,196.94,188.36,7415800.00
2019-07-01 00:00:00,199.00,200.00,193.13,196.09,187.55,2526500.00
2019-07-02 00:00:00,196.07,198.98,195.79,198.66,190.00,1172400.00
2019-07-03 00:00:00,199.10,200.23,196.35,199.90,191.19,917100.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,198.96,199.20,196.36,197.49,188.89,652200.00
2019-07-08 00:00:00,197.04,200.25,196.26,200.10,191.38,1109500.00
2019-07-09 00:00:00,199.36,199.59,194.56,198.04,189.41,2193800.00
2019-07-10 00:00:00,197.75,201.93,197.75,200.79,192.04,1218400.00
2019-07-11 00:00:00,200.78,201.89,196.83,197.67,189.06,970600.00
2019-07-12 00:00:00,197.89,201.50,197.62,199.60,190.90,1213500.00
2019-07-15 00:00:00,199.71,199.71,197.49,198.59,189.94,812400.00
2019-07-16 00:00:00,199.56,199.63,197.09,197.88,189.26,1016800.00
2019-07-17 00:00:00,198.56,199.80,197.77,199.38,190.69,879200.00
2019-07-18 00:00:00,199.89,203.16,199.23,202.60,193.77,823500.00
2019-07-19 00:00:00,202.45,204.00,200.94,201.57,192.79,1029200.00
2019-07-22 00:00:00,202.17,203.56,198.89,201.17,192.40,1073100.00
2019-07-23 00:00:00,201.15,203.19,200.74,202.29,193.48,683600.00
2019-07-24 00:00:00,201.93,204.38,201.32,204.09,195.20,667400.00
2019-07-25 00:00:00,204.04,204.65,201.14,203.01,194.16,638900.00
2019-07-26 00:00:00,203.75,205.59,202.66,203.92,195.04,739700.00
2019-07-29 00:00:00,204.13,204.22,197.27,199.00,190.33,1146800.00
2019-07-30 00:00:00,197.34,201.56,196.42,200.95,192.19,875200.00
2019-07-31 00:00:00,200.08,200.52,194.57,196.82,188.24,884100.00
2019-08-01 00:00:00,196.67,198.32,191.65,193.60,185.16,1366300.00
2019-08-02 00:00:00,194.31,195.19,192.48,192.74,184.34,818800.00
2019-08-05 00:00:00,190.51,191.36,185.87,186.69,178.56,1672300.00
2019-08-06 00:00:00,189.19,189.69,185.51,187.19,179.03,1148300.00
2019-08-07 00:00:00,185.37,188.78,184.30,188.16,179.96,801600.00
2019-08-08 00:00:00,189.00,193.37,187.02,193.26,184.84,850200.00
2019-08-09 00:00:00,193.30,196.55,191.87,194.15,185.69,1091800.00
2019-08-12 00:00:00,192.82,194.36,192.12,193.05,185.35,695000.00
2019-08-13 00:00:00,192.04,197.79,192.00,196.53,188.70,936900.00
2019-08-14 00:00:00,193.89,196.25,192.50,193.36,185.65,1357700.00
2019-08-15 00:00:00,191.00,194.97,189.51,194.40,186.65,1004800.00
2019-08-16 00:00:00,195.49,199.89,195.49,198.79,190.87,962700.00
2019-08-19 00:00:00,200.00,202.83,198.94,201.80,193.76,1044200.00
2019-08-20 00:00:00,201.55,203.74,201.50,202.48,194.41,1143600.00
2019-08-21 00:00:00,203.81,205.29,202.84,202.85,194.76,682800.00
2019-08-22 00:00:00,202.88,203.79,201.15,201.66,193.62,906500.00
2019-08-23 00:00:00,200.70,201.52,197.66,198.51,190.60,1018400.00
2019-08-26 00:00:00,200.00,203.03,197.52,202.44,194.37,1147700.00
2019-08-27 00:00:00,201.91,202.95,197.86,198.19,190.29,987500.00
2019-08-28 00:00:00,197.46,202.33,196.63,201.83,193.78,844200.00
2019-08-29 00:00:00,202.82,205.30,202.69,204.63,196.47,761800.00
2019-08-30 00:00:00,204.72,205.29,203.43,204.35,196.20,983400.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,203.36,208.47,202.25,208.35,200.04,899700.00
2019-09-04 00:00:00,209.50,211.98,208.46,210.18,201.80,883800.00
2019-09-05 00:00:00,212.00,212.00,204.58,204.93,196.76,1025900.00
2019-09-06 00:00:00,204.71,205.62,203.63,204.75,196.59,955300.00
2019-09-09 00:00:00,204.98,207.54,204.60,206.75,198.51,1012100.00
2019-09-10 00:00:00,206.22,208.70,204.35,208.18,199.88,920300.00
2019-09-11 00:00:00,208.18,208.88,205.32,206.77,198.53,979700.00
2019-09-12 00:00:00,206.00,207.06,202.34,203.97,195.84,1124900.00
2019-09-13 00:00:00,204.84,205.88,203.54,204.07,195.94,595100.00
2019-09-16 00:00:00,203.67,204.75,202.28,203.84,195.71,709300.00
2019-09-17 00:00:00,204.80,208.00,203.20,205.75,197.55,1355900.00
2019-09-18 00:00:00,206.12,207.52,203.98,207.33,199.07,979700.00
2019-09-19 00:00:00,207.24,207.85,205.75,207.34,199.08,758000.00
2019-09-20 00:00:00,207.90,209.29,204.59,205.10,196.92,1554800.00
2019-09-23 00:00:00,205.10,206.36,204.66,205.77,197.57,853800.00
2019-09-24 00:00:00,206.72,206.78,203.70,205.04,196.87,766100.00
2019-09-25 00:00:00,206.44,207.45,203.65,204.00,195.87,1597200.00
2019-09-26 00:00:00,204.42,207.63,204.33,206.07,197.86,925600.00
2019-09-27 00:00:00,207.33,207.98,205.09,206.00,197.79,848000.00
2019-09-30 00:00:00,206.74,208.47,206.00,207.28,199.02,992300.00
2019-10-01 00:00:00,207.60,210.65,207.59,209.41,201.06,1169200.00
2019-10-02 00:00:00,208.14,208.14,204.31,206.79,198.55,1406700.00
2019-10-03 00:00:00,201.03,202.24,191.02,194.26,186.52,4711800.00
2019-10-04 00:00:00,196.02,198.67,190.89,193.74,186.02,2105800.00
2019-10-07 00:00:00,193.39,193.73,188.10,188.74,181.22,1721100.00
2019-10-08 00:00:00,187.84,190.28,186.41,189.52,181.97,1334500.00
2019-10-09 00:00:00,189.78,192.22,189.08,191.46,183.83,1091400.00
2019-10-10 00:00:00,191.44,194.08,190.41,192.71,185.03,957000.00
2019-10-11 00:00:00,193.61,198.50,192.61,193.08,185.38,963800.00
2019-10-14 00:00:00,192.43,193.28,191.04,192.97,185.28,759500.00
2019-10-15 00:00:00,192.94,197.61,192.58,196.76,188.92,1102700.00
2019-10-16 00:00:00,197.27,198.65,195.87,198.48,190.57,854500.00
2019-10-17 00:00:00,198.70,199.30,196.53,197.29,189.43,978200.00
2019-10-18 00:00:00,197.13,198.60,196.00,197.02,189.17,843400.00
2019-10-21 00:00:00,196.76,196.89,194.34,194.58,186.82,758500.00
2019-10-22 00:00:00,194.64,197.16,193.86,196.81,188.96,627900.00
2019-10-23 00:00:00,196.00,198.00,195.17,197.54,189.67,601200.00
2019-10-24 00:00:00,197.70,197.70,195.48,196.69,188.85,665700.00
2019-10-25 00:00:00,195.83,197.38,194.44,195.84,188.03,765100.00
2019-10-28 00:00:00,195.41,196.46,192.85,192.92,185.23,933300.00
2019-10-29 00:00:00,192.98,194.93,192.20,192.98,185.29,695600.00
2019-10-30 00:00:00,192.72,192.97,190.82,191.54,183.90,928700.00
2019-10-31 00:00:00,191.32,191.81,189.00,190.33,182.74,1002300.00
2019-11-01 00:00:00,191.26,193.48,190.56,191.00,183.39,1116600.00
2019-11-04 00:00:00,191.56,194.09,191.01,193.92,186.19,835600.00
2019-11-05 00:00:00,194.22,195.50,191.66,191.72,184.08,788500.00
2019-11-06 00:00:00,192.00,193.65,190.83,193.21,185.51,712900.00
