Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,129.31,130.76,129.31,129.59,122.33,490400.00
2019-06-18 00:00:00,130.44,131.00,128.48,129.33,122.09,436400.00
2019-06-19 00:00:00,128.88,130.19,128.44,129.96,122.68,461700.00
2019-06-20 00:00:00,130.32,130.73,129.59,129.91,122.64,760600.00
2019-06-21 00:00:00,129.89,129.91,127.80,129.85,122.58,1133200.00
2019-06-24 00:00:00,130.05,130.05,128.79,129.38,122.14,522700.00
2019-06-25 00:00:00,130.03,130.82,128.21,128.33,121.14,494600.00
2019-06-26 00:00:00,128.44,128.55,124.89,126.10,119.04,630200.00
2019-06-27 00:00:00,126.21,127.32,125.96,126.60,120.23,375500.00
2019-06-28 00:00:00,126.56,128.82,126.52,128.19,121.74,979500.00
2019-07-01 00:00:00,129.63,129.86,127.16,129.53,123.01,702800.00
2019-07-02 00:00:00,129.56,132.42,129.56,131.77,125.14,687800.00
2019-07-03 00:00:00,132.40,133.61,132.06,133.54,126.82,432000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,132.67,133.25,130.32,133.01,126.31,352900.00
2019-07-08 00:00:00,132.80,134.79,132.80,134.30,127.54,331500.00
2019-07-09 00:00:00,134.15,135.81,133.91,135.54,128.72,572700.00
2019-07-10 00:00:00,136.30,136.64,134.50,136.16,129.31,527600.00
2019-07-11 00:00:00,136.23,136.23,133.60,134.50,127.73,386100.00
2019-07-12 00:00:00,134.60,134.60,133.16,133.62,126.89,566700.00
2019-07-15 00:00:00,134.00,134.75,133.53,134.00,127.25,278100.00
2019-07-16 00:00:00,133.86,134.07,132.95,133.75,127.02,305700.00
2019-07-17 00:00:00,133.79,134.45,132.38,133.48,126.76,380100.00
2019-07-18 00:00:00,132.95,134.49,132.28,133.97,127.23,290200.00
2019-07-19 00:00:00,134.00,134.57,131.05,131.39,124.78,402900.00
2019-07-22 00:00:00,131.40,131.58,130.50,131.03,124.43,388700.00
2019-07-23 00:00:00,130.96,132.88,130.13,132.54,125.87,490200.00
2019-07-24 00:00:00,132.55,132.89,131.15,131.34,124.73,570500.00
2019-07-25 00:00:00,133.45,133.68,131.50,132.30,125.64,720300.00
2019-07-26 00:00:00,132.68,133.61,132.45,133.16,126.46,557300.00
2019-07-29 00:00:00,133.40,135.43,133.40,134.11,127.36,324100.00
2019-07-30 00:00:00,134.20,135.39,132.99,133.45,126.73,350700.00
2019-07-31 00:00:00,133.50,134.39,132.18,132.81,126.12,487200.00
2019-08-01 00:00:00,133.12,134.69,131.67,133.93,127.19,342800.00
