Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,5.96,6.02,5.48,5.50,5.50,58700.00
2019-06-17 00:00:00,5.51,6.52,5.51,6.41,6.41,121400.00
2019-06-18 00:00:00,6.40,6.90,6.36,6.88,6.88,60400.00
2019-06-19 00:00:00,6.87,6.95,6.73,6.90,6.90,56400.00
2019-06-20 00:00:00,6.91,7.13,6.88,7.11,7.11,46100.00
2019-06-21 00:00:00,7.04,7.04,6.44,6.83,6.83,203000.00
2019-06-24 00:00:00,6.81,7.11,6.41,6.46,6.46,96800.00
2019-06-25 00:00:00,6.52,7.57,6.47,7.52,7.52,123900.00
2019-06-26 00:00:00,7.50,7.86,6.83,7.20,7.20,241100.00
2019-06-27 00:00:00,7.15,8.00,7.06,7.95,7.95,152100.00
2019-06-28 00:00:00,7.98,9.35,7.71,9.26,9.26,3276800.00
2019-07-01 00:00:00,9.36,9.52,8.34,8.64,8.64,369700.00
2019-07-02 00:00:00,8.57,8.82,7.94,8.35,8.35,172800.00
2019-07-03 00:00:00,8.38,8.60,8.32,8.51,8.51,36500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,8.47,8.69,8.29,8.55,8.55,131400.00
2019-07-08 00:00:00,8.48,8.60,8.11,8.41,8.41,202400.00
2019-07-09 00:00:00,8.41,8.70,8.26,8.50,8.50,249100.00
2019-07-10 00:00:00,8.55,8.64,8.21,8.54,8.54,120300.00
2019-07-11 00:00:00,8.55,8.66,8.27,8.58,8.58,145000.00
2019-07-12 00:00:00,8.55,8.84,8.31,8.75,8.75,166600.00
2019-07-15 00:00:00,8.73,8.73,7.46,7.52,7.52,174800.00
2019-07-16 00:00:00,7.65,7.84,7.41,7.63,7.63,126900.00
2019-07-17 00:00:00,7.57,7.79,7.13,7.59,7.59,136000.00
2019-07-18 00:00:00,7.58,7.66,7.14,7.57,7.57,97600.00
2019-07-19 00:00:00,7.45,7.56,7.21,7.40,7.40,94300.00
2019-07-22 00:00:00,7.41,7.62,7.30,7.56,7.56,92500.00
2019-07-23 00:00:00,7.53,7.61,7.13,7.22,7.22,137000.00
2019-07-24 00:00:00,7.19,7.39,6.97,7.32,7.32,241800.00
2019-07-25 00:00:00,7.30,7.31,6.91,7.14,7.14,154900.00
2019-07-26 00:00:00,7.19,7.63,7.08,7.50,7.50,215400.00
2019-07-29 00:00:00,7.50,7.59,7.14,7.50,7.50,152000.00
2019-07-30 00:00:00,7.43,7.59,7.36,7.54,7.54,248400.00
2019-07-31 00:00:00,7.56,7.93,7.45,7.48,7.48,195000.00
2019-08-01 00:00:00,7.27,8.73,7.15,8.48,8.48,421100.00
2019-08-02 00:00:00,8.34,8.52,7.99,8.10,8.10,186700.00
2019-08-05 00:00:00,8.00,8.06,7.55,7.83,7.83,101500.00
2019-08-06 00:00:00,7.88,8.04,7.60,7.90,7.90,104000.00
2019-08-07 00:00:00,7.79,8.83,7.79,8.74,8.74,170000.00
2019-08-08 00:00:00,8.88,9.50,8.65,9.03,9.03,168500.00
2019-08-09 00:00:00,8.96,9.22,8.72,8.77,8.77,55700.00
2019-08-12 00:00:00,8.71,8.97,8.60,8.65,8.65,59700.00
2019-08-13 00:00:00,8.65,8.91,8.65,8.77,8.77,117900.00
2019-08-14 00:00:00,8.60,9.99,8.46,9.93,9.93,241500.00
2019-08-15 00:00:00,9.98,10.00,9.52,9.85,9.85,149600.00
2019-08-16 00:00:00,9.88,11.16,9.54,11.08,11.08,312600.00
2019-08-19 00:00:00,11.15,11.69,10.96,11.17,11.17,216400.00
2019-08-20 00:00:00,11.13,11.38,10.63,10.98,10.98,139300.00
2019-08-21 00:00:00,11.00,11.20,10.68,10.99,10.99,131000.00
2019-08-22 00:00:00,10.98,11.21,10.60,10.83,10.83,185500.00
2019-08-23 00:00:00,10.78,11.05,10.56,10.83,10.83,125300.00
2019-08-26 00:00:00,10.97,10.97,10.19,10.51,10.51,182300.00
2019-08-27 00:00:00,10.57,10.78,10.11,10.24,10.24,119100.00
2019-08-28 00:00:00,10.14,10.69,9.99,10.62,10.62,125100.00
2019-08-29 00:00:00,10.73,11.26,9.58,10.97,10.97,99100.00
2019-08-30 00:00:00,11.03,11.10,10.57,10.97,10.97,210300.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,10.89,11.30,10.85,10.93,10.93,350600.00
2019-09-04 00:00:00,10.90,10.96,9.67,9.72,9.72,132400.00
2019-09-05 00:00:00,9.90,10.02,9.21,9.33,9.33,202000.00
2019-09-06 00:00:00,9.27,9.69,9.11,9.61,9.61,127000.00
2019-09-09 00:00:00,9.54,10.17,9.50,10.05,10.05,69500.00
2019-09-10 00:00:00,10.05,10.98,9.78,10.94,10.94,117400.00
