Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,36.79,37.00,36.18,36.73,36.73,1690300.00
2019-06-18 00:00:00,36.66,38.18,36.66,37.30,37.30,3255400.00
2019-06-19 00:00:00,37.87,38.24,37.50,38.11,38.11,2014700.00
2019-06-20 00:00:00,38.70,39.27,37.91,37.98,37.98,2369800.00
2019-06-21 00:00:00,37.69,37.98,37.40,37.68,37.68,2285200.00
2019-06-24 00:00:00,37.22,37.28,35.22,36.42,36.42,3747300.00
2019-06-25 00:00:00,36.15,37.14,36.10,36.35,36.35,2515100.00
2019-06-26 00:00:00,36.60,37.74,36.60,37.50,37.50,2098000.00
2019-06-27 00:00:00,37.65,38.39,37.48,38.09,38.09,2199700.00
2019-06-28 00:00:00,38.00,38.31,37.38,38.10,38.10,1655200.00
2019-07-01 00:00:00,39.00,39.66,38.94,39.30,39.30,4343700.00
2019-07-02 00:00:00,39.30,39.59,38.99,39.56,39.56,2468400.00
2019-07-03 00:00:00,39.50,39.50,38.02,38.50,38.50,2000500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,38.62,38.75,37.68,38.25,38.25,1925200.00
2019-07-08 00:00:00,37.56,37.57,35.54,36.80,36.80,4711700.00
2019-07-09 00:00:00,36.41,37.46,36.30,37.00,37.00,3522500.00
2019-07-10 00:00:00,37.50,37.57,36.26,36.49,36.49,2514500.00
2019-07-11 00:00:00,36.65,36.65,35.89,35.99,35.99,1928000.00
2019-07-12 00:00:00,36.21,36.60,35.52,35.90,35.90,2361300.00
2019-07-15 00:00:00,36.85,37.74,36.80,37.20,37.20,2749500.00
2019-07-16 00:00:00,37.49,37.54,36.59,37.30,37.30,1772800.00
2019-07-17 00:00:00,37.48,37.58,36.87,36.99,36.99,1378000.00
2019-07-18 00:00:00,36.83,36.88,36.19,36.42,36.42,2250600.00
2019-07-19 00:00:00,36.64,37.13,36.15,36.18,36.18,1942700.00
2019-07-22 00:00:00,36.17,36.56,36.06,36.26,36.26,1755400.00
2019-07-23 00:00:00,37.53,37.98,36.27,37.23,37.23,3930000.00
2019-07-24 00:00:00,37.30,37.70,36.72,37.51,37.51,2559600.00
2019-07-25 00:00:00,34.24,34.70,32.00,33.24,33.24,19847800.00
2019-07-26 00:00:00,32.95,33.72,32.68,32.77,32.77,8900100.00
2019-07-29 00:00:00,32.63,33.01,31.76,32.06,32.06,6843500.00
2019-07-30 00:00:00,32.24,32.44,31.74,32.16,32.16,4238700.00
2019-07-31 00:00:00,32.16,32.57,31.88,32.20,32.20,2941600.00
2019-08-01 00:00:00,32.51,33.35,32.22,32.39,32.39,4256900.00
