Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,473.18,473.73,468.45,471.54,421.09,183500.00
2019-06-18 00:00:00,474.98,483.74,473.65,480.86,429.41,246300.00
2019-06-19 00:00:00,480.40,488.55,480.40,487.33,435.19,171600.00
2019-06-20 00:00:00,494.35,498.13,492.96,496.71,443.56,414000.00
2019-06-21 00:00:00,498.19,498.60,491.73,497.46,444.23,476900.00
2019-06-24 00:00:00,498.00,501.17,490.85,491.00,438.47,340400.00
2019-06-25 00:00:00,491.12,492.80,481.15,484.40,432.57,297800.00
2019-06-26 00:00:00,483.80,485.30,475.82,478.50,427.30,246300.00
2019-06-27 00:00:00,480.00,483.53,474.18,476.08,425.14,178700.00
2019-06-28 00:00:00,476.10,484.97,474.65,483.80,432.04,556300.00
2019-07-01 00:00:00,489.88,491.00,474.49,484.48,432.64,342200.00
2019-07-02 00:00:00,484.48,490.54,482.13,488.52,436.25,240500.00
2019-07-03 00:00:00,488.11,497.71,486.76,496.80,443.64,155200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,493.73,497.45,492.00,497.08,443.89,141100.00
2019-07-08 00:00:00,495.36,496.00,489.88,491.32,438.75,161400.00
2019-07-09 00:00:00,483.95,488.35,478.04,483.76,432.00,311600.00
2019-07-10 00:00:00,489.61,492.54,488.40,489.76,437.36,392600.00
2019-07-11 00:00:00,488.81,493.26,488.81,492.23,439.56,211800.00
2019-07-12 00:00:00,495.00,498.15,491.66,498.06,444.77,203400.00
2019-07-15 00:00:00,498.85,499.94,495.65,498.37,445.05,243700.00
2019-07-16 00:00:00,498.86,502.67,497.28,497.83,444.56,213900.00
2019-07-17 00:00:00,495.91,496.19,488.80,488.80,436.50,205400.00
2019-07-18 00:00:00,486.10,488.54,484.65,488.11,435.88,193400.00
2019-07-19 00:00:00,491.86,491.86,481.61,483.59,431.85,303400.00
2019-07-22 00:00:00,482.81,485.46,478.23,484.24,432.43,209400.00
2019-07-23 00:00:00,487.78,495.66,484.81,493.46,440.66,293900.00
2019-07-24 00:00:00,491.42,497.38,489.80,494.66,441.73,181300.00
2019-07-25 00:00:00,498.54,500.45,493.09,498.46,445.13,150500.00
2019-07-26 00:00:00,498.83,500.29,495.86,496.00,442.93,161100.00
2019-07-29 00:00:00,496.00,496.25,489.10,491.35,438.78,291400.00
2019-07-30 00:00:00,489.34,494.59,482.63,486.52,434.46,243000.00
2019-07-31 00:00:00,486.89,491.57,482.60,485.44,433.50,219700.00
2019-08-01 00:00:00,485.19,492.66,478.92,479.33,428.04,196100.00
2019-08-02 00:00:00,479.02,479.62,468.60,470.95,420.56,248900.00
