Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,91.87,91.87,90.05,90.66,86.03,710900.00
2019-06-17 00:00:00,90.39,90.82,88.36,90.46,85.84,996400.00
2019-06-18 00:00:00,90.97,92.78,90.68,92.71,87.97,1290900.00
2019-06-19 00:00:00,93.01,93.46,92.66,93.38,88.61,894500.00
2019-06-20 00:00:00,95.00,96.01,94.60,95.94,91.04,1704100.00
2019-06-21 00:00:00,95.78,96.00,94.98,95.19,90.33,1641800.00
2019-06-24 00:00:00,95.20,95.84,94.90,95.00,90.15,863000.00
2019-06-25 00:00:00,94.84,95.26,94.24,94.41,89.59,1100300.00
2019-06-26 00:00:00,94.92,95.96,94.82,95.16,90.30,943800.00
2019-06-27 00:00:00,95.44,95.91,94.90,95.16,90.30,1195400.00
2019-06-28 00:00:00,95.74,95.99,95.41,95.78,90.89,1196000.00
2019-07-01 00:00:00,97.00,97.99,96.78,97.35,92.38,1116100.00
2019-07-02 00:00:00,97.40,97.40,95.87,96.09,91.18,1007700.00
2019-07-03 00:00:00,96.00,96.07,95.23,95.84,90.94,682600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,95.22,95.39,94.32,95.39,90.52,962700.00
2019-07-08 00:00:00,94.64,94.90,93.59,94.20,89.39,1184400.00
2019-07-09 00:00:00,93.77,94.15,93.56,93.99,89.19,1321000.00
2019-07-10 00:00:00,94.23,94.94,93.65,93.75,88.96,736300.00
2019-07-11 00:00:00,94.16,94.16,92.48,92.69,87.95,1516600.00
2019-07-12 00:00:00,93.30,94.58,92.79,94.44,89.62,1619900.00
2019-07-15 00:00:00,94.39,94.67,93.47,93.52,88.74,1012400.00
2019-07-16 00:00:00,92.17,92.17,90.04,90.05,85.45,1865300.00
2019-07-17 00:00:00,90.00,90.00,88.09,88.22,83.71,2764300.00
2019-07-18 00:00:00,88.25,88.85,87.05,88.75,84.22,1794000.00
2019-07-19 00:00:00,89.21,89.83,88.33,88.71,84.18,1131900.00
2019-07-22 00:00:00,89.24,89.99,89.24,89.47,84.90,1170300.00
2019-07-23 00:00:00,89.96,91.25,89.50,91.20,86.54,1562700.00
2019-07-24 00:00:00,89.40,92.65,89.12,91.38,86.71,2347900.00
2019-07-25 00:00:00,90.35,91.96,89.56,91.95,87.25,2258200.00
2019-07-26 00:00:00,91.95,93.81,91.82,93.65,88.87,2193600.00
2019-07-29 00:00:00,93.40,94.47,93.11,94.01,89.21,2119000.00
2019-07-30 00:00:00,93.17,94.27,92.94,93.35,88.58,2568200.00
2019-07-31 00:00:00,93.53,93.53,91.14,92.40,87.68,2202900.00
2019-08-01 00:00:00,92.12,93.57,90.65,90.98,86.33,2113900.00
2019-08-02 00:00:00,90.50,90.95,89.42,90.31,85.70,1873800.00
2019-08-05 00:00:00,88.90,89.26,87.12,87.68,83.20,2766800.00
2019-08-06 00:00:00,88.48,89.24,87.76,88.61,84.08,1679700.00
2019-08-07 00:00:00,87.33,89.01,87.15,88.89,84.35,1160200.00
2019-08-08 00:00:00,89.46,90.42,88.93,90.22,85.61,1314000.00
2019-08-09 00:00:00,90.00,90.44,89.21,89.77,85.18,1014300.00
2019-08-12 00:00:00,89.26,89.33,87.88,88.17,83.67,1185600.00
2019-08-13 00:00:00,88.15,90.74,87.62,89.78,85.19,838500.00
2019-08-14 00:00:00,88.60,88.89,87.61,87.99,83.49,1915300.00
2019-08-15 00:00:00,87.92,88.04,86.55,87.29,82.83,1329300.00
2019-08-16 00:00:00,88.08,90.07,87.63,89.99,85.39,973700.00
2019-08-19 00:00:00,91.00,91.63,90.85,90.91,86.27,930700.00
2019-08-20 00:00:00,90.90,90.90,89.93,90.10,85.50,1101200.00
2019-08-21 00:00:00,91.25,91.28,90.13,90.85,86.21,699300.00
2019-08-22 00:00:00,90.92,91.37,90.48,90.73,86.53,897200.00
2019-08-23 00:00:00,89.73,90.92,88.70,89.29,85.16,2050400.00
2019-08-26 00:00:00,90.00,90.32,88.08,88.95,84.84,1558500.00
2019-08-27 00:00:00,89.60,89.78,89.06,89.66,85.51,1150900.00
2019-08-28 00:00:00,89.10,89.79,88.61,89.18,85.05,1355800.00
2019-08-29 00:00:00,90.56,92.39,90.28,91.83,87.58,1670400.00
2019-08-30 00:00:00,92.42,92.64,91.14,91.22,87.00,2363300.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,90.24,90.38,88.02,89.05,84.93,1708200.00
2019-09-04 00:00:00,89.78,91.15,89.78,90.94,86.73,1662900.00
2019-09-05 00:00:00,92.11,94.93,91.94,94.51,90.14,1273400.00
2019-09-06 00:00:00,94.74,95.10,94.02,94.85,90.46,816500.00
2019-09-09 00:00:00,94.99,95.16,94.30,95.09,90.69,748200.00
2019-09-10 00:00:00,94.87,95.76,94.27,95.76,91.33,776400.00
2019-09-11 00:00:00,95.50,96.00,94.81,95.99,91.55,1747500.00
2019-09-12 00:00:00,96.58,97.74,96.25,97.00,92.51,1154700.00
2019-09-13 00:00:00,97.00,97.49,96.64,96.69,92.22,1036600.00
2019-09-16 00:00:00,96.16,96.16,95.03,95.10,90.70,1148500.00
2019-09-17 00:00:00,94.62,94.70,93.51,94.55,90.18,2598000.00
2019-09-18 00:00:00,94.62,95.28,94.02,94.73,90.35,1198400.00
2019-09-19 00:00:00,94.84,95.66,94.37,94.38,90.01,937100.00
2019-09-20 00:00:00,94.93,94.97,93.17,93.18,88.87,1356600.00
2019-09-23 00:00:00,91.16,92.13,91.16,91.57,87.33,1664200.00
2019-09-24 00:00:00,92.18,92.18,91.02,91.38,87.15,2373600.00
2019-09-25 00:00:00,91.59,92.84,91.14,92.66,88.37,1493600.00
2019-09-26 00:00:00,92.54,93.36,92.19,93.09,88.78,1262600.00
2019-09-27 00:00:00,93.81,93.98,92.47,92.71,88.42,638600.00
2019-09-30 00:00:00,93.35,93.81,92.95,93.18,88.87,1156800.00
2019-10-01 00:00:00,93.92,94.28,91.50,91.53,87.30,1172600.00
2019-10-02 00:00:00,90.97,91.26,88.35,89.01,84.89,1380800.00
2019-10-03 00:00:00,89.05,89.60,88.01,89.36,85.23,1176100.00
2019-10-04 00:00:00,89.66,89.93,89.23,89.89,85.73,1061100.00
2019-10-07 00:00:00,89.65,90.17,88.39,88.50,84.41,1612900.00
2019-10-08 00:00:00,87.71,87.83,85.47,85.53,81.57,1911200.00
2019-10-09 00:00:00,85.02,87.46,85.02,87.12,83.09,2047100.00
2019-10-10 00:00:00,87.21,89.09,87.07,88.07,84.00,1030900.00
2019-10-11 00:00:00,89.43,91.24,89.17,90.15,85.98,1041000.00
2019-10-14 00:00:00,89.76,90.49,89.65,90.42,86.24,632400.00
2019-10-15 00:00:00,90.42,92.08,90.20,92.02,87.76,959000.00
2019-10-16 00:00:00,91.74,93.22,91.74,92.64,88.35,1267000.00
2019-10-17 00:00:00,93.00,93.25,92.23,93.00,88.70,1183000.00
2019-10-18 00:00:00,92.61,93.21,92.37,92.81,88.52,930000.00
2019-10-21 00:00:00,93.70,94.14,93.48,93.77,89.43,648800.00
2019-10-22 00:00:00,93.62,94.78,93.08,93.92,89.58,804700.00
2019-10-23 00:00:00,93.51,93.97,93.12,93.54,89.21,1018400.00
2019-10-24 00:00:00,94.49,94.53,93.65,93.88,89.54,1138000.00
2019-10-25 00:00:00,94.00,94.45,93.61,94.10,89.75,1678900.00
2019-10-28 00:00:00,94.51,95.17,94.30,94.56,90.19,2050500.00
2019-10-29 00:00:00,94.45,95.46,94.26,94.43,90.06,1583900.00
2019-10-30 00:00:00,91.00,93.58,87.93,90.15,85.98,2818500.00
2019-10-31 00:00:00,89.91,90.15,88.38,89.50,85.36,2527900.00
2019-11-01 00:00:00,90.34,91.55,89.86,91.52,87.29,1624500.00
2019-11-04 00:00:00,92.60,94.70,92.00,94.45,90.08,1914000.00
2019-11-05 00:00:00,94.63,94.99,94.24,94.56,90.19,1194000.00
2019-11-06 00:00:00,94.77,94.77,93.12,93.94,89.59,1493400.00
2019-11-07 00:00:00,94.89,94.89,93.91,94.01,89.66,1305300.00
2019-11-08 00:00:00,93.61,94.01,93.35,93.90,89.56,901300.00
2019-11-11 00:00:00,93.28,94.03,93.24,93.63,89.30,592400.00
2019-11-12 00:00:00,93.98,94.13,92.85,93.18,88.87,1112300.00
2019-11-13 00:00:00,93.00,93.78,92.40,93.64,89.31,1128800.00
2019-11-14 00:00:00,93.47,93.83,92.87,92.90,88.60,693300.00
