Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,87.46,87.60,86.28,87.14,82.76,4194500.00
2019-06-18 00:00:00,87.51,87.61,86.28,86.47,82.13,4389100.00
2019-06-19 00:00:00,86.54,86.75,85.63,86.16,81.83,4088200.00
2019-06-20 00:00:00,86.66,86.69,85.48,86.21,81.88,3814800.00
2019-06-21 00:00:00,86.36,88.60,86.06,87.60,83.20,7847600.00
2019-06-24 00:00:00,87.46,87.99,86.45,86.72,82.36,3059000.00
2019-06-25 00:00:00,87.14,87.25,85.56,85.70,81.39,5061300.00
2019-06-26 00:00:00,86.06,86.60,85.53,85.59,81.29,2978100.00
2019-06-27 00:00:00,85.61,86.19,85.29,85.87,81.56,2941600.00
2019-06-28 00:00:00,85.80,87.13,85.75,86.61,82.26,5284100.00
2019-07-01 00:00:00,87.55,88.84,86.01,86.94,82.57,4780700.00
2019-07-02 00:00:00,86.91,87.05,86.24,87.04,82.67,2323600.00
2019-07-03 00:00:00,87.50,87.98,87.42,87.90,83.48,1532900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,87.75,88.78,87.44,88.64,84.19,2032000.00
2019-07-08 00:00:00,88.55,89.41,87.95,88.91,84.44,4734400.00
2019-07-09 00:00:00,88.47,89.40,87.80,87.80,83.39,3986900.00
2019-07-10 00:00:00,87.85,88.00,85.68,85.85,81.54,5638400.00
2019-07-11 00:00:00,86.40,87.22,86.06,86.47,82.13,5307700.00
2019-07-12 00:00:00,87.05,88.88,86.73,87.53,83.13,4732000.00
2019-07-15 00:00:00,87.55,88.21,86.45,86.80,82.44,3174200.00
2019-07-16 00:00:00,87.42,88.82,87.10,88.31,83.87,5276900.00
2019-07-17 00:00:00,88.05,88.12,87.21,87.86,83.45,3671100.00
2019-07-18 00:00:00,87.51,88.52,87.03,88.50,84.05,3847300.00
2019-07-19 00:00:00,88.84,89.14,88.00,88.01,83.59,3420400.00
2019-07-22 00:00:00,88.25,88.64,86.88,87.22,82.84,2850200.00
2019-07-23 00:00:00,87.75,88.56,86.69,88.54,84.09,4304000.00
2019-07-24 00:00:00,88.02,89.51,87.72,89.09,84.61,3204700.00
2019-07-25 00:00:00,88.82,89.03,87.42,87.97,83.55,3603500.00
2019-07-26 00:00:00,87.84,87.84,86.37,87.06,82.69,5315900.00
2019-07-29 00:00:00,87.16,87.46,86.66,87.23,82.85,3328800.00
2019-07-30 00:00:00,87.27,87.29,86.22,86.88,82.52,2733400.00
2019-07-31 00:00:00,86.83,87.51,85.83,86.40,82.06,4470600.00
2019-08-01 00:00:00,86.19,87.04,81.03,82.62,78.47,7100500.00
