Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,285.87,287.14,284.80,285.93,284.32,681600.00
2019-06-18 00:00:00,287.94,290.00,286.01,289.20,287.57,1360500.00
2019-06-19 00:00:00,288.66,293.33,287.43,292.78,291.13,1534700.00
2019-06-20 00:00:00,296.49,297.41,290.42,293.34,291.69,1590300.00
2019-06-21 00:00:00,293.39,295.43,290.36,294.46,292.80,1701600.00
2019-06-24 00:00:00,295.20,296.03,292.00,295.55,293.89,942100.00
2019-06-25 00:00:00,295.48,298.38,293.10,293.53,291.88,1191600.00
2019-06-26 00:00:00,293.35,294.07,289.89,292.23,290.59,1172300.00
2019-06-27 00:00:00,292.76,294.38,290.79,293.77,292.12,850100.00
2019-06-28 00:00:00,292.56,294.13,288.69,293.68,292.03,5248000.00
2019-07-01 00:00:00,299.13,299.77,295.01,299.41,297.73,1640100.00
2019-07-02 00:00:00,299.18,301.19,295.52,301.11,299.42,946400.00
2019-07-03 00:00:00,302.76,305.45,301.51,305.43,303.71,883000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,302.50,303.80,298.70,300.65,298.96,1046800.00
2019-07-08 00:00:00,299.30,299.57,294.87,297.81,296.13,1223200.00
2019-07-09 00:00:00,296.23,297.59,295.77,296.90,295.23,886500.00
2019-07-10 00:00:00,298.54,299.17,296.18,296.52,294.85,842900.00
2019-07-11 00:00:00,298.14,298.88,294.51,295.55,293.89,804700.00
2019-07-12 00:00:00,290.95,291.49,288.30,290.94,289.30,1640600.00
2019-07-15 00:00:00,290.81,291.55,288.24,288.83,287.21,1629000.00
2019-07-16 00:00:00,285.56,287.99,285.05,286.21,284.60,1959800.00
2019-07-17 00:00:00,286.58,288.39,284.54,287.00,285.39,1671500.00
2019-07-18 00:00:00,287.01,293.90,287.01,293.73,292.08,1543000.00
2019-07-19 00:00:00,295.53,295.60,289.68,289.82,288.19,1593100.00
2019-07-22 00:00:00,291.00,294.53,289.99,291.73,290.09,1106100.00
2019-07-23 00:00:00,292.41,294.39,290.99,293.62,291.97,1025100.00
2019-07-24 00:00:00,289.01,289.04,278.52,288.36,286.74,2538300.00
2019-07-25 00:00:00,289.30,291.84,288.13,290.59,288.96,1214300.00
2019-07-26 00:00:00,292.15,292.15,286.50,287.21,285.59,1274000.00
2019-07-29 00:00:00,288.50,289.19,285.75,288.92,287.29,1060000.00
2019-07-30 00:00:00,285.95,286.54,283.43,283.91,282.31,1343300.00
2019-07-31 00:00:00,284.00,284.48,275.58,277.68,276.12,1903700.00
2019-08-01 00:00:00,279.45,284.24,275.77,277.81,276.25,1552000.00
