Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,75.08,75.43,74.54,75.27,75.27,2929000.00
2019-06-18 00:00:00,75.94,77.13,75.55,76.44,76.44,4995900.00
2019-06-19 00:00:00,76.34,78.50,76.34,78.28,78.28,3377800.00
2019-06-20 00:00:00,79.11,79.26,77.15,77.93,77.93,3339500.00
2019-06-21 00:00:00,77.71,77.75,75.20,75.70,75.70,5223900.00
2019-06-24 00:00:00,76.02,76.55,75.38,75.54,75.54,2123000.00
2019-06-25 00:00:00,75.47,75.50,74.45,74.58,74.58,2593900.00
2019-06-26 00:00:00,74.28,74.40,72.77,73.04,73.04,4393300.00
2019-06-27 00:00:00,73.45,73.72,72.92,73.29,73.29,2319600.00
2019-06-28 00:00:00,73.29,74.49,72.90,74.14,74.14,4117800.00
2019-07-01 00:00:00,74.67,74.67,73.92,74.15,74.15,2226100.00
2019-07-02 00:00:00,74.40,75.78,73.92,75.48,75.48,2871700.00
2019-07-03 00:00:00,75.89,77.03,75.60,75.82,75.82,2080900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,75.83,76.43,75.63,76.23,76.23,1318500.00
2019-07-08 00:00:00,76.37,76.39,75.43,75.63,75.63,1667300.00
2019-07-09 00:00:00,75.35,75.83,75.08,75.15,75.15,3553000.00
2019-07-10 00:00:00,77.96,78.95,77.57,78.63,78.63,14441200.00
2019-07-11 00:00:00,78.73,78.88,76.95,78.26,78.26,10108700.00
2019-07-12 00:00:00,78.20,79.73,78.01,79.45,79.45,63068400.00
2019-07-15 00:00:00,79.67,80.00,78.59,79.31,79.31,6189800.00
2019-07-16 00:00:00,79.35,79.59,78.83,79.04,79.04,5234900.00
2019-07-17 00:00:00,79.23,79.46,78.90,78.93,78.93,3238100.00
2019-07-18 00:00:00,78.78,79.07,77.27,77.97,77.97,6372500.00
2019-07-19 00:00:00,77.99,77.99,76.94,77.43,77.43,5311800.00
2019-07-22 00:00:00,77.80,78.66,77.27,77.66,77.66,4694700.00
2019-07-23 00:00:00,77.74,78.16,76.95,78.14,78.14,3507800.00
2019-07-24 00:00:00,79.20,81.57,78.83,80.61,80.61,10198400.00
2019-07-25 00:00:00,81.36,81.41,79.71,79.91,79.91,5501600.00
2019-07-26 00:00:00,81.10,85.22,80.95,84.25,84.25,12333200.00
2019-07-29 00:00:00,84.63,84.79,81.92,82.38,82.38,5858900.00
2019-07-30 00:00:00,81.70,82.33,81.02,81.30,81.30,5285000.00
2019-07-31 00:00:00,81.22,81.65,78.95,79.73,79.73,4596600.00
2019-08-01 00:00:00,79.99,80.31,78.77,79.31,79.31,4761400.00
