Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,102.66,106.12,102.66,105.94,96.85,792800.00
2019-06-17 00:00:00,106.05,106.29,104.87,105.05,96.03,808300.00
2019-06-18 00:00:00,105.54,108.00,105.41,107.40,98.18,1045900.00
2019-06-19 00:00:00,107.39,108.00,106.39,107.84,98.58,1346600.00
2019-06-20 00:00:00,109.13,110.50,108.07,109.59,100.18,1185200.00
2019-06-21 00:00:00,109.83,109.84,108.25,108.32,99.02,1673200.00
2019-06-24 00:00:00,108.60,108.91,106.58,107.06,97.87,913200.00
2019-06-25 00:00:00,107.24,107.24,105.56,105.92,96.83,594800.00
2019-06-26 00:00:00,106.04,107.20,105.71,106.89,97.71,674100.00
2019-06-27 00:00:00,107.45,108.81,106.73,108.54,99.22,724800.00
2019-06-28 00:00:00,109.50,110.33,108.74,109.71,100.29,3896100.00
2019-07-01 00:00:00,111.46,111.46,108.15,109.05,99.69,1175800.00
2019-07-02 00:00:00,109.04,109.26,107.96,108.60,99.28,825100.00
2019-07-03 00:00:00,109.08,110.25,108.69,109.71,100.29,487300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,109.88,110.45,108.78,110.42,100.94,648800.00
2019-07-08 00:00:00,109.78,110.38,108.71,108.96,99.61,785200.00
2019-07-09 00:00:00,108.55,109.87,108.44,109.82,100.39,1142100.00
2019-07-10 00:00:00,109.96,110.97,109.18,109.45,100.05,987600.00
2019-07-11 00:00:00,110.06,110.06,107.74,109.32,99.94,1081400.00
2019-07-12 00:00:00,109.87,110.71,109.08,110.61,101.11,830400.00
2019-07-15 00:00:00,110.62,110.86,110.08,110.38,100.90,968600.00
2019-07-16 00:00:00,110.87,111.45,110.29,110.36,100.89,619000.00
2019-07-17 00:00:00,110.61,110.61,108.79,108.88,99.53,782400.00
2019-07-18 00:00:00,108.88,109.63,108.30,109.63,100.22,1181900.00
2019-07-19 00:00:00,109.97,109.99,108.13,108.47,99.16,1762900.00
2019-07-22 00:00:00,108.32,108.98,107.45,108.87,99.52,937900.00
2019-07-23 00:00:00,109.65,110.80,109.21,110.53,101.04,1170000.00
2019-07-24 00:00:00,109.55,113.34,109.44,113.27,103.55,1762000.00
2019-07-25 00:00:00,113.41,114.95,113.11,113.92,104.14,1620200.00
2019-07-26 00:00:00,114.55,115.68,114.08,115.20,105.31,1165300.00
2019-07-29 00:00:00,115.50,116.28,114.76,114.96,105.09,1034600.00
2019-07-30 00:00:00,114.07,115.42,113.56,115.36,105.46,986500.00
2019-07-31 00:00:00,115.42,115.91,112.39,113.39,103.66,1951700.00
2019-08-01 00:00:00,113.53,114.10,109.73,110.47,100.99,1173600.00
2019-08-02 00:00:00,109.99,110.77,107.96,110.05,100.60,1155200.00
2019-08-05 00:00:00,108.40,108.59,105.06,105.71,96.64,1713600.00
2019-08-06 00:00:00,106.81,107.58,105.35,107.26,98.05,1373400.00
2019-08-07 00:00:00,106.58,107.65,104.93,107.04,97.85,1338400.00
2019-08-08 00:00:00,108.52,110.30,107.66,110.25,100.79,1158300.00
2019-08-09 00:00:00,109.46,109.60,107.67,108.65,99.32,1166500.00
2019-08-12 00:00:00,107.45,108.62,106.12,106.61,97.46,1232100.00
2019-08-13 00:00:00,106.65,109.33,105.95,108.56,99.24,1170600.00
2019-08-14 00:00:00,106.13,107.40,105.11,105.36,96.32,1248900.00
2019-08-15 00:00:00,105.72,106.53,104.74,105.46,96.41,940900.00
2019-08-16 00:00:00,106.32,107.81,106.01,107.37,98.15,601700.00
2019-08-19 00:00:00,109.26,110.03,108.58,109.62,100.21,722900.00
2019-08-20 00:00:00,108.93,109.19,107.75,107.82,98.56,696400.00
2019-08-21 00:00:00,109.07,109.11,108.32,108.77,99.43,700500.00
2019-08-22 00:00:00,109.38,109.75,108.07,109.18,99.81,507800.00
2019-08-23 00:00:00,108.50,109.05,104.93,105.61,96.54,1199400.00
2019-08-26 00:00:00,106.69,107.11,105.27,106.66,97.50,585500.00
2019-08-27 00:00:00,107.31,107.98,106.50,107.08,97.89,796000.00
2019-08-28 00:00:00,106.43,107.95,105.91,107.77,98.52,816700.00
2019-08-29 00:00:00,109.14,110.23,106.96,109.99,100.55,724300.00
2019-08-30 00:00:00,110.66,111.95,110.23,110.62,101.12,1051700.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,109.83,111.26,108.85,109.75,100.33,900200.00
2019-09-04 00:00:00,111.04,111.88,110.05,110.98,101.45,744900.00
2019-09-05 00:00:00,112.79,115.29,112.35,115.05,105.17,1143700.00
2019-09-06 00:00:00,115.30,116.01,114.97,115.62,105.69,799800.00
2019-09-09 00:00:00,116.61,117.86,115.99,117.72,107.61,918600.00
2019-09-10 00:00:00,117.99,118.17,115.98,117.85,107.73,1045800.00
2019-09-11 00:00:00,117.88,120.14,116.71,120.09,109.78,1221500.00
2019-09-12 00:00:00,120.99,120.99,117.26,118.12,108.67,1595600.00
2019-09-13 00:00:00,119.04,119.42,118.30,118.94,109.42,1014400.00
2019-09-16 00:00:00,117.61,118.14,116.43,116.85,107.50,827500.00
2019-09-17 00:00:00,116.63,117.98,115.63,117.94,108.50,739600.00
2019-09-18 00:00:00,117.74,117.80,115.94,117.11,107.74,766600.00
2019-09-19 00:00:00,116.99,117.40,115.78,116.00,106.72,997800.00
2019-09-20 00:00:00,116.40,116.47,114.06,114.34,105.19,2402000.00
2019-09-23 00:00:00,113.67,115.06,113.34,114.84,105.65,863500.00
2019-09-24 00:00:00,115.52,116.30,113.54,114.27,105.13,859600.00
2019-09-25 00:00:00,114.40,114.73,110.88,114.32,105.17,1244100.00
2019-09-26 00:00:00,114.41,114.41,111.91,112.03,103.07,1562400.00
