Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,43.10,45.40,42.85,45.01,45.01,61584000.00
2019-06-18 00:00:00,45.74,46.95,44.51,44.95,44.95,63579000.00
2019-06-19 00:00:00,45.02,45.55,44.21,45.29,45.29,32875500.00
2019-06-20 00:00:00,44.60,45.38,43.27,43.92,43.92,59317500.00
2019-06-21 00:00:00,43.24,44.44,43.10,44.37,44.37,41010500.00
2019-06-24 00:00:00,44.65,45.17,44.20,44.73,44.73,28754000.00
2019-06-25 00:00:00,44.88,45.07,43.90,43.95,43.95,30910500.00
2019-06-26 00:00:00,44.06,45.45,43.62,43.85,43.85,42536000.00
2019-06-27 00:00:00,43.89,44.58,43.47,44.57,44.57,31698500.00
2019-06-28 00:00:00,44.20,45.03,44.16,44.69,44.69,34257000.00
2019-07-01 00:00:00,46.04,46.62,45.26,45.43,45.43,41067000.00
2019-07-02 00:00:00,45.78,45.83,44.44,44.91,44.91,46295000.00
2019-07-03 00:00:00,47.88,48.31,46.90,46.98,46.98,71005500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,46.91,47.09,46.16,46.62,46.62,35328500.00
2019-07-08 00:00:00,46.25,46.45,45.73,46.07,46.07,29402500.00
2019-07-09 00:00:00,45.79,46.20,45.46,46.01,46.01,30954000.00
2019-07-10 00:00:00,46.83,47.79,46.63,47.78,47.78,45728500.00
2019-07-11 00:00:00,47.63,48.30,47.16,47.72,47.72,37572000.00
2019-07-12 00:00:00,47.95,49.08,47.94,49.02,49.02,46002500.00
2019-07-15 00:00:00,49.60,50.88,48.97,50.70,50.70,55000500.00
2019-07-16 00:00:00,49.86,50.71,49.59,50.48,50.48,40745000.00
2019-07-17 00:00:00,51.13,51.66,50.67,50.97,50.97,48823500.00
2019-07-18 00:00:00,51.01,51.15,50.38,50.71,50.71,23793000.00
2019-07-19 00:00:00,51.14,51.99,50.92,51.64,51.64,35242000.00
2019-07-22 00:00:00,51.75,52.43,50.84,51.14,51.14,34212000.00
2019-07-23 00:00:00,51.34,52.10,50.90,52.03,52.03,25115500.00
2019-07-24 00:00:00,51.83,53.21,51.63,52.98,52.98,55364000.00
2019-07-25 00:00:00,46.70,46.90,45.11,45.76,45.76,112091500.00
2019-07-26 00:00:00,45.38,46.05,44.45,45.61,45.61,50138500.00
2019-07-29 00:00:00,45.42,47.19,45.21,47.15,47.15,46366500.00
2019-07-30 00:00:00,46.58,48.67,46.44,48.45,48.45,40545000.00
2019-07-31 00:00:00,48.60,49.34,47.33,48.32,48.32,45891000.00
2019-08-01 00:00:00,48.53,48.90,46.35,46.77,46.77,41297500.00
