Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,37.92,38.05,37.66,37.66,34.48,6500700.00
2019-06-18 00:00:00,38.27,39.42,38.22,39.21,35.90,12303200.00
2019-06-19 00:00:00,39.94,39.96,39.30,39.40,36.07,10217600.00
2019-06-20 00:00:00,40.45,40.72,40.14,40.51,37.09,10400000.00
2019-06-21 00:00:00,40.52,40.70,40.42,40.52,37.10,12766200.00
2019-06-24 00:00:00,39.56,40.07,39.44,39.98,37.79,6571000.00
2019-06-25 00:00:00,39.52,39.52,38.91,38.92,36.79,6790500.00
2019-06-26 00:00:00,39.38,39.38,38.98,39.08,36.94,9133300.00
2019-06-27 00:00:00,39.58,39.76,39.29,39.59,37.42,11375200.00
2019-06-28 00:00:00,39.73,39.73,39.12,39.17,37.03,7040000.00
2019-07-01 00:00:00,41.54,41.90,41.15,41.38,39.11,11046800.00
2019-07-02 00:00:00,41.19,41.31,40.74,40.80,38.57,4445600.00
2019-07-03 00:00:00,40.35,40.37,40.01,40.33,38.12,3125000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,39.87,40.10,39.64,39.93,37.74,3149300.00
2019-07-08 00:00:00,39.57,39.69,39.24,39.32,37.17,6772300.00
2019-07-09 00:00:00,39.65,40.01,39.42,39.67,37.50,6577000.00
2019-07-10 00:00:00,40.83,41.14,40.55,40.71,38.48,7945000.00
2019-07-11 00:00:00,41.14,41.19,40.83,40.90,38.66,6126600.00
2019-07-12 00:00:00,41.11,41.27,40.82,41.23,38.97,4695800.00
2019-07-15 00:00:00,41.75,41.93,41.66,41.82,39.53,5784300.00
2019-07-16 00:00:00,41.80,41.95,41.57,41.77,39.48,6529500.00
2019-07-17 00:00:00,41.68,41.91,41.52,41.63,39.35,5514600.00
2019-07-18 00:00:00,42.52,43.23,42.31,43.19,40.83,11257600.00
2019-07-19 00:00:00,43.08,44.02,43.07,43.83,41.43,11438800.00
2019-07-22 00:00:00,44.20,44.88,44.13,44.60,42.16,10035800.00
2019-07-23 00:00:00,44.54,44.58,44.24,44.42,41.99,6565800.00
2019-07-24 00:00:00,44.50,44.63,44.24,44.54,42.10,7130400.00
2019-07-25 00:00:00,44.21,44.24,43.62,43.62,41.23,6593900.00
2019-07-26 00:00:00,43.73,43.89,43.38,43.46,41.08,4399000.00
2019-07-29 00:00:00,43.52,43.95,43.40,43.94,41.53,4138600.00
2019-07-30 00:00:00,43.40,43.40,42.77,43.11,40.75,4938500.00
2019-07-31 00:00:00,43.03,43.17,42.05,42.63,40.30,7592300.00
2019-08-01 00:00:00,42.75,43.39,41.60,41.87,39.58,9662800.00
