Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,82.26,82.64,81.13,81.91,76.49,3795300.00
2019-06-17 00:00:00,82.01,82.20,78.25,78.53,73.33,4043100.00
2019-06-18 00:00:00,78.62,78.78,76.73,77.18,72.07,3769900.00
2019-06-19 00:00:00,76.89,77.84,75.69,77.76,72.62,3091200.00
2019-06-20 00:00:00,77.77,79.20,76.59,78.63,73.43,3236400.00
2019-06-21 00:00:00,78.89,79.77,78.10,79.29,74.04,4573000.00
2019-06-24 00:00:00,79.40,81.62,79.38,80.82,75.47,3249700.00
2019-06-25 00:00:00,81.19,83.15,77.38,79.97,74.68,6808300.00
2019-06-26 00:00:00,79.45,80.15,78.77,79.52,74.26,2476700.00
2019-06-27 00:00:00,79.28,79.86,78.43,79.65,74.38,1572500.00
2019-06-28 00:00:00,79.74,80.81,79.45,80.74,75.40,3029000.00
2019-07-01 00:00:00,81.50,81.83,80.34,80.96,75.60,2962300.00
2019-07-02 00:00:00,81.04,81.79,80.86,81.28,75.90,3162200.00
2019-07-03 00:00:00,81.30,82.41,81.30,82.16,76.72,1758200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,82.00,82.91,81.43,82.63,77.16,1762200.00
2019-07-08 00:00:00,82.52,82.81,81.56,81.92,76.50,2580400.00
2019-07-09 00:00:00,82.15,82.79,81.85,82.15,76.71,2028700.00
2019-07-10 00:00:00,82.66,82.81,81.87,82.03,76.60,1314200.00
2019-07-11 00:00:00,81.75,82.09,80.71,81.43,76.04,2220400.00
2019-07-12 00:00:00,81.50,81.91,80.55,81.38,76.00,1663900.00
2019-07-15 00:00:00,81.51,81.92,81.19,81.75,76.34,1368100.00
2019-07-16 00:00:00,81.45,81.61,78.99,79.13,73.89,3635600.00
2019-07-17 00:00:00,79.46,79.54,78.58,79.14,73.90,2272000.00
2019-07-18 00:00:00,79.80,81.29,79.03,80.96,75.60,2896300.00
2019-07-19 00:00:00,81.11,81.75,80.79,80.80,75.45,1900900.00
