Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,12.87,13.16,12.82,12.88,12.88,273500.00
2019-06-18 00:00:00,13.08,13.63,12.98,13.56,13.56,235200.00
2019-06-19 00:00:00,13.66,13.84,13.37,13.70,13.70,155400.00
2019-06-20 00:00:00,14.05,14.12,13.46,13.53,13.53,250500.00
2019-06-21 00:00:00,13.41,13.43,12.74,12.79,12.79,438300.00
2019-06-24 00:00:00,12.79,12.80,12.49,12.51,12.51,323600.00
2019-06-25 00:00:00,12.51,12.87,12.50,12.60,12.60,280900.00
2019-06-26 00:00:00,12.76,13.30,12.76,13.06,13.06,309200.00
2019-06-27 00:00:00,13.15,13.61,13.15,13.60,13.60,590700.00
2019-06-28 00:00:00,13.74,13.97,13.54,13.92,13.92,563100.00
2019-07-01 00:00:00,14.30,14.45,13.97,14.19,14.19,510600.00
2019-07-02 00:00:00,14.18,14.18,13.77,14.04,14.04,294500.00
2019-07-03 00:00:00,14.01,14.25,13.87,14.10,14.10,143200.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,14.06,14.10,13.61,13.90,13.90,367500.00
2019-07-08 00:00:00,13.83,13.87,13.54,13.78,13.78,227800.00
2019-07-09 00:00:00,13.67,13.91,13.43,13.55,13.55,245700.00
2019-07-10 00:00:00,13.70,13.97,13.68,13.78,13.78,299000.00
2019-07-11 00:00:00,13.83,13.93,13.37,13.52,13.52,204800.00
2019-07-12 00:00:00,13.55,14.19,13.54,14.05,14.05,311500.00
2019-07-15 00:00:00,14.19,14.23,13.84,13.97,13.97,172300.00
2019-07-16 00:00:00,13.96,13.96,13.43,13.57,13.57,317500.00
2019-07-17 00:00:00,13.74,13.86,13.47,13.68,13.68,384700.00
2019-07-18 00:00:00,13.66,14.07,13.66,14.04,14.04,326600.00
2019-07-19 00:00:00,14.00,14.11,13.83,13.88,13.88,267800.00
2019-07-22 00:00:00,13.92,14.86,13.80,14.20,14.20,817800.00
2019-07-23 00:00:00,14.32,14.59,14.20,14.50,14.50,398400.00
2019-07-24 00:00:00,14.53,15.91,14.53,15.90,15.90,968100.00
2019-07-25 00:00:00,15.90,15.94,15.03,15.09,15.09,609800.00
2019-07-26 00:00:00,15.09,15.37,14.95,15.17,15.17,392300.00
2019-07-29 00:00:00,15.17,15.17,14.67,15.03,15.03,313800.00
2019-07-30 00:00:00,14.78,15.23,14.75,14.97,14.97,387000.00
2019-07-31 00:00:00,14.96,14.98,14.31,14.59,14.59,484600.00
2019-08-01 00:00:00,15.49,15.54,14.13,14.23,14.23,814700.00
2019-08-02 00:00:00,14.05,14.39,13.57,14.23,14.23,327300.00
