Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,37.07,37.40,36.64,37.06,36.04,201400.00
2019-06-17 00:00:00,37.18,37.59,36.19,36.88,35.87,264500.00
2019-06-18 00:00:00,37.11,37.71,36.59,36.80,35.79,196000.00
2019-06-19 00:00:00,36.76,36.85,35.91,36.47,35.47,220700.00
2019-06-20 00:00:00,36.89,37.43,36.51,37.37,36.34,269500.00
2019-06-21 00:00:00,37.19,37.25,36.22,36.28,35.28,333400.00
2019-06-24 00:00:00,36.28,36.43,35.85,35.89,34.91,398900.00
2019-06-25 00:00:00,36.13,36.72,35.83,36.30,35.30,314500.00
2019-06-26 00:00:00,36.42,36.69,35.91,36.45,35.45,171900.00
2019-06-27 00:00:00,36.62,37.61,36.61,37.57,36.54,213200.00
2019-06-28 00:00:00,37.70,38.42,37.70,38.06,37.02,595600.00
2019-07-01 00:00:00,38.45,38.53,37.56,37.71,36.68,301300.00
2019-07-02 00:00:00,37.71,37.76,37.04,37.35,36.33,169400.00
2019-07-03 00:00:00,37.51,37.70,37.16,37.58,36.55,76500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,37.34,37.64,36.96,37.61,36.58,175600.00
2019-07-08 00:00:00,37.48,37.57,37.11,37.36,36.33,231000.00
2019-07-09 00:00:00,37.15,37.27,36.31,36.77,35.76,254100.00
2019-07-10 00:00:00,37.04,37.08,36.58,37.04,36.02,143200.00
2019-07-11 00:00:00,37.12,37.12,36.25,36.47,35.47,198500.00
2019-07-12 00:00:00,36.61,37.31,36.61,37.00,35.98,218500.00
2019-07-15 00:00:00,37.03,37.07,36.42,36.73,35.72,196400.00
2019-07-16 00:00:00,36.85,37.30,36.61,37.16,36.14,153400.00
2019-07-17 00:00:00,37.16,37.29,36.58,36.62,35.62,134200.00
2019-07-18 00:00:00,36.66,36.72,36.20,36.47,35.47,217400.00
2019-07-19 00:00:00,36.41,36.69,35.89,35.92,34.93,231100.00
2019-07-22 00:00:00,35.91,36.04,35.02,35.13,34.17,197100.00
2019-07-23 00:00:00,35.19,35.53,34.88,35.08,34.12,329300.00
2019-07-24 00:00:00,34.97,36.03,34.97,35.95,34.96,412100.00
2019-07-25 00:00:00,38.10,40.30,36.11,39.47,38.39,783700.00
2019-07-26 00:00:00,39.25,41.82,39.21,41.71,40.57,637800.00
2019-07-29 00:00:00,41.62,42.00,40.50,40.91,39.79,499300.00
2019-07-30 00:00:00,40.65,41.38,40.18,41.30,40.17,352900.00
2019-07-31 00:00:00,41.42,41.58,40.25,40.43,39.32,467400.00
2019-08-01 00:00:00,40.21,40.76,39.02,39.40,38.32,442300.00
2019-08-02 00:00:00,39.44,39.81,39.00,39.77,38.68,360000.00
2019-08-05 00:00:00,38.70,39.26,38.35,38.96,37.89,328100.00
2019-08-06 00:00:00,39.27,39.54,38.71,39.50,38.42,228500.00
2019-08-07 00:00:00,39.05,39.60,38.58,39.49,38.41,325600.00
2019-08-08 00:00:00,39.84,40.72,39.64,40.59,39.48,241000.00
2019-08-09 00:00:00,40.41,40.41,39.76,40.01,38.91,353900.00
2019-08-12 00:00:00,39.84,40.20,39.64,39.76,38.67,254100.00
2019-08-13 00:00:00,39.77,40.86,39.77,40.07,38.97,168500.00
2019-08-14 00:00:00,39.62,40.58,39.16,39.48,38.40,262400.00
2019-08-15 00:00:00,39.46,39.62,38.85,38.93,37.86,238000.00
2019-08-16 00:00:00,39.24,40.32,39.24,40.29,39.18,259700.00
2019-08-19 00:00:00,40.89,41.18,39.75,39.80,38.71,244300.00
2019-08-20 00:00:00,39.88,39.88,39.12,39.22,38.14,259400.00
2019-08-21 00:00:00,39.82,40.42,39.38,40.22,39.12,281400.00
2019-08-22 00:00:00,40.40,40.50,39.67,39.69,38.60,173800.00
2019-08-23 00:00:00,39.62,39.73,37.90,38.02,36.98,241600.00
2019-08-26 00:00:00,38.42,38.88,38.23,38.74,37.68,239400.00
2019-08-27 00:00:00,39.05,39.28,37.96,38.26,37.21,231200.00
2019-08-28 00:00:00,38.17,39.13,37.75,38.73,37.67,251300.00
2019-08-29 00:00:00,39.13,39.89,38.80,39.17,38.10,307300.00
2019-08-30 00:00:00,39.53,39.80,38.74,39.10,38.03,470100.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,38.62,38.82,37.69,37.97,36.93,302100.00
2019-09-04 00:00:00,38.38,38.41,37.86,37.98,36.94,271900.00
2019-09-05 00:00:00,38.45,39.14,37.93,38.06,37.02,209100.00
2019-09-06 00:00:00,38.25,38.25,37.67,37.78,36.74,331900.00
2019-09-09 00:00:00,37.88,38.89,37.78,38.61,37.55,329600.00
2019-09-10 00:00:00,38.66,39.58,38.33,39.41,38.33,309100.00
2019-09-11 00:00:00,39.62,41.02,39.29,40.91,39.79,412200.00
2019-09-12 00:00:00,41.18,41.99,40.59,41.78,40.63,376900.00
2019-09-13 00:00:00,42.00,42.80,41.05,41.11,39.98,385500.00
2019-09-16 00:00:00,40.87,40.94,40.35,40.54,39.43,236600.00
2019-09-17 00:00:00,40.47,40.59,39.79,40.14,39.04,222500.00
2019-09-18 00:00:00,40.16,40.69,39.77,40.57,39.46,221500.00
2019-09-19 00:00:00,40.57,40.84,39.90,39.97,38.87,237900.00
2019-09-20 00:00:00,39.95,40.13,39.36,39.59,38.50,629800.00
2019-09-23 00:00:00,39.42,39.87,39.06,39.46,38.38,260600.00
2019-09-24 00:00:00,39.76,40.16,39.46,39.96,38.86,400700.00
2019-09-25 00:00:00,40.08,40.48,39.53,40.33,39.22,298600.00
2019-09-26 00:00:00,40.42,40.42,39.74,40.27,39.17,239900.00
2019-09-27 00:00:00,40.57,40.89,39.98,40.06,38.96,245200.00
2019-09-30 00:00:00,40.10,40.21,39.50,39.88,38.79,323300.00
2019-10-01 00:00:00,40.16,40.59,39.10,39.16,38.09,198500.00
2019-10-02 00:00:00,38.84,38.84,37.67,38.78,37.72,283400.00
2019-10-03 00:00:00,38.81,39.09,38.34,38.95,37.88,217300.00
2019-10-04 00:00:00,38.87,39.53,38.64,39.50,38.42,224600.00
2019-10-07 00:00:00,39.24,40.04,39.01,39.77,38.68,268000.00
2019-10-08 00:00:00,39.60,39.94,39.01,39.45,38.37,253900.00
2019-10-09 00:00:00,39.79,39.97,39.15,39.18,38.10,208600.00
2019-10-10 00:00:00,39.35,39.97,39.18,39.35,38.27,290400.00
2019-10-11 00:00:00,39.81,40.88,39.81,40.13,39.03,265900.00
