Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,52.62,52.77,51.40,51.51,46.75,5059900.00
2019-06-18 00:00:00,51.56,52.42,51.35,52.19,47.37,5293000.00
2019-06-19 00:00:00,52.38,52.95,52.04,52.12,47.31,5664000.00
2019-06-20 00:00:00,52.36,52.62,51.32,52.16,47.34,4533500.00
2019-06-21 00:00:00,52.18,52.62,52.12,52.26,47.43,9004800.00
2019-06-24 00:00:00,52.20,52.65,51.89,52.30,47.47,4681500.00
2019-06-25 00:00:00,52.22,52.26,51.59,52.04,47.24,4671900.00
2019-06-26 00:00:00,52.21,52.51,51.88,51.98,47.18,5012800.00
2019-06-27 00:00:00,51.85,52.25,51.68,51.98,47.52,3738700.00
2019-06-28 00:00:00,52.39,52.75,52.08,52.40,47.90,10087100.00
2019-07-01 00:00:00,52.93,53.22,52.75,53.01,48.46,3882300.00
2019-07-02 00:00:00,52.88,53.19,52.63,52.93,48.39,3175200.00
2019-07-03 00:00:00,53.07,53.35,52.90,53.25,48.68,2102700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,53.55,53.84,53.35,53.68,49.07,3195300.00
2019-07-08 00:00:00,53.33,53.68,52.91,53.10,48.54,4123900.00
2019-07-09 00:00:00,52.79,53.35,52.71,53.34,48.76,3676100.00
2019-07-10 00:00:00,53.42,53.51,52.95,53.18,48.62,3817500.00
2019-07-11 00:00:00,53.29,53.53,53.10,53.47,48.88,6137300.00
2019-07-12 00:00:00,53.86,53.86,53.39,53.60,49.00,4257700.00
2019-07-15 00:00:00,53.66,53.70,52.90,53.12,48.56,4484500.00
2019-07-16 00:00:00,53.28,53.31,52.95,53.04,48.49,5441300.00
2019-07-17 00:00:00,53.05,54.84,52.81,54.22,49.57,8805200.00
2019-07-18 00:00:00,54.42,55.37,54.30,55.19,50.45,7893700.00
2019-07-19 00:00:00,55.07,55.54,54.97,55.00,50.28,7237700.00
2019-07-22 00:00:00,54.97,55.44,54.83,55.33,50.58,5568400.00
2019-07-23 00:00:00,55.35,56.11,55.33,56.03,51.22,7422200.00
2019-07-24 00:00:00,55.86,56.76,55.86,56.59,51.73,7947800.00
2019-07-25 00:00:00,56.82,56.95,56.41,56.56,51.71,5304400.00
2019-07-26 00:00:00,56.55,57.48,56.55,57.38,52.46,6396300.00
2019-07-29 00:00:00,57.17,57.67,57.02,57.06,52.16,4603200.00
2019-07-30 00:00:00,56.78,57.29,56.65,57.14,52.24,5468000.00
2019-07-31 00:00:00,57.33,57.81,57.01,57.15,52.25,6685100.00
2019-08-01 00:00:00,56.85,57.19,55.48,55.69,50.91,8786800.00
