Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,169.73,170.42,169.03,169.56,166.70,6410200.00
2019-06-18 00:00:00,170.65,170.67,167.55,169.28,166.43,6969300.00
2019-06-19 00:00:00,169.39,171.20,169.21,170.69,167.81,6323900.00
2019-06-20 00:00:00,172.51,173.94,171.75,173.74,170.81,11474100.00
2019-06-21 00:00:00,173.27,174.81,173.16,173.44,170.52,11728200.00
2019-06-24 00:00:00,174.60,174.73,172.72,173.85,170.92,5554900.00
2019-06-25 00:00:00,174.81,174.94,170.59,171.28,168.39,9899900.00
2019-06-26 00:00:00,171.39,172.39,170.82,171.06,168.18,7129900.00
2019-06-27 00:00:00,172.12,172.40,170.32,171.23,168.34,5873400.00
2019-06-28 00:00:00,171.96,173.55,170.52,173.55,170.62,8442700.00
2019-07-01 00:00:00,175.33,175.54,172.74,173.94,171.01,6103200.00
2019-07-02 00:00:00,174.10,175.32,173.30,175.28,172.33,5238100.00
2019-07-03 00:00:00,176.00,176.99,175.72,176.87,173.89,4066600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,175.86,177.03,174.51,176.66,173.68,5840400.00
2019-07-08 00:00:00,176.30,176.61,175.40,176.19,173.22,6720300.00
2019-07-09 00:00:00,175.43,177.89,175.30,177.73,174.73,4894300.00
2019-07-10 00:00:00,178.58,180.26,178.58,179.31,176.29,5110600.00
2019-07-11 00:00:00,180.12,180.94,179.46,180.74,177.69,6986600.00
2019-07-12 00:00:00,181.35,181.35,178.92,180.33,177.29,7196700.00
2019-07-15 00:00:00,180.56,181.07,179.94,180.57,177.53,4490400.00
2019-07-16 00:00:00,180.37,180.88,178.73,179.31,176.29,6800200.00
2019-07-17 00:00:00,179.56,180.21,179.01,179.15,176.13,3994200.00
2019-07-18 00:00:00,178.63,180.62,178.58,180.53,177.49,4736300.00
2019-07-19 00:00:00,181.84,181.84,179.14,179.24,176.22,5327100.00
2019-07-22 00:00:00,179.64,180.98,179.14,180.57,177.53,4862100.00
2019-07-23 00:00:00,180.89,181.27,179.06,180.90,177.85,7193000.00
2019-07-24 00:00:00,180.79,183.43,179.25,183.33,180.24,8169300.00
2019-07-25 00:00:00,183.87,183.99,181.30,181.59,178.53,6085800.00
2019-07-26 00:00:00,182.41,183.82,182.21,183.69,180.59,5056300.00
2019-07-29 00:00:00,183.89,184.07,182.73,183.21,180.12,4621800.00
2019-07-30 00:00:00,182.54,183.38,181.27,181.53,178.47,5236600.00
2019-07-31 00:00:00,181.79,182.05,176.06,178.00,175.00,7981200.00
2019-08-01 00:00:00,179.19,182.40,178.17,179.17,176.15,8417300.00
