Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,13.12,13.14,12.83,12.87,10.34,13722900.00
2019-06-18 00:00:00,13.24,13.54,13.17,13.46,10.82,21125500.00
2019-06-19 00:00:00,13.54,13.60,13.33,13.54,10.88,27063500.00
2019-06-20 00:00:00,13.82,14.00,13.65,13.71,11.02,14594600.00
2019-06-21 00:00:00,13.62,13.76,13.53,13.53,10.87,19521300.00
2019-06-24 00:00:00,13.59,13.69,13.54,13.64,10.96,10638600.00
2019-06-25 00:00:00,13.58,13.65,13.28,13.33,10.71,15995700.00
2019-06-26 00:00:00,13.45,13.51,13.30,13.44,10.80,11992000.00
2019-06-27 00:00:00,13.43,13.52,13.28,13.43,10.79,12291500.00
2019-06-28 00:00:00,13.57,13.58,13.41,13.44,10.80,13853000.00
2019-07-01 00:00:00,13.96,14.02,13.87,13.93,11.20,25215500.00
2019-07-02 00:00:00,13.81,13.88,13.02,13.29,10.68,38848700.00
2019-07-03 00:00:00,13.30,13.48,13.23,13.37,10.75,16019700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,13.09,13.13,12.92,13.12,10.54,28408000.00
2019-07-08 00:00:00,13.27,13.52,13.21,13.30,10.69,18994600.00
2019-07-09 00:00:00,13.03,13.47,13.03,13.36,10.74,14378700.00
2019-07-10 00:00:00,13.64,13.93,13.61,13.81,11.10,30888800.00
2019-07-11 00:00:00,13.85,13.97,13.71,13.84,11.12,19754800.00
2019-07-12 00:00:00,13.99,14.00,13.78,13.80,11.09,15585100.00
2019-07-15 00:00:00,13.99,14.09,13.92,14.00,11.25,15898500.00
2019-07-16 00:00:00,14.04,14.18,14.01,14.03,11.28,14536800.00
2019-07-17 00:00:00,14.03,14.03,13.89,13.95,11.21,13012100.00
2019-07-18 00:00:00,13.95,14.08,13.88,14.01,11.26,15911500.00
2019-07-19 00:00:00,14.15,14.19,13.98,14.04,11.28,11851100.00
2019-07-22 00:00:00,14.01,14.05,13.80,13.92,11.19,12646500.00
2019-07-23 00:00:00,13.88,13.89,13.66,13.69,11.00,14990700.00
2019-07-24 00:00:00,13.50,13.52,13.37,13.42,10.79,18275500.00
2019-07-25 00:00:00,13.32,13.40,13.16,13.26,10.66,14773400.00
2019-07-26 00:00:00,13.47,13.47,13.25,13.27,10.67,12055500.00
2019-07-29 00:00:00,13.19,13.25,13.08,13.24,10.64,17826100.00
2019-07-30 00:00:00,13.28,13.29,13.14,13.16,10.58,20709700.00
2019-07-31 00:00:00,13.25,13.31,12.85,12.99,10.44,27454600.00
2019-08-01 00:00:00,12.73,12.84,12.49,12.52,10.06,29837000.00
