Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,27.83,28.90,27.31,28.56,28.56,668300.00
2019-06-18 00:00:00,28.97,29.32,28.17,28.51,28.51,480700.00
2019-06-19 00:00:00,28.55,28.78,27.69,28.33,28.33,854000.00
2019-06-20 00:00:00,28.82,29.43,28.05,28.41,28.41,1162400.00
2019-06-21 00:00:00,28.25,28.25,27.03,27.82,27.82,1554400.00
2019-06-24 00:00:00,27.95,28.20,27.19,27.25,27.25,579200.00
2019-06-25 00:00:00,27.35,27.88,26.53,26.57,26.57,444500.00
2019-06-26 00:00:00,26.61,26.92,25.52,25.75,25.75,525500.00
2019-06-27 00:00:00,25.75,26.89,25.75,26.53,26.53,382100.00
2019-06-28 00:00:00,26.61,28.73,26.53,28.51,28.51,4279200.00
2019-07-01 00:00:00,29.46,30.24,28.65,28.75,28.75,811400.00
2019-07-02 00:00:00,30.01,30.25,28.74,28.99,28.99,842900.00
2019-07-03 00:00:00,29.37,29.69,28.76,29.23,29.23,473500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,28.83,29.22,28.14,28.57,28.57,410500.00
2019-07-08 00:00:00,28.52,28.76,27.15,27.77,27.77,465900.00
2019-07-09 00:00:00,27.51,28.45,27.45,28.33,28.33,467600.00
2019-07-10 00:00:00,28.74,29.45,28.38,28.49,28.49,641000.00
2019-07-11 00:00:00,28.60,28.82,27.90,28.27,28.27,676300.00
2019-07-12 00:00:00,28.08,28.26,27.19,27.33,27.33,502400.00
2019-07-15 00:00:00,27.55,28.25,26.52,28.03,28.03,474700.00
2019-07-16 00:00:00,28.04,28.63,27.89,28.50,28.50,350900.00
2019-07-17 00:00:00,28.55,29.12,28.23,29.02,29.02,363200.00
2019-07-18 00:00:00,28.99,29.96,28.70,29.51,29.51,467000.00
2019-07-19 00:00:00,29.51,29.93,29.45,29.85,29.85,415400.00
2019-07-22 00:00:00,29.85,31.18,29.85,30.93,30.93,789700.00
2019-07-23 00:00:00,30.71,30.71,27.27,28.62,28.62,1298000.00
2019-07-24 00:00:00,28.50,28.88,26.70,28.79,28.79,613300.00
2019-07-25 00:00:00,28.62,28.95,27.83,28.53,28.53,536300.00
2019-07-26 00:00:00,28.79,29.24,28.56,29.11,29.11,582600.00
2019-07-29 00:00:00,29.28,29.74,28.19,29.18,29.18,674300.00
2019-07-30 00:00:00,28.92,29.67,28.66,29.61,29.61,686600.00
2019-07-31 00:00:00,30.11,30.50,27.61,28.37,28.37,1301400.00
2019-08-01 00:00:00,28.25,28.89,26.46,27.00,27.00,938100.00
