Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,11.57,11.67,10.94,10.95,10.95,316400.00
2019-06-17 00:00:00,10.93,11.12,10.84,10.91,10.91,260400.00
2019-06-18 00:00:00,11.01,11.47,11.01,11.26,11.26,310800.00
2019-06-19 00:00:00,11.30,11.42,11.15,11.27,11.27,296400.00
2019-06-20 00:00:00,11.51,11.55,11.34,11.41,11.41,182000.00
2019-06-21 00:00:00,11.34,11.37,11.14,11.24,11.24,448000.00
2019-06-24 00:00:00,11.22,11.41,11.10,11.18,11.18,144900.00
2019-06-25 00:00:00,11.18,11.30,10.94,10.94,10.94,196700.00
2019-06-26 00:00:00,11.14,11.33,11.00,11.31,11.31,486100.00
2019-06-27 00:00:00,11.38,12.27,11.38,12.26,12.26,600500.00
2019-06-28 00:00:00,12.40,12.56,12.00,12.22,12.22,717000.00
2019-07-01 00:00:00,12.53,12.69,12.22,12.37,12.37,400000.00
2019-07-02 00:00:00,12.27,12.52,12.09,12.50,12.50,298400.00
2019-07-03 00:00:00,12.40,12.46,12.25,12.29,12.29,179900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,12.25,12.35,12.08,12.26,12.26,398300.00
2019-07-08 00:00:00,12.17,12.20,11.83,11.88,11.88,355700.00
2019-07-09 00:00:00,11.79,11.98,11.22,11.51,11.51,532500.00
2019-07-10 00:00:00,11.69,12.05,11.64,11.99,11.99,479000.00
2019-07-11 00:00:00,12.12,12.16,11.41,11.47,11.47,345600.00
2019-07-12 00:00:00,11.46,11.90,11.46,11.86,11.86,219300.00
2019-07-15 00:00:00,11.88,11.96,11.64,11.84,11.84,133800.00
2019-07-16 00:00:00,11.81,11.89,11.61,11.65,11.65,308500.00
2019-07-17 00:00:00,11.74,11.92,11.63,11.85,11.85,278600.00
2019-07-18 00:00:00,11.96,12.10,11.69,11.82,11.82,723200.00
2019-07-19 00:00:00,11.80,12.06,11.73,11.80,11.80,425000.00
2019-07-22 00:00:00,11.89,12.00,11.56,11.67,11.67,408300.00
2019-07-23 00:00:00,11.78,12.10,11.70,11.94,11.94,469700.00
2019-07-24 00:00:00,11.96,12.48,11.80,12.48,12.48,666600.00
2019-07-25 00:00:00,12.40,12.42,11.96,11.98,11.98,333600.00
2019-07-26 00:00:00,12.06,12.35,12.04,12.17,12.17,917100.00
2019-07-29 00:00:00,12.08,12.19,11.67,12.04,12.04,531200.00
2019-07-30 00:00:00,11.85,12.29,11.76,12.22,12.22,384000.00
2019-07-31 00:00:00,12.22,12.22,11.80,11.91,11.91,429700.00
2019-08-01 00:00:00,11.90,12.52,11.77,11.94,11.94,421000.00
2019-08-02 00:00:00,11.78,12.29,11.42,11.77,11.77,215700.00
2019-08-05 00:00:00,11.37,11.55,10.76,10.96,10.96,371600.00
2019-08-06 00:00:00,12.53,12.53,11.69,12.27,12.27,745200.00
2019-08-07 00:00:00,12.12,12.26,11.85,11.89,11.89,464700.00
