Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,67.82,68.55,67.14,68.05,66.87,1481500.00
2019-06-18 00:00:00,68.71,70.21,68.68,69.85,68.64,1569600.00
2019-06-19 00:00:00,69.85,71.19,69.67,70.87,69.64,1391700.00
2019-06-20 00:00:00,71.89,72.36,70.99,72.29,71.04,1240700.00
2019-06-21 00:00:00,72.29,72.79,71.79,72.76,71.50,2425800.00
2019-06-24 00:00:00,71.47,71.56,67.79,68.12,66.94,2714700.00
2019-06-25 00:00:00,68.26,69.19,67.78,68.48,67.29,1328800.00
2019-06-26 00:00:00,68.68,68.75,68.01,68.62,67.43,873100.00
2019-06-27 00:00:00,69.08,69.76,68.77,69.07,67.87,836000.00
2019-06-28 00:00:00,69.23,71.80,69.22,71.76,70.51,2630300.00
2019-07-01 00:00:00,72.50,73.47,72.50,73.36,72.09,1834200.00
2019-07-02 00:00:00,73.00,73.58,72.22,73.46,72.19,1589700.00
2019-07-03 00:00:00,73.56,73.60,73.10,73.53,72.25,622800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,72.95,73.83,72.55,73.74,72.46,721000.00
2019-07-08 00:00:00,73.39,74.39,73.32,73.86,72.58,1246300.00
2019-07-09 00:00:00,73.21,73.22,71.51,72.27,71.02,1700500.00
2019-07-10 00:00:00,72.36,72.84,69.86,69.94,68.73,1026300.00
2019-07-11 00:00:00,70.15,70.63,69.12,69.80,68.59,1154000.00
2019-07-12 00:00:00,69.89,72.04,69.75,72.04,70.79,992400.00
2019-07-15 00:00:00,71.86,72.36,70.73,71.22,69.98,936400.00
2019-07-16 00:00:00,71.18,72.72,70.75,72.50,71.24,1048100.00
2019-07-17 00:00:00,72.14,72.63,70.67,70.69,69.46,1019100.00
2019-07-18 00:00:00,70.75,71.36,69.40,69.54,68.33,1082000.00
2019-07-19 00:00:00,69.86,70.62,69.40,70.06,68.84,1502000.00
2019-07-22 00:00:00,70.14,70.78,69.62,70.45,69.23,1149800.00
2019-07-23 00:00:00,70.82,72.49,70.64,71.98,70.73,988700.00
2019-07-24 00:00:00,71.33,73.04,71.33,73.00,71.73,956300.00
2019-07-25 00:00:00,73.10,73.20,71.57,71.72,70.48,690200.00
2019-07-26 00:00:00,71.68,72.11,70.97,71.84,70.59,1233500.00
2019-07-29 00:00:00,71.68,72.12,70.53,71.10,69.87,2602100.00
2019-07-30 00:00:00,71.35,77.86,70.61,77.82,76.47,3949500.00
2019-07-31 00:00:00,77.74,78.72,76.87,77.68,76.33,2443900.00
2019-08-01 00:00:00,77.77,78.44,75.21,75.96,74.64,1501500.00
