Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,84.31,84.86,83.73,84.13,77.84,1581900.00
2019-06-18 00:00:00,84.50,84.74,83.65,84.25,77.95,1994100.00
2019-06-19 00:00:00,83.94,85.22,83.94,84.94,78.59,1703800.00
2019-06-20 00:00:00,85.11,85.66,84.63,85.39,79.00,1351300.00
2019-06-21 00:00:00,85.50,85.60,84.77,85.42,79.03,2695600.00
2019-06-24 00:00:00,85.08,85.70,84.84,85.26,78.88,1543100.00
2019-06-25 00:00:00,85.26,85.42,84.73,84.94,78.59,1600800.00
2019-06-26 00:00:00,84.86,84.89,83.27,83.33,77.10,3159200.00
2019-06-27 00:00:00,83.62,83.97,82.79,83.08,76.87,2286100.00
2019-06-28 00:00:00,83.07,83.87,82.88,83.37,77.13,2678400.00
2019-07-01 00:00:00,83.26,83.44,82.18,83.13,76.91,1673500.00
2019-07-02 00:00:00,83.40,84.30,83.23,84.25,77.95,1518300.00
2019-07-03 00:00:00,84.33,85.44,84.33,85.13,78.76,874400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,84.53,85.14,83.43,85.02,78.66,990900.00
2019-07-08 00:00:00,85.19,85.56,84.76,85.29,78.91,1154100.00
2019-07-09 00:00:00,85.40,85.81,84.97,85.70,79.29,1475000.00
2019-07-10 00:00:00,85.94,86.42,85.42,86.13,79.69,1191700.00
2019-07-11 00:00:00,86.00,86.33,85.23,86.12,79.68,1329200.00
2019-07-12 00:00:00,86.17,86.17,85.18,85.47,79.08,1162000.00
2019-07-15 00:00:00,85.45,86.39,85.05,86.35,79.89,1453800.00
2019-07-16 00:00:00,86.11,86.36,85.56,86.14,79.70,1534400.00
2019-07-17 00:00:00,86.42,87.60,86.04,86.90,80.40,1669900.00
2019-07-18 00:00:00,86.94,87.90,86.34,87.85,81.28,1618700.00
2019-07-19 00:00:00,87.69,87.91,86.30,86.31,79.85,1959400.00
2019-07-22 00:00:00,86.70,86.89,85.81,86.28,79.83,2216400.00
2019-07-23 00:00:00,86.33,86.46,85.42,85.76,79.35,1821000.00
2019-07-24 00:00:00,85.99,86.17,85.07,85.80,79.38,1652100.00
2019-07-25 00:00:00,85.80,86.26,85.42,85.86,79.44,1649400.00
2019-07-26 00:00:00,85.90,86.80,85.83,86.66,80.18,1351200.00
2019-07-29 00:00:00,86.87,87.58,86.57,87.50,80.96,1538300.00
2019-07-30 00:00:00,87.51,87.93,86.24,86.66,80.18,1619500.00
2019-07-31 00:00:00,86.67,87.10,84.99,85.46,79.07,4115100.00
2019-08-01 00:00:00,85.48,87.59,85.16,87.18,80.66,1999600.00
