Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,4.55,4.57,4.48,4.50,4.47,3518600.00
2019-06-18 00:00:00,4.53,4.53,4.49,4.51,4.48,2532800.00
2019-06-19 00:00:00,4.45,4.45,4.33,4.38,4.35,3154600.00
2019-06-20 00:00:00,4.37,4.39,4.35,4.37,4.34,2347000.00
2019-06-21 00:00:00,4.33,4.37,4.32,4.32,4.29,14511500.00
2019-06-24 00:00:00,4.31,4.36,4.31,4.33,4.30,1483600.00
2019-06-25 00:00:00,4.34,4.38,4.32,4.33,4.30,947500.00
2019-06-26 00:00:00,4.36,4.38,4.34,4.35,4.32,969200.00
2019-06-27 00:00:00,4.31,4.35,4.31,4.33,4.30,1253500.00
2019-06-28 00:00:00,4.30,4.35,4.29,4.33,4.30,1821300.00
2019-07-01 00:00:00,4.35,4.37,4.31,4.32,4.29,914300.00
2019-07-02 00:00:00,4.36,4.42,4.35,4.40,4.37,1466400.00
2019-07-03 00:00:00,4.35,4.38,4.34,4.38,4.35,610600.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,4.26,4.29,4.24,4.29,4.26,1375600.00
2019-07-08 00:00:00,4.21,4.23,4.16,4.16,4.13,2149000.00
2019-07-09 00:00:00,4.15,4.17,4.13,4.16,4.13,1803100.00
2019-07-10 00:00:00,4.21,4.23,4.14,4.18,4.15,2477000.00
2019-07-11 00:00:00,4.18,4.22,4.16,4.22,4.19,2714100.00
2019-07-12 00:00:00,4.14,4.20,4.13,4.20,4.17,2098900.00
2019-07-15 00:00:00,4.17,4.19,4.11,4.18,4.15,2843000.00
2019-07-16 00:00:00,4.14,4.19,4.14,4.17,4.14,2083800.00
2019-07-17 00:00:00,4.19,4.24,4.13,4.14,4.11,2282100.00
2019-07-18 00:00:00,4.29,4.29,4.21,4.26,4.23,2109800.00
2019-07-19 00:00:00,4.22,4.24,4.16,4.17,4.14,1813100.00
2019-07-22 00:00:00,4.18,4.21,4.17,4.18,4.15,971700.00
2019-07-23 00:00:00,4.18,4.22,4.18,4.19,4.16,691100.00
2019-07-24 00:00:00,4.20,4.21,4.18,4.18,4.15,678300.00
2019-07-25 00:00:00,4.16,4.17,4.14,4.14,4.11,939700.00
2019-07-26 00:00:00,4.17,4.18,4.15,4.16,4.13,1132000.00
2019-07-29 00:00:00,4.15,4.17,4.14,4.17,4.14,529500.00
2019-07-30 00:00:00,4.15,4.15,4.09,4.09,4.06,657500.00
2019-07-31 00:00:00,4.15,4.19,4.03,4.09,4.06,1708100.00
2019-08-01 00:00:00,4.17,4.24,4.14,4.15,4.12,2253300.00
